Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,90.585799,[347   4] ; [17 10],[338.  13.] ; [26.  1.],1
s2,1,0.106701,2.602414,[265  86] ; [20 12],[261.18798956  89.81201044] ; [23.81201044  8.18798956],0
a4,1,0.135514,2.228173,[180 171] ; [12 20],[175.95822454 175.04177546] ; [16.04177546 15.95822454],0
p1,1,0.137085,2.210382,[ 41 309] ; [ 1 31],[ 38.48167539 311.51832461] ; [ 3.51832461 28.48167539],0
d2,1,0.144013,2.134542,[200 150] ; [14 18],[196.07329843 153.92670157] ; [17.92670157 14.07329843],0
p8,1,0.146308,2.110324,[204 144] ; [14 17],[200.16886544 147.83113456] ; [17.83113456 13.16886544],0
v3,1,0.160421,1.970257,[159 177] ; [11 21],[155.2173913 180.7826087] ; [14.7826087 17.2173913],0
a5,1,0.169924,1.883612,[288  64] ; [23  9],[285.08333333  66.91666667] ; [25.91666667  6.08333333],0
b4,1,0.183597,1.768263,[197 155] ; [14 18],[193.41666667 158.58333333] ; [17.58333333 14.41666667],0
a3,1,0.191924,1.702783,[294  56] ; [24  8],[291.36125654  58.63874346] ; [26.63874346  5.36125654],0
a6,1,0.216661,1.526349,[234 115] ; [18 14],[230.83464567 118.16535433] ; [21.16535433 10.83464567],0
n1,1,0.221586,1.494071,[35 34] ; [ 5 10],[32.85714286 36.14285714] ; [7.14285714 7.85714286],0
p6,1,0.278843,1.172723,[170 178] ; [12 19],[167.11345646 180.88654354] ; [14.88654354 16.11345646],0
p2,1,0.292014,1.110312,[308  43] ; [26  6],[306.09399478  44.90600522] ; [27.90600522  4.09399478],0
n4,1,0.293019,1.105696,[298  52] ; [25  7],[295.94240838  54.05759162] ; [27.05759162  4.94240838],0
s3,1,0.311199,1.025581,[265  84] ; [21 10],[262.66842105  86.33157895] ; [23.33157895  7.66842105],0
p12,1,0.37722,0.779742,[ 41 310] ; [ 2 29],[ 39.5104712 311.4895288] ; [ 3.4895288 27.5104712],0
s8,1,0.387382,0.747144,[254  95] ; [21 11],[251.90288714  97.09711286] ; [23.09711286  8.90288714],0
d5,1,0.422156,0.644305,[292  57] ; [25  7],[290.37532808  58.62467192] ; [26.62467192  5.37532808],0
b5,1,0.553544,0.351006,[206 146] ; [17 15],[204.41666667 147.58333333] ; [18.58333333 13.41666667],0
s4,1,0.605037,0.267465,[ 74 277] ; [ 8 24],[ 75.14882507 275.85117493] ; [ 6.85117493 25.14882507],0
u2,1,0.616604,0.25067,[38 19] ; [4 3],[37.40625 19.59375] ; [4.59375 2.40625],0
s1,1,0.673704,0.1773,[ 16 332] ; [ 2 30],[ 16.48421053 331.51578947] ; [ 1.51578947 30.48421053],0
b1,1,0.726997,0.121887,[132 220] ; [13 19],[132.91666667 219.08333333] ; [12.08333333 19.91666667],0
d4,1,0.744777,0.105973,[298  51] ; [28  4],[298.61942257  50.38057743] ; [27.38057743  4.61942257],0
n2,1,0.789072,0.071565,[53 16] ; [12  3],[53.39285714 15.60714286] ; [11.60714286  3.39285714],0
p5,1,0.835047,0.043361,[ 60 287] ; [ 6 26],[ 60.42744063 286.57255937] ; [ 5.57255937 26.42744063],0
a1,1,0.839124,0.041215,[ 19 333] ; [ 2 30],[ 19.25 332.75] ; [ 1.75 30.25],0
b2,1,0.870038,0.026768,[106 135] ; [11 15],[105.60674157 135.39325843] ; [11.39325843 14.60674157],0
b3,1,0.870038,0.026768,[106 135] ; [11 15],[105.60674157 135.39325843] ; [11.39325843 14.60674157],0
p10,1,0.874084,0.025114,[320  31] ; [28  3],[319.7591623  31.2408377] ; [28.2408377  2.7591623],0
u3,1,0.877633,0.023707,[42 16] ; [6 2],[42.18181818 15.81818182] ; [5.81818182 2.18181818],0
n5,1,0.915806,0.011176,[289  61] ; [25  5],[289.21052632  60.78947368] ; [24.78947368  5.21052632],0
p11,1,0.968721,0.001538,[285  67] ; [26  6],[285.08333333  66.91666667] ; [25.91666667  6.08333333],0
