Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.1e-05,17.3346,[11 70] ; [19 20],[20.25 60.75] ; [ 9.75 29.25],1
p6,1,0.227289,1.457749,[10 70] ; [ 8 30],[12.20338983 67.79661017] ; [ 5.79661017 32.20338983],0
n3,1,0.255989,1.290323,[17 14] ; [3 6],[15.5 15.5] ; [4.5 4.5],0
a1,1,0.265816,1.238213,[ 4 78] ; [ 4 35],[ 5.4214876 76.5785124] ; [ 2.5785124 36.4214876],0
n2,1,0.270912,1.212121,[15 15] ; [7 3],[16.5 13.5] ; [5.5 4.5],0
n4,1,0.299875,1.07475,[51 31] ; [28 11],[53.53719008 28.46280992] ; [25.46280992 13.53719008],0
a6,1,0.299875,1.07475,[51 31] ; [28 11],[53.53719008 28.46280992] ; [25.46280992 13.53719008],0
a4,1,0.339026,0.91411,[32 49] ; [19 20],[34.425 46.575] ; [16.575 22.425],0
b4,1,0.449824,0.571096,[51 31] ; [27 12],[52.85950413 29.14049587] ; [25.14049587 13.85950413],0
b1,1,0.489137,0.478425,[45 37] ; [24 15],[46.76033058 35.23966942] ; [22.23966942 16.76033058],0
n5,1,0.489137,0.478425,[45 37] ; [24 15],[46.76033058 35.23966942] ; [22.23966942 16.76033058],0
s4,1,0.492011,0.472125,[11 70] ; [ 7 31],[12.25210084 68.74789916] ; [ 5.74789916 32.25210084],0
p3,1,0.519656,0.414576,[23 58] ; [13 25],[24.50420168 56.49579832] ; [11.49579832 26.50420168],0
v2,1,0.521782,0.41037,[34 46] ; [19 20],[35.6302521 44.3697479] ; [17.3697479 21.6302521],0
v4,1,0.53804,0.379184,[70 12] ; [34  4],[71.06666667 10.93333333] ; [32.93333333  5.06666667],0
r2,1,0.545196,0.365993,[71  9] ; [36  3],[71.93277311  8.06722689] ; [35.06722689  3.93277311],0
s1,1,0.546574,0.363491,[ 4 77] ; [ 3 36],[ 4.725 76.275] ; [ 2.275 36.725],0
u3,1,0.565206,0.330769,[18 12] ; [9 4],[18.8372093 11.1627907] ; [8.1627907 4.8372093],0
d1,1,0.64662,0.210188,[49 33] ; [25 14],[50.14876033 31.85123967] ; [23.85123967 15.14876033],0
b2,1,0.667696,0.184309,[12 35] ; [ 9 21],[12.81818182 34.18181818] ; [ 8.18181818 21.81818182],0
b3,1,0.667696,0.184309,[12 35] ; [ 9 21],[12.81818182 34.18181818] ; [ 8.18181818 21.81818182],0
a3,1,0.72686,0.122014,[52 30] ; [26 13],[52.85950413 29.14049587] ; [25.14049587 13.85950413],0
a7,1,0.78536,0.074169,[56 25] ; [26 13],[55.35 25.65] ; [26.65 12.35],0
d4,1,0.793716,0.068376,[67 14] ; [33  6],[67.5 13.5] ; [32.5  6.5],0
d2,1,0.808221,0.058914,[47 33] ; [22 17],[46.38655462 33.61344538] ; [22.61344538 16.38655462],0
a5,1,0.85001,0.035761,[54 28] ; [25 14],[53.53719008 28.46280992] ; [25.46280992 13.53719008],0
p1,1,0.941392,0.005405,[ 6 76] ; [ 3 36],[ 6.09917355 75.90082645] ; [ 2.90082645 36.09917355],0
b5,1,0.963545,0.002089,[48 34] ; [23 16],[48.11570248 33.88429752] ; [22.88429752 16.11570248],0
