Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.01025,6.590926,[62 19] ; [16 15],[56.41071429 24.58928571] ; [21.58928571  9.41071429],0
v1,1,0.34574,0.889032,[39 36] ; [13 18],[36.79245283 38.20754717] ; [15.20754717 15.79245283],0
r1,1,0.350667,0.871043,[67 14] ; [24  8],[65.2300885 15.7699115] ; [25.7699115  6.2300885],0
d4,1,0.365925,0.817456,[69 12] ; [25  7],[67.38053097 13.61946903] ; [26.61946903  5.38053097],0
r2,1,0.387534,0.746667,[76  4] ; [29  3],[75.  5.] ; [30.  2.],0
r4,1,0.432214,0.616867,[72  9] ; [30  2],[73.11504425  7.88495575] ; [28.88495575  3.11504425],0
d3,1,0.433051,0.614627,[52 29] ; [18 14],[50.17699115 30.82300885] ; [19.82300885 12.17699115],0
v3,1,0.448055,0.575568,[33 42] ; [10 18],[31.31067961 43.68932039] ; [11.68932039 16.31067961],0
p6,1,0.479476,0.500055,[23 58] ; [ 7 25],[21.50442478 59.49557522] ; [ 8.49557522 23.50442478],0
p4,1,0.55172,0.354246,[43 38] ; [15 17],[41.57522124 39.42477876] ; [16.42477876 15.57522124],0
a1,1,0.553168,0.351672,[ 3 78] ; [ 2 30],[ 3.5840708 77.4159292] ; [ 1.4159292 30.5840708],0
p2,1,0.59239,0.286627,[54 27] ; [23  9],[55.19469027 25.80530973] ; [21.80530973 10.19469027],0
p5,1,0.635871,0.224183,[ 7 71] ; [ 2 30],[ 6.38181818 71.61818182] ; [ 2.61818182 29.38181818],0
v2,1,0.640583,0.217981,[43 35] ; [14 14],[41.94339623 36.05660377] ; [15.05660377 12.94339623],0
u4,1,0.672805,0.178339,[ 4 77] ; [ 1 31],[ 3.5840708 77.4159292] ; [ 1.4159292 30.5840708],0
u2,1,0.740797,0.109428,[10  5] ; [8 3],[10.38461538  4.61538462] ; [7.61538462 3.38461538],0
p1,1,0.787247,0.072839,[ 9 72] ; [ 3 29],[ 8.60176991 72.39823009] ; [ 3.39823009 28.60176991],0
s4,1,0.811228,0.057046,[14 66] ; [ 5 27],[13.57142857 66.42857143] ; [ 5.42857143 26.57142857],0
p8,1,0.814736,0.054906,[22 59] ; [ 8 24],[21.50442478 59.49557522] ; [ 8.49557522 23.50442478],0
p12,1,0.834859,0.043462,[ 9 72] ; [ 4 28],[ 9.31858407 71.68141593] ; [ 3.68141593 28.31858407],0
a7,1,0.865634,0.028631,[57 24] ; [22 10],[56.62831858 24.37168142] ; [22.37168142  9.62831858],0
a8,1,0.875911,0.024384,[ 8 62] ; [ 3 26],[ 7.77777778 62.22222222] ; [ 3.22222222 25.77777778],0
n3,1,0.885857,0.020606,[16  9] ; [6 3],[16.17647059  8.82352941] ; [5.82352941 3.17647059],0
p3,1,0.895609,0.017216,[34 47] ; [13 19],[33.69026549 47.30973451] ; [13.30973451 18.69026549],0
r3,1,0.901623,0.01528,[74  7] ; [29  3],[73.83185841  7.16814159] ; [29.16814159  2.83185841],0
n2,1,0.908333,0.013258,[17  8] ; [7 3],[17.14285714  7.85714286] ; [6.85714286 3.14285714],0
b1,1,0.912837,0.011982,[32 49] ; [13 19],[32.25663717 48.74336283] ; [12.74336283 19.25663717],0
b2,1,0.960123,0.0025,[24 38] ; [ 8 13],[23.90361446 38.09638554] ; [ 8.09638554 12.90361446],0
b3,1,0.960123,0.0025,[24 38] ; [ 8 13],[23.90361446 38.09638554] ; [ 8.09638554 12.90361446],0
b4,1,0.990998,0.000127,[48 33] ; [19 13],[48.02654867 32.97345133] ; [18.97345133 13.02654867],0
