Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3.9e-05,16.911425,[ 7 71] ; [16 23],[15.33333333 62.66666667] ; [ 7.66666667 31.33333333],1
r3,1,0.224818,1.47335,[64 15] ; [35  4],[66.27966102 12.72033898] ; [32.72033898  6.27966102],0
p11,1,0.266212,1.236162,[38 41] ; [23 16],[40.83898305 38.16101695] ; [20.16101695 18.83898305],0
p1,1,0.270922,1.212072,[ 9 70] ; [ 2 37],[ 7.36440678 71.63559322] ; [ 3.63559322 35.36440678],0
r4,1,0.299738,1.075358,[58 21] ; [32  7],[60.25423729 18.74576271] ; [29.74576271  9.25423729],0
u3,1,0.356702,0.849471,[14 10] ; [6 8],[12.63157895 11.36842105] ; [7.36842105 6.63157895],0
s6,1,0.359221,0.840616,[39 39] ; [23 16],[41.33333333 36.66666667] ; [20.66666667 18.33333333],0
a5,1,0.371706,0.797953,[57 22] ; [25 14],[54.89830508 24.10169492] ; [27.10169492 11.89830508],0
d4,1,0.405795,0.691087,[65 14] ; [28  9],[63.3362069 15.6637931] ; [29.6637931  7.3362069],0
a3,1,0.420411,0.649166,[55 22] ; [25 14],[53.10344828 23.89655172] ; [26.89655172 12.10344828],0
s5,1,0.465022,0.53378,[17 58] ; [11 27],[18.5840708 56.4159292] ; [ 9.4159292 28.5840708],0
r1,1,0.501757,0.451219,[54 25] ; [29 10],[55.56779661 23.43220339] ; [27.43220339 11.56779661],0
n4,1,0.513695,0.426533,[52 27] ; [28 11],[53.55932203 25.44067797] ; [26.44067797 12.55932203],0
b5,1,0.613894,0.254543,[51 28] ; [27 12],[52.22033898 26.77966102] ; [25.77966102 13.22033898],0
n1,1,0.630843,0.23092,[12 17] ; [4 8],[11.31707317 17.68292683] ; [4.68292683 7.31707317],0
b1,1,0.651293,0.204274,[33 46] ; [18 21],[34.1440678 44.8559322] ; [16.8559322 22.1440678],0
s8,1,0.677246,0.173242,[22 57] ; [12 26],[22.95726496 56.04273504] ; [11.04273504 26.95726496],0
b2,1,0.682505,0.16732,[18 33] ; [ 7 16],[17.22972973 33.77027027] ; [ 7.77027027 15.22972973],0
b3,1,0.682505,0.16732,[18 33] ; [ 7 16],[17.22972973 33.77027027] ; [ 7.77027027 15.22972973],0
v3,1,0.705955,0.142351,[28 46] ; [13 25],[27.08928571 46.91071429] ; [13.91071429 24.08928571],0
r2,1,0.72185,0.126727,[68 10] ; [34  4],[68.5862069  9.4137931] ; [33.4137931  4.5862069],0
d5,1,0.730061,0.119056,[60 19] ; [27 10],[59.25 19.75] ; [27.75  9.25],0
d1,1,0.749166,0.102233,[47 32] ; [22 17],[46.19491525 32.80508475] ; [22.80508475 16.19491525],0
n3,1,0.780941,0.077336,[18 11] ; [8 4],[18.3902439 10.6097561] ; [7.6097561 4.3902439],0
p12,1,0.78172,0.076773,[ 5 74] ; [ 3 36],[ 5.3559322 73.6440678] ; [ 2.6440678 36.3559322],0
n6,1,0.834172,0.043829,[57 22] ; [26 11],[56.52586207 22.47413793] ; [26.47413793 10.52586207],0
a6,1,0.834172,0.043829,[57 22] ; [26 11],[56.52586207 22.47413793] ; [26.47413793 10.52586207],0
u2,1,0.858733,0.031679,[13 11] ; [8 6],[13.26315789 10.73684211] ; [7.73684211 6.26315789],0
v4,1,0.881627,0.022173,[66 13] ; [33  6],[66.27966102 12.72033898] ; [32.72033898  6.27966102],0
s4,1,0.975428,0.000949,[14 63] ; [ 7 32],[13.93965517 63.06034483] ; [ 7.06034483 31.93965517],0
