Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,23.728304,[ 5 33] ; [68 48],[18.01298701 19.98701299] ; [54.98701299 61.01298701],1
b1,1,0.516736,0.420402,[19 19] ; [51 65],[17.27272727 20.72727273] ; [52.72727273 63.27272727],0
u3,1,0.5848,0.298539,[14  6] ; [13  8],[13.17073171  6.82926829] ; [13.82926829  7.17073171],0
v4,1,0.615814,0.251794,[36  2] ; [112   4],[36.51948052  1.48051948] ; [111.48051948   4.51948052],0
p1,1,0.631042,0.23065,[ 5 33] ; [ 12 104],[ 4.19480519 33.80519481] ; [ 12.80519481 103.19480519],0
a7,1,0.646089,0.210867,[23 15] ; [75 41],[24.18181818 13.81818182] ; [73.81818182 42.18181818],0
r3,1,0.686287,0.163134,[35  3] ; [109   7],[35.53246753  2.46753247] ; [108.46753247   7.53246753],0
v3,1,0.701298,0.147126,[ 9 27] ; [25 89],[ 8.16 27.84] ; [25.84 88.16],0
d3,1,0.715248,0.133091,[25 13] ; [80 36],[25.90909091 12.09090909] ; [79.09090909 36.90909091],0
s3,1,0.729978,0.119132,[27 11] ; [85 30],[27.81699346 10.18300654] ; [84.18300654 30.81699346],0
p4,1,0.733367,0.116043,[27 11] ; [79 37],[26.15584416 11.84415584] ; [79.84415584 36.15584416],0
a8,1,0.738049,0.111849,[ 4 29] ; [16 95],[ 4.58333333 28.41666667] ; [15.41666667 95.58333333],0
n1,1,0.76686,0.087903,[4 5] ; [17 17],[4.39534884 4.60465116] ; [16.60465116 17.39534884],0
p2,1,0.770591,0.085032,[31  7] ; [97 19],[31.58441558  6.41558442] ; [96.41558442 19.58441558],0
s1,1,0.823206,0.049918,[ 2 36] ; [  5 109],[ 1.75 36.25] ; [  5.25 108.75],0
s4,1,0.892851,0.018144,[10 28] ; [29 86],[ 9.68627451 28.31372549] ; [29.31372549 85.68627451],0
s7,1,0.907179,0.013595,[26 10] ; [82 30],[26.27027027  9.72972973] ; [81.72972973 30.27027027],0
p8,1,0.937184,0.006211,[22 16] ; [68 48],[22.20779221 15.79220779] ; [67.79220779 48.20779221],0
