Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,30.510378,[  6 273] ; [16 72],[ 16.72479564 262.27520436] ; [ 5.27520436 82.72479564],1
u1,1,0.13814,2.198557,[ 28 252] ; [14 75],[ 31.8699187 248.1300813] ; [10.1300813 78.8699187],0
r4,1,0.170927,1.874797,[239  41] ; [81  8],[242.81842818  37.18157182] ; [77.18157182 11.81842818],0
u2,1,0.172912,1.857515,[54 60] ; [12 23],[50.4966443 63.5033557] ; [15.5033557 19.4966443],0
r1,1,0.189538,1.721205,[199  79] ; [70 19],[203.76566757  74.23433243] ; [65.23433243 23.76566757],0
s4,1,0.190293,1.715348,[ 33 243] ; [15 71],[ 36.59668508 239.40331492] ; [11.40331492 74.59668508],0
d2,1,0.202756,1.622411,[110 169] ; [41 46],[115.10655738 163.89344262] ; [35.89344262 51.10655738],0
s8,1,0.225442,1.469387,[ 47 233] ; [20 69],[ 50.8401084 229.1598916] ; [16.1598916 72.8401084],0
p8,1,0.227069,1.45913,[125 150] ; [47 42],[129.94505495 145.05494505] ; [42.05494505 46.94505495],0
p6,1,0.227301,1.457669,[ 70 207] ; [28 60],[ 74.37260274 202.62739726] ; [23.62739726 64.37260274],0
b4,1,0.243601,1.359632,[163 117] ; [58 31],[167.69647696 112.30352304] ; [53.30352304 35.69647696],0
v4,1,0.252036,1.311983,[261  19] ; [84  3],[263.21525886  16.78474114] ; [81.78474114  5.21525886],0
r2,1,0.270368,1.214879,[249  26] ; [83  5],[251.51515152  23.48484848] ; [80.48484848  7.51515152],0
a1,1,0.335179,0.928785,[  7 273] ; [ 4 85],[  8.34688347 271.65311653] ; [ 2.65311653 86.34688347],0
p4,1,0.342397,0.901435,[135 142] ; [48 40],[138.87945205 138.12054795] ; [44.12054795 43.87945205],0
n4,1,0.364883,0.821018,[205  74] ; [61 28],[201.66847826  77.33152174] ; [64.33152174 24.66847826],0
d5,1,0.370672,0.801412,[213  66] ; [72 17],[216.07336957  62.92663043] ; [68.92663043 20.07336957],0
b3,1,0.382148,0.763782,[46 98] ; [19 30],[48.49740933 95.50259067] ; [16.50259067 32.49740933],0
b2,1,0.382148,0.763782,[46 98] ; [19 30],[48.49740933 95.50259067] ; [16.50259067 32.49740933],0
p11,1,0.386712,0.749256,[221  59] ; [74 15],[223.84823848  56.15176152] ; [71.15176152 17.84823848],0
a6,1,0.390566,0.737178,[193  87] ; [57 32],[189.70189702  90.29810298] ; [60.29810298 28.70189702],0
s1,1,0.415302,0.663571,[  3 272] ; [ 2 87],[  3.77747253 271.22252747] ; [ 1.22252747 87.77747253],0
a2,1,0.559429,0.340694,[ 46 234] ; [17 72],[ 47.80487805 232.19512195] ; [15.19512195 73.80487805],0
u3,1,0.57133,0.320462,[54 60] ; [19 17],[55.48 58.52] ; [17.52 18.48],0
b1,1,0.623077,0.241566,[ 96 184] ; [28 61],[ 94.09214092 185.90785908] ; [29.90785908 59.09214092],0
n2,1,0.624939,0.238986,[52 22] ; [10  3],[52.73563218 21.26436782] ; [9.26436782 3.73563218],0
d3,1,0.645753,0.211297,[183  96] ; [56 33],[181.19836957  97.80163043] ; [57.80163043 31.19836957],0
n1,1,0.67049,0.181029,[23 51] ; [3 9],[22.37209302 51.62790698] ; [3.62790698 8.37209302],0
n3,1,0.765815,0.088716,[54 20] ; [10  3],[54.43678161 19.56321839] ; [9.56321839 3.43678161],0
a3,1,0.809888,0.057874,[164 115] ; [53 35],[164.96730245 114.03269755] ; [52.03269755 35.96730245],0
v3,1,0.81958,0.052023,[ 84 188] ; [28 59],[ 84.85793872 187.14206128] ; [27.14206128 59.85793872],0
n5,1,0.851842,0.034883,[202  75] ; [64 25],[201.31693989  75.68306011] ; [64.68306011 24.31693989],0
v2,1,0.894525,0.017578,[137 129] ; [45 41],[137.53409091 128.46590909] ; [44.46590909 41.53409091],0
p2,1,0.923649,0.009185,[223  55] ; [71 17],[223.31147541  54.68852459] ; [70.68852459 17.31147541],0
a8,1,0.965486,0.001872,[ 27 229] ; [ 9 75],[ 27.10588235 228.89411765] ; [ 8.89411765 75.10588235],0
r3,1,0.99789,7e-06,[260  19] ; [82  6],[259.99455041  19.00544959] ; [82.00544959  5.99455041],0
