Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000447,12.325797,[13  6] ; [14 44],[ 6.66233766 12.33766234] ; [20.33766234 37.66233766],1
a5,1,0.252373,1.310118,[13  6] ; [31 27],[10.85714286  8.14285714] ; [33.14285714 24.85714286],0
n1,1,0.282041,1.15723,[5 4] ; [ 8 15],[3.65625 5.34375] ; [ 9.34375 13.65625],0
s3,1,0.315119,1.009098,[9 7] ; [24 33],[7.23287671 8.76712329] ; [25.76712329 31.23287671],0
a7,1,0.341218,0.90585,[11  7] ; [28 30],[9.23684211 8.76315789] ; [29.76315789 28.23684211],0
s2,1,0.372909,0.793949,[ 5 12] ; [24 34],[ 6.57333333 10.42666667] ; [22.42666667 35.57333333],0
d4,1,0.395294,0.722595,[14  4] ; [39 19],[12.55263158  5.44736842] ; [40.44736842 17.55263158],0
d1,1,0.466617,0.529976,[ 9 10] ; [22 36],[ 7.64935065 11.35064935] ; [23.35064935 34.64935065],0
p8,1,0.466976,0.529123,[ 7 12] ; [26 30],[ 8.36 10.64] ; [24.64 31.36],0
p2,1,0.473803,0.513092,[16  3] ; [42 13],[14.89189189  4.10810811] ; [43.10810811 11.89189189],0
p9,1,0.485531,0.486415,[15  3] ; [43 14],[13.92  4.08] ; [44.08 12.92],0
n4,1,0.52833,0.397603,[13  6] ; [35 23],[11.84415584  7.15584416] ; [36.15584416 21.84415584],0
n6,1,0.531154,0.392184,[14  4] ; [40 17],[12.96  5.04] ; [41.04 15.96],0
s7,1,0.573857,0.316271,[8 8] ; [24 33],[7.01369863 8.98630137] ; [24.98630137 32.01369863],0
s6,1,0.58946,0.291188,[10  8] ; [28 30],[9. 9.] ; [29. 29.],0
d2,1,0.621387,0.243922,[ 8 10] ; [22 36],[ 7.10526316 10.89473684] ; [22.89473684 35.10526316],0
a6,1,0.639881,0.218897,[11  8] ; [30 28],[10.11688312  8.88311688] ; [30.88311688 27.11688312],0
r2,1,0.687452,0.161857,[9 8] ; [31 22],[9.71428571 7.28571429] ; [30.28571429 22.71428571],0
v4,1,0.6885,0.160714,[10  6] ; [38 18],[10.66666667  5.33333333] ; [37.33333333 18.66666667],0
v1,1,0.695977,0.15269,[ 8 11] ; [20 34],[ 7.28767123 11.71232877] ; [20.71232877 33.28767123],0
s8,1,0.745509,0.105344,[ 6 12] ; [17 41],[ 5.44736842 12.55263158] ; [17.55263158 40.44736842],0
u3,1,0.749518,0.101936,[4 4] ; [10 13],[3.61290323 4.38709677] ; [10.38709677 12.61290323],0
p3,1,0.780097,0.077949,[ 6 13] ; [20 37],[ 6.5 12.5] ; [19.5 37.5],0
p6,1,0.817068,0.053508,[ 5 14] ; [16 39],[ 5.39189189 13.60810811] ; [15.60810811 39.39189189],0
n2,1,0.820422,0.05153,[7 2] ; [17  6],[6.75 2.25] ; [17.25  5.75],0
b5,1,0.8357,0.043013,[11  8] ; [32 26],[10.61038961  8.38961039] ; [32.38961039 25.61038961],0
u2,1,0.889275,0.019383,[4 3] ; [13 11],[3.83870968 3.16129032] ; [13.16129032 10.83870968],0
n5,1,0.889368,0.01935,[12  6] ; [39 18],[12.24  5.76] ; [38.76 18.24],0
p4,1,0.89459,0.017556,[ 9 10] ; [28 29],[9.25 9.75] ; [27.75 29.25],0
p7,1,0.946611,0.004484,[9 9] ; [28 27],[9.12328767 8.87671233] ; [27.87671233 27.12328767],0
a3,1,0.95556,0.003105,[11  8] ; [34 24],[11.1038961  7.8961039] ; [33.8961039 24.1038961],0
a8,1,1.0,0.0,[ 1 13] ; [ 4 52],[ 1. 13.] ; [ 4. 52.],0
