Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.011108,6.447932,[6 2] ; [ 5 16],[3.03448276 4.96551724] ; [ 7.96551724 13.03448276],0
p1,1,0.521818,0.410298,[ 2 13] ; [ 3 36],[ 1.38888889 13.61111111] ; [ 3.61111111 35.38888889],0
s6,1,0.564976,0.331162,[9 6] ; [20 19],[8.05555556 6.94444444] ; [20.94444444 18.05555556],0
r1,1,0.571892,0.319527,[10  5] ; [29 10],[10.83333333  4.16666667] ; [28.16666667 10.83333333],0
n6,1,0.596097,0.280922,[11  4] ; [25 13],[10.18867925  4.81132075] ; [25.81132075 12.18867925],0
a7,1,0.603513,0.26973,[10  5] ; [23 16],[9.16666667 5.83333333] ; [23.83333333 15.16666667],0
n5,1,0.636259,0.223669,[7 8] ; [21 18],[7.77777778 7.22222222] ; [20.22222222 18.77777778],0
p11,1,0.683553,0.166154,[6 9] ; [18 21],[6.66666667 8.33333333] ; [17.33333333 21.66666667],0
d5,1,0.711645,0.13664,[10  5] ; [28 11],[10.55555556  4.44444444] ; [27.44444444 11.55555556],0
n4,1,0.711645,0.13664,[10  5] ; [28 11],[10.55555556  4.44444444] ; [27.44444444 11.55555556],0
n3,1,0.770335,0.085227,[2 1] ; [9 3],[2.2 0.8] ; [8.8 3.2],0
d4,1,0.782272,0.076375,[11  4] ; [30  9],[11.38888889  3.61111111] ; [29.61111111  9.38888889],0
p10,1,0.807541,0.059341,[ 3 12] ; [ 9 30],[ 3.33333333 11.66666667] ; [ 8.66666667 30.33333333],0
d2,1,0.81115,0.057094,[6 9] ; [17 22],[6.38888889 8.61111111] ; [16.61111111 22.38888889],0
a6,1,0.838502,0.041538,[8 7] ; [22 17],[8.33333333 6.66666667] ; [21.66666667 17.33333333],0
a3,1,0.838502,0.041538,[7 8] ; [17 22],[6.66666667 8.33333333] ; [17.33333333 21.66666667],0
p5,1,0.897436,0.016615,[ 1 14] ; [ 3 36],[ 1.11111111 13.88888889] ; [ 2.88888889 36.11111111],0
a1,1,0.897436,0.016615,[ 1 14] ; [ 3 36],[ 1.11111111 13.88888889] ; [ 2.88888889 36.11111111],0
v1,1,0.917272,0.010789,[6 9] ; [15 24],[5.83333333 9.16666667] ; [15.16666667 23.83333333],0
s5,1,0.942224,0.005253,[ 3 11] ; [ 8 31],[ 2.90566038 11.09433962] ; [ 8.09433962 30.90566038],0
r2,1,0.959923,0.002525,[13  2] ; [34  5],[13.05555556  1.94444444] ; [33.94444444  5.05555556],0
r4,1,0.966571,0.001756,[12  3] ; [31  8],[11.94444444  3.05555556] ; [31.05555556  7.94444444],0
