Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.000104,15.062389,[ 2 23] ; [15 10],[ 8.5 16.5] ; [ 8.5 16.5],1
p10,1,0.217699,1.519476,[41 17] ; [35  8],[43.64356436 14.35643564] ; [32.35643564 10.64356436],0
r4,1,0.219477,1.507784,[45 14] ; [37  6],[47.43137255 11.56862745] ; [34.56862745  8.43137255],0
a7,1,0.236551,1.401033,[42 17] ; [35  8],[44.53921569 14.46078431] ; [32.46078431 10.53921569],0
d3,1,0.244072,1.356918,[39 20] ; [33 10],[41.64705882 17.35294118] ; [30.35294118 12.64705882],0
s4,1,0.267496,1.229541,[15 44] ; [ 7 36],[12.7254902 46.2745098] ; [ 9.2745098 33.7254902],0
n2,1,0.274006,1.196581,[10  5] ; [11  2],[11.25  3.75] ; [9.75 3.25],0
p2,1,0.282039,1.157237,[45 13] ; [37  6],[47.08910891 10.91089109] ; [34.91089109  8.08910891],0
s8,1,0.291064,1.114694,[20 39] ; [19 24],[22.55882353 36.44117647] ; [16.44117647 26.55882353],0
b4,1,0.30208,1.06499,[31 28] ; [27 16],[33.54901961 25.45098039] ; [24.45098039 18.54901961],0
r2,1,0.3734,0.792319,[50  9] ; [39  4],[51.48039216  7.51960784] ; [37.51960784  5.48039216],0
a1,1,0.382873,0.761458,[ 1 58] ; [ 2 41],[ 1.73529412 57.26470588] ; [ 1.26470588 41.73529412],0
s1,1,0.382873,0.761458,[ 1 58] ; [ 2 41],[ 1.73529412 57.26470588] ; [ 1.26470588 41.73529412],0
p1,1,0.399935,0.708522,[ 3 55] ; [ 4 38],[ 4.06 53.94] ; [ 2.94 39.06],0
u2,1,0.400953,0.705467,[19 17] ; [8 4],[20.25 15.75] ; [6.75 5.25],0
p12,1,0.40542,0.69219,[ 3 56] ; [ 4 39],[ 4.04901961 54.95098039] ; [ 2.95098039 40.04901961],0
n5,1,0.411467,0.674557,[20 39] ; [18 25],[21.98039216 37.01960784] ; [16.01960784 26.98039216],0
d2,1,0.430238,0.62218,[15 44] ; [14 29],[16.7745098 42.2254902] ; [12.2254902 30.7745098],0
p6,1,0.440909,0.593915,[20 39] ; [17 24],[21.83 37.17] ; [15.17 25.83],0
d5,1,0.468571,0.525345,[40 19] ; [32 11],[41.64705882 17.35294118] ; [30.35294118 12.64705882],0
p11,1,0.473063,0.514812,[43 16] ; [34  9],[44.53921569 14.46078431] ; [32.46078431 10.53921569],0
n3,1,0.488462,0.479912,[10  5] ; [7 6],[9.10714286 5.89285714] ; [7.89285714 5.10714286],0
p7,1,0.493048,0.469869,[41 16] ; [32  9],[42.45918367 14.54081633] ; [30.54081633 10.45918367],0
s5,1,0.502048,0.450604,[16 40] ; [15 28],[17.53535354 38.46464646] ; [13.46464646 29.53535354],0
n1,1,0.5051,0.444205,[ 4 11] ; [5 8],[ 4.82142857 10.17857143] ; [4.17857143 8.82142857],0
s6,1,0.561357,0.337361,[36 23] ; [28 14],[37.38613861 21.61386139] ; [26.61386139 15.38613861],0
s3,1,0.633224,0.227714,[26 33] ; [21 22],[27.18627451 31.81372549] ; [19.81372549 23.18627451],0
p4,1,0.647095,0.209582,[33 26] ; [26 17],[34.12745098 24.87254902] ; [24.87254902 18.12745098],0
p5,1,0.658007,0.195954,[ 4 54] ; [ 4 39],[ 4.59405941 53.40594059] ; [ 3.40594059 39.59405941],0
b1,1,0.876572,0.024123,[17 42] ; [13 30],[17.35294118 41.64705882] ; [12.64705882 30.35294118],0
r3,1,0.884368,0.021151,[53  6] ; [39  4],[53.21568627  5.78431373] ; [38.78431373  4.21568627],0
v4,1,0.905362,0.014135,[53  5] ; [39  4],[52.83168317  5.16831683] ; [39.16831683  3.83168317],0
s2,1,0.958727,0.002678,[25 34] ; [18 25],[24.87254902 34.12745098] ; [18.12745098 24.87254902],0
