Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,8.8e-05,15.381247,[ 3 12] ; [113  48],[9.88636364 5.11363636] ; [106.11363636  54.88636364],1
p12,1,0.467265,0.528436,[ 1 14] ; [  5 156],[ 0.51136364 14.48863636] ; [  5.48863636 155.51136364],0
a2,1,0.475076,0.510145,[ 1 14] ; [ 21 140],[ 1.875 13.125] ; [ 20.125 140.875],0
a4,1,0.539441,0.376578,[ 3 12] ; [ 44 117],[ 4.00568182 10.99431818] ; [ 42.99431818 118.00568182],0
u1,1,0.590051,0.290265,[ 1 14] ; [ 18 143],[ 1.61931818 13.38068182] ; [ 17.38068182 143.61931818],0
n1,1,0.593803,0.284444,[3 7] ; [12 42],[2.34375 7.65625] ; [12.65625 41.34375],0
p4,1,0.616479,0.250847,[8 7] ; [75 86],[7.07386364 7.92613636] ; [75.92613636 85.07386364],0
p7,1,0.639114,0.219902,[8 6] ; [99 57],[8.81176471 5.18823529] ; [98.18823529 57.81176471],0
v1,1,0.707942,0.140341,[7 8] ; [65 91],[6.31578947 8.68421053] ; [65.68421053 90.31578947],0
a3,1,0.755189,0.097222,[8 7] ; [92 68],[8.57142857 6.42857143] ; [91.42857143 68.57142857],0
s4,1,0.833188,0.044359,[ 4 11] ; [ 39 122],[ 3.66477273 11.33522727] ; [ 39.33522727 121.66477273],0
p8,1,0.877321,0.023829,[7 8] ; [78 82],[7.28571429 7.71428571] ; [77.71428571 82.28571429],0
p6,1,0.908638,0.013169,[ 4 11] ; [ 40 118],[ 3.8150289 11.1849711] ; [ 40.1849711 117.8150289],0
b3,1,0.94264,0.005177,[2 5] ; [23 54],[2.08333333 4.91666667] ; [22.91666667 54.08333333],0
b2,1,0.94264,0.005177,[2 5] ; [23 54],[2.08333333 4.91666667] ; [22.91666667 54.08333333],0
p10,1,0.972037,0.001229,[11  4] ; [118  42],[11.05714286  3.94285714] ; [117.94285714  42.05714286],0
u2,1,0.982711,0.00047,[4 3] ; [38 29],[3.97297297 3.02702703] ; [38.02702703 28.97297297],0
