Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.53572,[11 19] ; [60 10],[21.3  8.7] ; [49.7 20.3],1
a5,1,0.449768,0.571236,[23  7] ; [59 12],[24.35643564  5.64356436] ; [57.64356436 13.35643564],0
v3,1,0.478383,0.502547,[ 6 21] ; [20 48],[ 7.38947368 19.61052632] ; [18.61052632 49.38947368],0
p11,1,0.528805,0.396687,[16 14] ; [33 38],[14.55445545 15.44554455] ; [34.44554455 36.55445545],0
s3,1,0.531616,0.391302,[14 15] ; [29 41],[12.5959596 16.4040404] ; [30.4040404 39.5959596],0
a3,1,0.54408,0.36803,[22  8] ; [56 15],[23.16831683  6.83168317] ; [54.83168317 16.16831683],0
p4,1,0.553504,0.351076,[12 17] ; [34 37],[13.34 15.66] ; [32.66 38.34],0
b3,1,0.569523,0.323481,[ 8 11] ; [17 32],[ 6.98529412 12.01470588] ; [18.01470588 30.98529412],0
b2,1,0.569523,0.323481,[ 8 11] ; [17 32],[ 6.98529412 12.01470588] ; [18.01470588 30.98529412],0
s6,1,0.5993,0.276052,[15 15] ; [39 31],[16.2 13.8] ; [37.8 32.2],0
p5,1,0.60527,0.267121,[ 2 28] ; [ 3 68],[ 1.48514851 28.51485149] ; [ 3.51485149 67.48514851],0
p1,1,0.606837,0.264807,[ 2 28] ; [ 7 64],[ 2.67326733 27.32673267] ; [ 6.32673267 64.67326733],0
n3,1,0.638145,0.221176,[9 8] ; [18 12],[9.76595745 7.23404255] ; [17.23404255 12.76595745],0
u3,1,0.679109,0.171131,[6 2] ; [10  5],[5.56521739 2.43478261] ; [10.43478261  4.56521739],0
n4,1,0.689089,0.160073,[20  9] ; [46 25],[19.14  9.86] ; [46.86 24.14],0
n2,1,0.716031,0.132328,[10  7] ; [16 14],[9.40425532 7.59574468] ; [16.59574468 13.40425532],0
p6,1,0.717038,0.131348,[ 8 20] ; [17 51],[ 7.29166667 20.70833333] ; [17.70833333 50.29166667],0
a4,1,0.738973,0.111032,[19 10] ; [44 27],[18.27 10.73] ; [44.73 26.27],0
v2,1,0.749344,0.102083,[15 13] ; [35 35],[14.28571429 13.71428571] ; [35.71428571 34.28571429],0
d2,1,0.75109,0.100617,[24  5] ; [56 14],[23.43434343  5.56565657] ; [56.56565657 13.43434343],0
r2,1,0.766535,0.088156,[27  2] ; [63  6],[26.63265306  2.36734694] ; [63.36734694  5.63265306],0
r3,1,0.769383,0.085956,[26  4] ; [63  8],[26.43564356  3.56435644] ; [62.56435644  8.43564356],0
n6,1,0.810199,0.057681,[21  8] ; [49 21],[20.50505051  8.49494949] ; [49.49494949 20.50505051],0
u4,1,0.840966,0.040264,[ 2 28] ; [ 4 67],[ 1.78217822 28.21782178] ; [ 4.21782178 66.78217822],0
v1,1,0.847946,0.036764,[11 18] ; [28 42],[11.42424242 17.57575758] ; [27.57575758 42.42424242],0
d5,1,0.898211,0.016364,[29  1] ; [68  2],[29.1  0.9] ; [67.9  2.1],0
u2,1,0.898977,0.016117,[4 3] ; [9 6],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
s1,1,0.917636,0.010694,[ 2 28] ; [ 5 64],[ 2.12121212 27.87878788] ; [ 4.87878788 64.12121212],0
n5,1,0.935941,0.00646,[17 12] ; [41 30],[16.82 12.18] ; [41.18 29.82],0
a1,1,0.945856,0.004612,[ 2 28] ; [ 5 66],[ 2.07920792 27.92079208] ; [ 4.92079208 66.07920792],0
p7,1,0.967034,0.001708,[11 19] ; [25 44],[10.90909091 19.09090909] ; [25.09090909 43.90909091],0
