Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.4e-05,18.9,[12 44] ; [42 28],[24. 32.] ; [30. 40.],1
p9,1,0.171491,1.869859,[44 10] ; [63  7],[46.59677419  7.40322581] ; [60.40322581  9.59677419],0
p4,1,0.198616,1.65252,[26 30] ; [40 29],[29.568 26.432] ; [36.432 32.568],0
n5,1,0.214588,1.540203,[35 21] ; [51 19],[38.22222222 17.77777778] ; [47.77777778 22.22222222],0
s3,1,0.246139,1.345088,[25 31] ; [38 31],[28.224 27.776] ; [34.776 34.224],0
v1,1,0.284272,1.146551,[21 35] ; [32 36],[23.93548387 32.06451613] ; [29.06451613 38.93548387],0
p12,1,0.288232,1.12786,[ 5 51] ; [ 3 67],[ 3.55555556 52.44444444] ; [ 4.44444444 65.55555556],0
s7,1,0.308205,1.038351,[18 36] ; [28 38],[20.7 33.3] ; [25.3 40.7],0
b5,1,0.395129,0.723099,[40 16] ; [45 25],[37.77777778 18.22222222] ; [47.22222222 22.77777778],0
p8,1,0.406264,0.689707,[23 33] ; [33 35],[25.29032258 30.70967742] ; [30.70967742 37.29032258],0
s1,1,0.4183,0.655085,[ 1 55] ; [ 3 66],[ 1.792 54.208] ; [ 2.208 66.792],0
b1,1,0.424713,0.637237,[17 39] ; [26 44],[19.11111111 36.88888889] ; [23.88888889 46.11111111],0
n2,1,0.47725,0.50514,[9 3] ; [22  4],[9.78947368 2.21052632] ; [21.21052632  4.78947368],0
p11,1,0.482953,0.492187,[41 15] ; [55 15],[42.66666667 13.33333333] ; [53.33333333 16.66666667],0
v3,1,0.510404,0.433239,[21 35] ; [21 45],[19.27868852 36.72131148] ; [22.72131148 43.27868852],0
a7,1,0.536086,0.382842,[34 21] ; [47 23],[35.64 19.36] ; [45.36 24.64],0
p7,1,0.585656,0.29718,[30 25] ; [41 28],[31.49193548 23.50806452] ; [39.50806452 29.49193548],0
u3,1,0.603349,0.269975,[14 19] ; [9 9],[14.88235294 18.11764706] ; [8.11764706 9.88235294],0
a8,1,0.612763,0.256171,[ 7 45] ; [ 7 60],[ 6.11764706 45.88235294] ; [ 7.88235294 59.11764706],0
p1,1,0.646655,0.210143,[ 5 51] ; [ 8 62],[ 5.77777778 50.22222222] ; [ 7.22222222 62.77777778],0
d3,1,0.651949,0.203451,[30 25] ; [41 29],[31.24 23.76] ; [39.76 30.24],0
s4,1,0.689448,0.159683,[12 44] ; [13 57],[11.11111111 44.88888889] ; [13.88888889 56.11111111],0
p5,1,0.690256,0.158809,[ 6 50] ; [ 9 60],[ 6.72 49.28] ; [ 8.28 60.72],0
v2,1,0.714459,0.133864,[22 33] ; [29 38],[22.99180328 32.00819672] ; [28.00819672 38.99180328],0
n4,1,0.765991,0.08858,[37 19] ; [48 22],[37.77777778 18.22222222] ; [47.22222222 22.77777778],0
v4,1,0.778999,0.07875,[53  3] ; [67  3],[53.33333333  2.66666667] ; [66.66666667  3.33333333],0
p6,1,0.831093,0.045497,[20 35] ; [26 42],[20.56910569 34.43089431] ; [25.43089431 42.56910569],0
b4,1,0.836104,0.042799,[35 21] ; [45 25],[35.55555556 20.44444444] ; [44.44444444 25.55555556],0
n3,1,0.900415,0.015659,[9 3] ; [19  7],[8.84210526 3.15789474] ; [19.15789474  6.84210526],0
u2,1,0.917616,0.010699,[17 16] ; [9 9],[16.82352941 16.17647059] ; [9.17647059 8.82352941],0
n6,1,0.952292,0.00358,[49  7] ; [61  9],[48.88888889  7.11111111] ; [61.11111111  8.88888889],0
p2,1,0.962255,0.00224,[43 13] ; [54 16],[43.11111111 12.88888889] ; [53.88888889 16.11111111],0
