Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,25.028938,[36  8] ; [ 9 26],[25.06329114 18.93670886] ; [19.93670886 15.06329114],1
p7,1,0.30024,1.073129,[22 22] ; [13 21],[19.74358974 24.25641026] ; [15.25641026 18.74358974],0
s6,1,0.301979,1.065435,[24 20] ; [15 20],[21.72151899 22.27848101] ; [17.27848101 17.72151899],0
p8,1,0.355271,0.854541,[17 26] ; [10 24],[15.07792208 27.92207792] ; [11.92207792 22.07792208],0
b3,1,0.379621,0.77193,[ 5 20] ; [ 6 13],[ 6.25 18.75] ; [ 4.75 14.25],0
b2,1,0.379621,0.77193,[ 5 20] ; [ 6 13],[ 6.25 18.75] ; [ 4.75 14.25],0
p2,1,0.39035,0.737851,[31 11] ; [22 12],[29.28947368 12.71052632] ; [23.71052632 10.28947368],0
d3,1,0.435108,0.609151,[22 21] ; [21 14],[23.70512821 19.29487179] ; [19.29487179 15.70512821],0
d4,1,0.452467,0.564466,[32 12] ; [28  7],[33.41772152 10.58227848] ; [26.58227848  8.41772152],0
n1,1,0.45675,0.553846,[ 6 12] ; [ 4 14],[ 5. 13.] ; [ 5. 13.],0
s1,1,0.465368,0.532952,[ 2 42] ; [ 3 32],[ 2.78481013 41.21518987] ; [ 2.21518987 32.78481013],0
v4,1,0.47925,0.500569,[28 15] ; [24  9],[29.42105263 13.57894737] ; [22.57894737 10.42105263],0
d1,1,0.495844,0.46382,[18 26] ; [17 18],[19.49367089 24.50632911] ; [15.50632911 19.49367089],0
u2,1,0.529651,0.395062,[7 7] ; [ 7 11],[6.125 7.875] ; [ 7.875 10.125],0
a6,1,0.562469,0.335447,[21 23] ; [19 16],[22.27848101 21.72151899] ; [17.72151899 17.27848101],0
u1,1,0.573602,0.316693,[ 4 40] ; [ 2 33],[ 3.34177215 40.65822785] ; [ 2.65822785 32.34177215],0
d5,1,0.6003,0.274543,[29 15] ; [25 10],[30.07594937 13.92405063] ; [23.92405063 11.07594937],0
v1,1,0.655096,0.199536,[17 24] ; [12 21],[16.06756757 24.93243243] ; [12.93243243 20.06756757],0
a2,1,0.682799,0.166992,[ 5 39] ; [ 3 32],[ 4.4556962 39.5443038] ; [ 3.5443038 31.4556962],0
a4,1,0.705906,0.142401,[13 31] ; [ 9 26],[12.25316456 31.74683544] ; [ 9.74683544 25.25316456],0
p1,1,0.714855,0.133476,[ 2 42] ; [ 1 33],[ 1.69230769 42.30769231] ; [ 1.30769231 32.69230769],0
u3,1,0.729507,0.119565,[ 5 10] ; [ 5 13],[ 4.54545455 10.45454545] ; [ 5.45454545 12.54545455],0
s3,1,0.760948,0.09256,[20 23] ; [17 17],[20.66233766 22.33766234] ; [16.33766234 17.66233766],0
b5,1,0.77576,0.081138,[25 19] ; [21 14],[25.62025316 18.37974684] ; [20.37974684 14.62025316],0
n3,1,0.825887,0.048391,[11  7] ; [11  6],[11.31428571  6.68571429] ; [10.68571429  6.31428571],0
a1,1,0.841347,0.040068,[ 3 41] ; [ 2 33],[ 2.78481013 41.21518987] ; [ 2.21518987 32.78481013],0
a8,1,0.852043,0.034787,[ 3 39] ; [ 2 31],[ 2.8 39.2] ; [ 2.2 30.8],0
b1,1,0.858636,0.031723,[21 23] ; [16 19],[20.60759494 23.39240506] ; [16.39240506 18.60759494],0
p5,1,0.867114,0.027998,[ 3 41] ; [ 2 32],[ 2.82051282 41.17948718] ; [ 2.17948718 31.82051282],0
d2,1,0.891924,0.018461,[17 27] ; [13 22],[16.70886076 27.29113924] ; [13.29113924 21.70886076],0
p12,1,0.895926,0.017111,[ 1 41] ; [ 1 34],[ 1.09090909 40.90909091] ; [ 0.90909091 34.09090909],0
b4,1,0.901868,0.015203,[27 17] ; [21 14],[26.73417722 17.26582278] ; [21.26582278 13.73417722],0
s4,1,0.90438,0.014431,[ 8 36] ; [ 6 29],[ 7.79746835 36.20253165] ; [ 6.20253165 28.79746835],0
v2,1,0.926985,0.008398,[23 20] ; [18 15],[23.19736842 19.80263158] ; [17.80263158 15.19736842],0
r2,1,0.938777,0.005899,[24 18] ; [18 14],[23.83783784 18.16216216] ; [18.16216216 13.83783784],0
