Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.2e-05,17.97235,[23  8] ; [ 3 18],[15.5 15.5] ; [10.5 10.5],1
r2,1,0.3223,0.979592,[18 10] ; [10 10],[16.33333333 11.66666667] ; [11.66666667  8.33333333],0
p7,1,0.335743,0.92662,[19 12] ; [ 9 10],[17.36 13.64] ; [10.64  8.36],0
d5,1,0.354738,0.856437,[25  7] ; [14  7],[23.54716981  8.45283019] ; [15.45283019  5.54716981],0
n1,1,0.403713,0.697239,[5 9] ; [2 8],[4.08333333 9.91666667] ; [2.91666667 7.08333333],0
v4,1,0.430947,0.62027,[23  7] ; [14  7],[21.76470588  8.23529412] ; [15.23529412  5.76470588],0
v1,1,0.524065,0.405886,[13 17] ; [11 10],[14.11764706 15.88235294] ; [ 9.88235294 11.11764706],0
a2,1,0.534039,0.3867,[ 3 29] ; [ 1 20],[ 2.41509434 29.58490566] ; [ 1.58490566 19.41509434],0
p4,1,0.538127,0.379022,[14 18] ; [11 10],[15.09433962 16.90566038] ; [ 9.90566038 11.09433962],0
r1,1,0.556434,0.345917,[10 22] ; [ 5 16],[ 9.05660377 22.94339623] ; [ 5.94339623 15.05660377],0
n2,1,0.558185,0.342857,[10  4] ; [6 4],[9.33333333 4.66666667] ; [6.66666667 3.33333333],0
p5,1,0.564618,0.331771,[ 3 29] ; [ 1 19],[ 2.46153846 29.53846154] ; [ 1.53846154 18.46153846],0
n5,1,0.572172,0.319062,[21 10] ; [12  8],[20.05882353 10.94117647] ; [12.94117647  7.05882353],0
v2,1,0.588724,0.292342,[18 12] ; [11 10],[17.05882353 12.94117647] ; [11.94117647  9.05882353],0
a7,1,0.610401,0.259592,[16 16] ; [12  9],[16.90566038 15.09433962] ; [11.09433962  9.90566038],0
a1,1,0.658986,0.194758,[ 2 30] ; [ 2 19],[ 2.41509434 29.58490566] ; [ 1.58490566 19.41509434],0
a5,1,0.682801,0.16699,[18 14] ; [13  8],[18.71698113 13.28301887] ; [12.28301887  8.71698113],0
p3,1,0.685019,0.164531,[13 19] ; [ 7 13],[12.30769231 19.69230769] ; [ 7.69230769 12.30769231],0
n6,1,0.69281,0.15606,[19 12] ; [14  7],[19.67307692 11.32692308] ; [13.32692308  7.67307692],0
p1,1,0.759699,0.09356,[ 1 31] ; [ 1 20],[ 1.20754717 30.79245283] ; [ 0.79245283 20.20754717],0
v3,1,0.773003,0.083203,[ 8 24] ; [ 6 15],[ 8.45283019 23.54716981] ; [ 5.54716981 15.45283019],0
u3,1,0.834996,0.043388,[5 5] ; [5 6],[4.76190476 5.23809524] ; [5.23809524 5.76190476],0
s5,1,0.851205,0.035186,[ 9 20] ; [ 6 15],[ 8.7 20.3] ; [ 6.3 14.7],0
d1,1,0.853881,0.033918,[13 19] ; [ 8 13],[12.67924528 19.32075472] ; [ 8.32075472 12.67924528],0
b5,1,0.873724,0.025259,[22 10] ; [14  7],[21.73584906 10.26415094] ; [14.26415094  6.73584906],0
n3,1,0.888683,0.019592,[8 6] ; [6 4],[8.16666667 5.83333333] ; [5.83333333 4.16666667],0
d4,1,0.921516,0.009707,[24  8] ; [16  5],[24.1509434  7.8490566] ; [15.8490566  5.1509434],0
b4,1,0.957674,0.002817,[17 15] ; [11 10],[16.90566038 15.09433962] ; [11.09433962  9.90566038],0
b1,1,0.957674,0.002817,[15 17] ; [10 11],[15.09433962 16.90566038] ; [ 9.90566038 11.09433962],0
d2,1,0.965123,0.001912,[12 20] ; [ 8 13],[12.0754717 19.9245283] ; [ 7.9245283 13.0754717],0
a4,1,0.971849,0.001245,[ 9 23] ; [ 6 15],[ 9.05660377 22.94339623] ; [ 5.94339623 15.05660377],0
