Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.020713,5.350791,[ 5 13] ; [17 10],[8.8 9.2] ; [13.2 13.8],0
s2,1,0.475896,0.508252,[11 20] ; [23 30],[12.54761905 18.45238095] ; [21.45238095 31.54761905],0
a3,1,0.476403,0.507087,[13 18] ; [26 26],[14.56626506 16.43373494] ; [24.43373494 27.56626506],0
p7,1,0.505949,0.442437,[13 17] ; [26 25],[14.44444444 15.55555556] ; [24.55555556 26.44444444],0
p8,1,0.525907,0.402293,[10 20] ; [21 31],[11.34146341 18.65853659] ; [19.65853659 32.34146341],0
v1,1,0.528243,0.39777,[11 20] ; [15 37],[ 9.71084337 21.28915663] ; [16.28915663 35.71084337],0
p6,1,0.531573,0.391384,[ 7 24] ; [15 37],[ 8.21686747 22.78313253] ; [13.78313253 38.21686747],0
u2,1,0.540291,0.375,[ 7 11] ; [13 14],[ 8. 10.] ; [12. 15.],0
s4,1,0.567309,0.327206,[10 21] ; [14 39],[ 8.85714286 22.14285714] ; [15.14285714 37.85714286],0
p5,1,0.567925,0.326167,[ 2 28] ; [ 2 50],[ 1.46341463 28.53658537] ; [ 2.53658537 49.46341463],0
a4,1,0.584449,0.299097,[ 6 25] ; [13 40],[ 7.01190476 23.98809524] ; [11.98809524 41.01190476],0
n6,1,0.585307,0.297734,[20 11] ; [31 22],[18.82142857 12.17857143] ; [32.17857143 20.82142857],0
n3,1,0.591465,0.288062,[10  7] ; [10 10],[9.18918919 7.81081081] ; [10.81081081  9.18918919],0
s1,1,0.613138,0.25563,[ 1 30] ; [ 3 50],[ 1.47619048 29.52380952] ; [ 2.52380952 50.47619048],0
r2,1,0.650513,0.205254,[22  9] ; [40 13],[22.88095238  8.11904762] ; [39.11904762 13.88095238],0
n1,1,0.677392,0.173077,[ 5 11] ; [ 5 15],[ 4.44444444 11.55555556] ; [ 5.55555556 14.44444444],0
s8,1,0.742428,0.108004,[ 8 23] ; [12 41],[ 7.38095238 23.61904762] ; [12.61904762 40.38095238],0
n2,1,0.768651,0.086518,[11  6] ; [12  8],[10.56756757  6.43243243] ; [12.43243243  7.56756757],0
b3,1,0.825709,0.048491,[ 5 11] ; [10 19],[ 5.33333333 10.66666667] ; [ 9.66666667 19.33333333],0
b2,1,0.825709,0.048491,[ 5 11] ; [10 19],[ 5.33333333 10.66666667] ; [ 9.66666667 19.33333333],0
b5,1,0.834923,0.043427,[18 13] ; [32 21],[18.45238095 12.54761905] ; [31.54761905 21.45238095],0
p2,1,0.843196,0.039128,[19 12] ; [33 19],[19.42168675 11.57831325] ; [32.57831325 19.42168675],0
a8,1,0.85768,0.032159,[ 1 30] ; [ 2 48],[ 1.14814815 29.85185185] ; [ 1.85185185 48.14814815],0
v2,1,0.872952,0.025571,[ 8 22] ; [15 38],[ 8.31325301 21.68674699] ; [14.68674699 38.31325301],0
a2,1,0.882422,0.021874,[ 2 29] ; [ 3 50],[ 1.8452381 29.1547619] ; [ 3.1547619 49.8452381],0
u1,1,0.896135,0.017042,[ 1 30] ; [ 2 51],[ 1.10714286 29.89285714] ; [ 1.89285714 51.10714286],0
b1,1,0.914159,0.01162,[15 16] ; [25 28],[14.76190476 16.23809524] ; [25.23809524 27.76190476],0
p4,1,0.934111,0.006835,[12 19] ; [21 32],[12.17857143 18.82142857] ; [20.82142857 32.17857143],0
s6,1,0.934247,0.006807,[14 17] ; [23 29],[13.81927711 17.18072289] ; [23.18072289 28.81927711],0
s7,1,0.938912,0.005873,[ 8 22] ; [14 37],[ 8.14814815 21.85185185] ; [13.85185185 37.14814815],0
r4,1,0.952764,0.003509,[15 16] ; [26 27],[15.13095238 15.86904762] ; [25.86904762 27.13095238],0
p3,1,0.967416,0.001669,[10 21] ; [17 35],[10.08433735 20.91566265] ; [16.91566265 35.08433735],0
