Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.002492,9.146107,[13 62] ; [13 15],[18.93203883 56.06796117] ; [ 7.06796117 20.93203883],0
d2,1,0.505948,0.442438,[36 38] ; [12 17],[34.48543689 39.51456311] ; [13.51456311 15.48543689],0
s5,1,0.507226,0.439787,[ 7 68] ; [ 4 25],[ 7.93269231 67.06730769] ; [ 3.06730769 25.93269231],0
a1,1,0.536616,0.381847,[ 5 71] ; [ 1 28],[ 4.34285714 71.65714286] ; [ 1.65714286 27.34285714],0
r2,1,0.537829,0.379578,[60 14] ; [25  4],[61.06796117 12.93203883] ; [23.93203883  5.06796117],0
b5,1,0.602872,0.270686,[35 41] ; [15 14],[36.19047619 39.80952381] ; [13.80952381 15.19047619],0
a4,1,0.69268,0.156199,[29 46] ; [10 19],[28.125 46.875] ; [10.875 18.125],0
s4,1,0.704906,0.143418,[ 7 69] ; [ 2 27],[ 6.51428571 69.48571429] ; [ 2.48571429 26.51428571],0
b4,1,0.707689,0.140597,[45 31] ; [16 13],[44.15238095 31.84761905] ; [16.84761905 12.15238095],0
a6,1,0.76225,0.091523,[47 29] ; [17 12],[46.32380952 29.67619048] ; [17.67619048 11.32380952],0
a8,1,0.776863,0.080321,[ 4 67] ; [ 2 26],[ 4.3030303 66.6969697] ; [ 1.6969697 26.3030303],0
n5,1,0.922935,0.009358,[37 38] ; [14 15],[36.77884615 38.22115385] ; [14.22115385 14.77884615],0
a2,1,0.931775,0.007329,[10 66] ; [ 4 25],[10.13333333 65.86666667] ; [ 3.86666667 25.13333333],0
n4,1,0.954975,0.003188,[47 28] ; [18 11],[46.875 28.125] ; [18.125 10.875],0
v1,1,0.99629,2.2e-05,[21 55] ; [ 8 21],[20.99047619 55.00952381] ; [ 8.00952381 20.99047619],0
