Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1e-06,23.731722,[86 81] ; [77 17],[104.29501916  62.70498084] ; [58.70498084 35.29501916],1
u1,1,0.502169,0.450349,[ 23 144] ; [16 79],[ 24.85877863 142.14122137] ; [14.14122137 80.85877863],0
s5,1,0.62049,0.245179,[ 36 122] ; [24 70],[ 37.61904762 120.38095238] ; [22.38095238 71.61904762],0
b1,1,0.666211,0.186066,[71 96] ; [43 52],[72.66412214 94.33587786] ; [41.33587786 53.66412214],0
p12,1,0.674609,0.176258,[  7 160] ; [ 3 92],[  6.3740458 160.6259542] ; [ 3.6259542 91.3740458],0
d3,1,0.696184,0.152472,[103  64] ; [59 33],[104.45559846  62.54440154] ; [57.54440154 34.45559846],0
a4,1,0.715183,0.133155,[72 94] ; [39 56],[70.59770115 95.40229885] ; [40.40229885 54.59770115],0
s4,1,0.724297,0.124413,[ 33 133] ; [17 77],[ 31.92307692 134.07692308] ; [18.07692308 75.92307692],0
n2,1,0.741934,0.108434,[47 26] ; [21 10],[47.73076923 25.26923077] ; [20.26923077 10.73076923],0
a7,1,0.746576,0.104431,[111  55] ; [61 33],[109.81538462  56.18461538] ; [62.18461538 31.81538462],0
d2,1,0.778451,0.079151,[78 86] ; [43 51],[76.91472868 87.08527132] ; [44.08527132 49.91472868],0
d1,1,0.787241,0.072843,[85 82] ; [50 45],[86.04961832 80.95038168] ; [48.95038168 46.04961832],0
n6,1,0.885445,0.020756,[123  44] ; [70 24],[123.49042146  43.50957854] ; [69.50957854 24.49042146],0
u3,1,0.973916,0.001069,[30 32] ; [12 13],[29.93103448 32.06896552] ; [12.06896552 12.93103448],0
b5,1,0.976215,0.000889,[97 70] ; [55 40],[96.88549618 70.11450382] ; [55.11450382 39.88549618],0
d4,1,0.976494,0.000868,[127  39] ; [71 22],[126.9034749  39.0965251] ; [71.0965251 21.9034749],0
n4,1,0.978972,0.000695,[114  53] ; [65 30],[114.09541985  52.90458015] ; [64.90458015 30.09541985],0
