Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.2e-05,19.217898,[38 12] ; [ 9 24],[28.31325301 21.68674699] ; [18.68674699 14.31325301],1
p1,1,0.351711,0.867276,[ 4 46] ; [ 1 32],[ 3.01204819 46.98795181] ; [ 1.98795181 31.01204819],0
a2,1,0.369548,0.805184,[ 6 44] ; [ 2 31],[ 4.81927711 45.18072289] ; [ 3.18072289 29.81927711],0
v2,1,0.404681,0.694372,[22 27] ; [11 20],[20.2125 28.7875] ; [12.7875 18.2125],0
u3,1,0.430869,0.620481,[ 6 14] ; [ 8 11],[ 7.17948718 12.82051282] ; [ 6.82051282 12.17948718],0
a6,1,0.498545,0.458033,[25 25] ; [14 19],[23.4939759 26.5060241] ; [15.5060241 17.4939759],0
d3,1,0.499599,0.455788,[26 23] ; [20 13],[27.48780488 21.51219512] ; [18.51219512 14.48780488],0
n3,1,0.507903,0.438386,[11  8] ; [11  5],[11.94285714  7.05714286] ; [10.05714286  5.94285714],0
p7,1,0.528926,0.396455,[27 23] ; [15 17],[25.6097561 24.3902439] ; [16.3902439 15.6097561],0
a1,1,0.536424,0.382208,[ 3 47] ; [ 1 32],[ 2.40963855 47.59036145] ; [ 1.59036145 31.40963855],0
d5,1,0.5562,0.346327,[32 18] ; [19 14],[30.72289157 19.27710843] ; [20.27710843 12.72289157],0
s5,1,0.567413,0.32703,[ 9 37] ; [ 8 24],[10.02564103 35.97435897] ; [ 6.97435897 25.02564103],0
p8,1,0.608359,0.262571,[20 30] ; [11 21],[18.90243902 31.09756098] ; [12.09756098 19.90243902],0
n1,1,0.667779,0.184211,[ 6 13] ; [ 4 12],[ 5.42857143 13.57142857] ; [ 4.57142857 11.42857143],0
b4,1,0.677506,0.172947,[28 22] ; [20 13],[28.91566265 21.08433735] ; [19.08433735 13.91566265],0
v1,1,0.683282,0.166455,[18 28] ; [14 18],[18.87179487 27.12820513] ; [13.12820513 18.87179487],0
r2,1,0.747379,0.103747,[25 21] ; [18 13],[25.68831169 20.31168831] ; [17.31168831 13.68831169],0
s1,1,0.76451,0.089738,[ 1 49] ; [ 1 32],[ 1.20481928 48.79518072] ; [ 0.79518072 32.20481928],0
p12,1,0.803615,0.061838,[ 2 47] ; [ 1 32],[ 1.79268293 47.20731707] ; [ 1.20731707 31.79268293],0
a8,1,0.809894,0.05787,[ 2 43] ; [ 1 29],[ 1.8 43.2] ; [ 1.2 28.8],0
b1,1,0.824326,0.049277,[27 23] ; [17 16],[26.5060241 23.4939759] ; [17.4939759 15.5060241],0
b5,1,0.82603,0.04831,[30 20] ; [19 14],[29.51807229 20.48192771] ; [19.48192771 13.51807229],0
r1,1,0.865796,0.028561,[14 35] ; [10 23],[14.34146341 34.65853659] ; [ 9.65853659 23.34146341],0
b2,1,0.865811,0.028555,[ 9 24] ; [ 4 12],[ 8.75510204 24.24489796] ; [ 4.24489796 11.75510204],0
b3,1,0.865811,0.028555,[ 9 24] ; [ 4 12],[ 8.75510204 24.24489796] ; [ 4.24489796 11.75510204],0
p3,1,0.880112,0.022749,[19 31] ; [12 21],[18.6746988 31.3253012] ; [12.3253012 20.6746988],0
r3,1,0.946104,0.00457,[31 15] ; [22 11],[30.86075949 15.13924051] ; [22.13924051 10.86075949],0
d1,1,0.949872,0.003952,[17 33] ; [11 22],[16.86746988 33.13253012] ; [11.13253012 21.86746988],0
s3,1,0.966699,0.001743,[21 26] ; [14 17],[21.08974359 25.91025641] ; [13.91025641 17.08974359],0
u2,1,1.0,0.0,[10  9] ; [10  9],[10.  9.] ; [10.  9.],0
