Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,60.76016,[ 27 105] ; [122  67],[61.27102804 70.72897196] ; [ 87.72897196 101.27102804],1
a7,1,0.304825,1.052968,[85 47] ; [132  57],[89.23364486 42.76635514] ; [127.76635514  61.23364486],0
a6,1,0.310059,1.030423,[80 52] ; [125  64],[84.29906542 47.70093458] ; [120.70093458  68.29906542],0
n3,1,0.445425,0.582267,[32 12] ; [24 13],[30.41975309 13.58024691] ; [25.58024691 11.41975309],0
u1,1,0.47378,0.513146,[ 16 117] ; [ 28 161],[ 18.17391304 114.82608696] ; [ 25.82608696 163.17391304],0
a2,1,0.489856,0.476842,[ 24 109] ; [ 40 149],[ 26.43478261 106.56521739] ; [ 37.56521739 151.43478261],0
p12,1,0.49944,0.456127,[  6 125] ; [ 12 177],[  7.36875 123.63125] ; [ 10.63125 178.36875],0
u4,1,0.505144,0.444113,[  1 132] ; [  3 186],[  1.65217391 131.34782609] ; [  2.34782609 186.65217391],0
n1,1,0.668023,0.183924,[19 24] ; [15 23],[18.04938272 24.95061728] ; [15.95061728 22.04938272],0
v3,1,0.699953,0.14852,[ 22 109] ; [ 34 150],[ 23.28888889 107.71111111] ; [ 32.71111111 151.28888889],0
b4,1,0.850402,0.035572,[76 57] ; [106  83],[75.17391304 57.82608696] ; [106.82608696  82.17391304],0
a8,1,0.881633,0.022171,[ 16 106] ; [ 24 151],[ 16.43097643 105.56902357] ; [ 23.56902357 151.43097643],0
s1,1,0.90326,0.014773,[  6 126] ; [  9 177],[  6.22641509 125.77358491] ; [  8.77358491 177.22641509],0
a1,1,0.903968,0.014557,[  6 127] ; [  8 181],[  5.7826087 127.2173913] ; [  8.2173913 180.7826087],0
