Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,87.231803,[126   1] ; [52 60],[94.58577406 32.41422594] ; [83.41422594 28.58577406],1
p2,1,0.365686,0.818272,[105  20] ; [89 23],[102.32067511  22.67932489] ; [91.67932489 20.32067511],0
u2,1,0.367592,0.811787,[15 12] ; [21 26],[13.13513514 13.86486486] ; [22.86486486 24.13513514],0
b4,1,0.486512,0.484232,[72 55] ; [59 54],[69.32083333 57.67916667] ; [61.67916667 51.32083333],0
p3,1,0.570381,0.322045,[57 69] ; [47 66],[54.82845188 71.17154812] ; [49.17154812 63.82845188],0
s7,1,0.626032,0.23748,[31 91] ; [24 82],[29.42982456 92.57017544] ; [25.57017544 80.42982456],0
u3,1,0.676056,0.1746,[14 13] ; [22 25],[13.13513514 13.86486486] ; [22.86486486 24.13513514],0
n3,1,0.722206,0.126389,[21  7] ; [19  5],[21.53846154  6.46153846] ; [18.46153846  5.53846154],0
n2,1,0.772238,0.083781,[20  8] ; [18  6],[20.46153846  7.53846154] ; [17.53846154  6.46153846],0
s3,1,0.820102,0.051717,[34 91] ; [29 83],[33.2278481 91.7721519] ; [29.7721519 82.2278481],0
n5,1,0.879558,0.022961,[90 36] ; [79 33],[89.47058824 36.52941176] ; [79.52941176 32.47058824],0
s2,1,0.957166,0.002885,[ 26 100] ; [23 90],[ 25.83263598 100.16736402] ; [23.16736402 89.83263598],0
n1,1,1.0,0.0,[ 9 18] ; [ 8 16],[ 9. 18.] ; [ 8. 16.],0
