Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.664875,[10  2] ; [ 9 48],[3.30434783 8.69565217] ; [15.69565217 41.30434783],1
p7,1,0.286739,1.134868,[5 7] ; [15 42],[3.47826087 8.52173913] ; [16.52173913 40.47826087],0
n2,1,0.329929,0.949175,[4 1] ; [13 10],[3.03571429 1.96428571] ; [13.96428571  9.03571429],0
v3,1,0.370888,0.800688,[1 8] ; [14 43],[2.04545455 6.95454545] ; [12.95454545 44.04545455],0
p8,1,0.377635,0.778388,[4 8] ; [12 44],[2.82352941 9.17647059] ; [13.17647059 42.82352941],0
s1,1,0.410351,0.677783,[ 2 10] ; [ 5 52],[ 1.2173913 10.7826087] ; [ 5.7826087 51.2173913],0
v2,1,0.42272,0.642742,[4 5] ; [17 38],[2.953125 6.046875] ; [18.046875 36.953125],0
d3,1,0.422731,0.64271,[7 5] ; [26 31],[5.73913043 6.26086957] ; [27.26086957 29.73913043],0
a6,1,0.422731,0.64271,[5 7] ; [31 26],[6.26086957 5.73913043] ; [29.73913043 27.26086957],0
a5,1,0.435403,0.608367,[8 4] ; [31 26],[6.7826087 5.2173913] ; [32.2173913 24.7826087],0
n1,1,0.438058,0.601364,[3 2] ; [ 9 13],[2.22222222 2.77777778] ; [ 9.77777778 12.22222222],0
u2,1,0.443598,0.586957,[2 2] ; [ 7 16],[1.33333333 2.66666667] ; [ 7.66666667 15.33333333],0
b1,1,0.489859,0.476835,[5 7] ; [30 27],[6.08695652 5.91304348] ; [28.91304348 28.08695652],0
a7,1,0.561883,0.336455,[5 7] ; [29 28],[5.91304348 6.08695652] ; [28.08695652 28.91304348],0
a1,1,0.594002,0.284137,[ 1 11] ; [ 8 49],[ 1.56521739 10.43478261] ; [ 7.43478261 49.56521739],0
b5,1,0.616079,0.251417,[6 6] ; [33 24],[6.7826087 5.2173913] ; [32.2173913 24.7826087],0
a3,1,0.650749,0.204957,[8 4] ; [34 23],[7.30434783 4.69565217] ; [34.69565217 22.30434783],0
a2,1,0.697871,0.150696,[ 1 11] ; [ 7 50],[ 1.39130435 10.60869565] ; [ 6.60869565 50.39130435],0
u3,1,0.701671,0.146739,[1 3] ; [ 8 15],[1.33333333 2.66666667] ; [ 7.66666667 15.33333333],0
v1,1,0.771068,0.084668,[4 8] ; [16 39],[3.58208955 8.41791045] ; [16.41791045 38.58208955],0
b2,1,0.788188,0.07218,[4 6] ; [17 21],[4.375 5.625] ; [16.625 21.375],0
b3,1,0.788188,0.07218,[4 6] ; [17 21],[4.375 5.625] ; [16.625 21.375],0
d2,1,0.910569,0.012616,[6 6] ; [27 29],[5.82352941 6.17647059] ; [27.17647059 28.82352941],0
