Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,23.407305,[18 20] ; [78 11],[28.72440945  9.27559055] ; [67.27559055 21.72440945],1
p2,1,0.122433,2.385923,[26 13] ; [73 19],[29.47328244  9.52671756] ; [69.52671756 22.47328244],0
d4,1,0.137187,2.209232,[29 11] ; [77 15],[32.12121212  7.87878788] ; [73.87878788 18.12121212],0
p12,1,0.150864,2.063492,[ 1 38] ; [ 9 82],[ 3. 36.] ; [ 7. 84.],0
u2,1,0.153348,2.038623,[6 8] ; [11  5],[7.93333333 6.06666667] ; [9.06666667 6.93333333],0
n3,1,0.182422,1.777778,[7 8] ; [17  8],[9. 6.] ; [15. 10.],0
s4,1,0.189469,1.721739,[13 27] ; [20 72],[10. 30.] ; [23. 69.],0
s1,1,0.190768,1.711679,[ 4 35] ; [ 4 89],[ 2.36363636 36.63636364] ; [ 5.63636364 87.36363636],0
p4,1,0.193543,1.690443,[20 19] ; [59 34],[23.34090909 15.65909091] ; [55.65909091 37.34090909],0
p1,1,0.194339,1.684411,[ 1 39] ; [ 8 84],[ 2.72727273 37.27272727] ; [ 6.27272727 85.72727273],0
b4,1,0.233495,1.419443,[23 17] ; [43 50],[19.84962406 20.15037594] ; [46.15037594 46.84962406],0
u3,1,0.295642,1.09375,[7 7] ; [11  5],[8.4 5.6] ; [9.6 6.4],0
a8,1,0.296576,1.089529,[ 3 35] ; [13 76],[ 4.78740157 33.21259843] ; [11.21259843 77.78740157],0
d3,1,0.297686,1.084531,[22 18] ; [42 51],[19.2481203 20.7518797] ; [44.7518797 48.2481203],0
a6,1,0.398309,0.713426,[12 28] ; [35 58],[14.13533835 25.86466165] ; [32.86466165 60.13533835],0
v2,1,0.472597,0.515898,[20 20] ; [50 38],[21.875 18.125] ; [48.125 39.875],0
a1,1,0.487581,0.481859,[ 5 35] ; [ 8 85],[ 3.90977444 36.09022556] ; [ 9.09022556 83.90977444],0
p7,1,0.502226,0.45023,[24 14] ; [63 28],[25.62790698 12.37209302] ; [61.37209302 29.62790698],0
u1,1,0.594693,0.283074,[ 2 38] ; [ 7 86],[ 2.70676692 37.29323308] ; [ 6.29323308 86.70676692],0
b5,1,0.632728,0.22838,[19 21] ; [40 53],[17.7443609 22.2556391] ; [41.2556391 51.7443609],0
n2,1,0.753801,0.098365,[10  4] ; [19  6],[10.41025641  3.58974359] ; [18.58974359  6.41025641],0
s5,1,0.987912,0.00023,[19 20] ; [43 45],[19.03937008 19.96062992] ; [42.96062992 45.03937008],0
