Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,94.927803,[270 133] ; [ 38 131],[217. 186.] ; [91. 78.],1
b2,1,0.644286,0.21318,[102 159] ; [45 63],[103.97560976 157.02439024] ; [43.02439024 64.97560976],0
b3,1,0.644286,0.21318,[102 159] ; [45 63],[103.97560976 157.02439024] ; [43.02439024 64.97560976],0
a4,1,0.742779,0.107699,[204 199] ; [84 87],[202.20209059 200.79790941] ; [85.79790941 85.20209059],0
d3,1,0.757514,0.095325,[291 113] ; [121  50],[289.47478261 114.52521739] ; [122.52521739  48.47478261],0
p11,1,0.771353,0.084452,[329  78] ; [140  31],[330.24740484  76.75259516] ; [138.75259516  32.24740484],0
a7,1,0.798452,0.065204,[296 109] ; [126  44],[297.23478261 107.76521739] ; [124.76521739  45.23478261],0
a1,1,0.808818,0.058541,[ 21 386] ; [  8 163],[ 20.42041522 386.57958478] ; [  8.57958478 162.42041522],0
v3,1,0.912193,0.01216,[174 219] ; [73 90],[174.5881295 218.4118705] ; [72.4118705 90.5881295],0
n3,1,0.914724,0.011467,[50 21] ; [25 10],[50.23584906 20.76415094] ; [24.76415094 10.23584906],0
b1,1,0.993318,7e-05,[162 245] ; [ 68 103],[161.9550173 245.0449827] ; [ 68.0449827 102.9550173],0
