Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,74.764018,[ 67 111] ; [306 102],[113.3003413  64.6996587] ; [259.6996587 148.3003413],1
s2,1,0.204175,1.612255,[ 68 108] ; [179 225],[ 74.95172414 101.04827586] ; [172.04827586 231.95172414],0
u2,1,0.239251,1.385002,[28 35] ; [69 60],[31.828125 31.171875] ; [65.171875 63.828125],0
b4,1,0.291946,1.110625,[97 81] ; [242 167],[102.79727428  75.20272572] ; [236.20272572 172.79727428],0
p1,1,0.371201,0.79964,[ 11 167] ; [ 18 388],[  8.8390411 169.1609589] ; [ 20.1609589 385.8390411],0
s4,1,0.412618,0.671244,[ 32 146] ; [ 62 344],[ 28.65068493 149.34931507] ; [ 65.34931507 340.65068493],0
a3,1,0.421816,0.64525,[114  63] ; [276 131],[118.20205479  58.79794521] ; [271.79794521 135.20205479],0
d2,1,0.450615,0.569104,[ 73 103] ; [183 225],[77.15068493 98.84931507] ; [178.84931507 229.15068493],0
n3,1,0.459729,0.546554,[42 22] ; [69 28],[44.1242236 19.8757764] ; [66.8757764 30.1242236],0
n1,1,0.474715,0.51098,[25 40] ; [32 65],[22.87037037 42.12962963] ; [34.12962963 62.87037037],0
s3,1,0.509772,0.434534,[86 89] ; [208 191],[89.63414634 85.36585366] ; [204.36585366 194.63414634],0
p12,1,0.526787,0.400586,[  9 168] ; [ 16 391],[  7.57705479 169.42294521] ; [ 17.42294521 389.57705479],0
a1,1,0.528017,0.398207,[  9 169] ; [ 16 393],[  7.58091993 170.41908007] ; [ 17.41908007 391.58091993],0
u4,1,0.594137,0.28393,[  2 176] ; [  7 402],[  2.72913118 175.27086882] ; [  6.27086882 402.72913118],0
p3,1,0.641261,0.217096,[ 61 117] ; [148 260],[ 63.48464164 114.51535836] ; [145.51535836 262.48464164],0
s5,1,0.748651,0.102668,[ 43 129] ; [ 95 305],[ 41.4965035 130.5034965] ; [ 96.5034965 303.4965035],0
n4,1,0.778098,0.07941,[121  56] ; [283 124],[122.44520548  54.55479452] ; [281.55479452 125.44520548],0
a4,1,0.779288,0.078539,[ 70 107] ; [166 241],[ 71.52739726 105.47260274] ; [164.47260274 242.52739726],0
n5,1,0.794759,0.067671,[121  55] ; [274 131],[119.65576592  56.34423408] ; [275.34423408 129.65576592],0
v1,1,0.85299,0.034338,[75 99] ; [174 222],[76.01052632 97.98947368] ; [172.98947368 223.01052632],0
s8,1,0.889829,0.019188,[ 58 120] ; [135 272],[ 58.72478632 119.27521368] ; [134.27521368 272.72478632],0
n2,1,0.894449,0.017603,[47 19] ; [70 27],[47.37423313 18.62576687] ; [69.62576687 27.37423313],0
s7,1,0.927668,0.008241,[ 62 105] ; [146 243],[ 62.47482014 104.52517986] ; [145.52517986 243.47482014],0
