Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,88.518499,[307   5] ; [7 7],[300.51533742  11.48466258] ; [13.48466258  0.51533742],1
p6,1,0.301183,1.06895,[154 155] ; [5 9],[152.10835913 156.89164087] ; [6.89164087 7.10835913],0
b1,1,0.31241,1.020459,[132 181] ; [ 4 10],[130.17737003 182.82262997] ; [5.82262997 8.17737003],0
p11,1,0.334445,0.931609,[260  53] ; [13  1],[261.31192661  51.68807339] ; [11.68807339  2.31192661],0
v3,1,0.355512,0.853684,[155 145] ; [9 5],[156.68789809 143.31210191] ; [7.31210191 6.68789809],0
d2,1,0.423374,0.640931,[190 123] ; [7 7],[188.56574924 124.43425076] ; [8.43425076 5.56574924],0
n3,1,0.44902,0.573124,[39 18] ; [5 1],[39.80952381 17.19047619] ; [4.19047619 1.80952381],0
p2,1,0.493521,0.46884,[266  46] ; [11  3],[265.10429448  46.89570552] ; [11.89570552  2.10429448],0
b5,1,0.498402,0.458338,[185 128] ; [7 7],[183.77981651 129.22018349] ; [8.22018349 5.77981651],0
u3,1,0.548671,0.359703,[39 18] ; [4 3],[38.296875 18.703125] ; [4.703125 2.296875],0
s6,1,0.558037,0.343114,[260  48] ; [11  3],[259.2173913  48.7826087] ; [11.7826087  2.2173913],0
p7,1,0.600027,0.274955,[216  89] ; [9 5],[215.12539185  89.87460815] ; [9.87460815 4.12539185],0
b2,1,0.640966,0.217481,[ 97 126] ; [4 7],[ 96.25213675 126.74786325] ; [4.74786325 6.25213675],0
b3,1,0.640966,0.217481,[ 97 126] ; [4 7],[ 96.25213675 126.74786325] ; [4.74786325 6.25213675],0
v2,1,0.655611,0.198899,[191 112] ; [8 6],[190.21135647 112.78864353] ; [8.78864353 5.21135647],0
s4,1,0.670714,0.180768,[ 53 258] ; [ 3 11],[ 53.58769231 257.41230769] ; [ 2.41230769 11.58769231],0
u2,1,0.731927,0.11735,[37 20] ; [5 2],[37.40625 19.59375] ; [4.59375 2.40625],0
p5,1,0.757793,0.095099,[ 54 255] ; [ 2 12],[ 53.57275542 255.42724458] ; [ 2.42724458 11.57275542],0
n2,1,0.765651,0.088844,[42 16] ; [4 2],[41.6875 16.3125] ; [4.3125 1.6875],0
p1,1,0.785227,0.074264,[ 29 283] ; [ 1 13],[ 28.71165644 283.28834356] ; [ 1.28834356 12.71165644],0
a8,1,0.789157,0.071506,[ 52 232] ; [ 2 11],[ 51.63636364 232.36363636] ; [ 2.36363636 10.63636364],0
p12,1,0.82152,0.050891,[ 38 272] ; [ 2 12],[ 38.27160494 271.72839506] ; [ 1.72839506 12.27160494],0
p4,1,0.861508,0.030435,[216  96] ; [10  4],[216.29447853  95.70552147] ; [9.70552147 4.29447853],0
p9,1,0.873769,0.025241,[284  28] ; [12  1],[284.16  27.84] ; [11.84  1.16],0
p8,1,0.892646,0.018213,[181 126] ; [8 6],[180.75700935 126.24299065] ; [8.24299065 5.75700935],0
d4,1,0.901453,0.015333,[271  41] ; [12  2],[270.84662577  41.15337423] ; [12.15337423  1.84662577],0
n1,1,0.967391,0.001671,[28 29] ; [3 3],[28.04761905 28.95238095] ; [2.95238095 3.04761905],0
