Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,80.253853,[102   2] ; [67 85],[68.65625 35.34375] ; [100.34375  51.65625],1
b2,1,0.206826,1.593508,[27 37] ; [28 59],[23.31125828 40.68874172] ; [31.68874172 55.31125828],0
b3,1,0.206826,1.593508,[27 37] ; [28 59],[23.31125828 40.68874172] ; [31.68874172 55.31125828],0
n5,1,0.22034,1.502156,[76 29] ; [99 53],[71.49805447 33.50194553] ; [103.50194553  48.49805447],0
p8,1,0.246878,1.340887,[40 65] ; [ 47 104],[35.68359375 69.31640625] ; [51.31640625 99.68359375],0
a8,1,0.248639,1.330935,[11 90] ; [ 23 120],[14.07377049 86.92622951] ; [ 19.92622951 123.07377049],0
p2,1,0.307956,1.039423,[76 28] ; [102  50],[72.3125 31.6875] ; [105.6875  46.3125],0
p12,1,0.349424,0.875548,[  2 103] ; [  6 145],[  3.28125 101.71875] ; [  4.71875 146.28125],0
n1,1,0.354136,0.85858,[14 25] ; [25 30],[16.18085106 22.81914894] ; [22.81914894 32.18085106],0
a1,1,0.354292,0.858024,[  3 102] ; [  8 145],[  4.47674419 100.52325581] ; [  6.52325581 146.47674419],0
u4,1,0.357078,0.848144,[  2 103] ; [  1 152],[  1.22093023 103.77906977] ; [  1.77906977 151.22093023],0
s5,1,0.382277,0.763367,[28 76] ; [ 33 116],[25.07509881 78.92490119] ; [ 35.92490119 113.07509881],0
s7,1,0.399003,0.711328,[37 66] ; [ 45 101],[33.91967871 69.08032129] ; [48.08032129 97.91967871],0
p1,1,0.404649,0.694467,[  5 100] ; [ 11 139],[ 6.58823529 98.41176471] ; [  9.41176471 140.58823529],0
p11,1,0.420866,0.647895,[71 34] ; [96 57],[67.96511628 37.03488372] ; [99.03488372 53.96511628],0
s2,1,0.422598,0.643079,[41 62] ; [53 99],[37.96862745 65.03137255] ; [56.03137255 95.96862745],0
s4,1,0.43893,0.599079,[15 87] ; [ 28 124],[17.26771654 84.73228346] ; [ 25.73228346 126.26771654],0
p5,1,0.490175,0.476141,[ 7 98] ; [  7 143],[ 5.76470588 99.23529412] ; [  8.23529412 141.76470588],0
n2,1,0.502891,0.448831,[26 14] ; [40 16],[27.5 12.5] ; [38.5 17.5],0
p9,1,0.527091,0.399996,[73 30] ; [100  49],[70.71031746 32.28968254] ; [102.28968254  46.71031746],0
v3,1,0.598432,0.277368,[14 89] ; [ 24 126],[15.47035573 87.52964427] ; [ 22.52964427 127.47035573],0
n3,1,0.623817,0.24054,[22 16] ; [34 20],[23.13043478 14.86956522] ; [32.86956522 21.13043478],0
p10,1,0.638536,0.220662,[69 36] ; [93 55],[67.23320158 37.76679842] ; [94.76679842 53.23320158],0
b5,1,0.658789,0.194998,[66 39] ; [92 61],[64.30232558 40.69767442] ; [93.69767442 59.30232558],0
s3,1,0.666389,0.185856,[50 54] ; [68 82],[48.31496063 55.68503937] ; [69.68503937 80.31496063],0
b1,1,0.769122,0.086156,[42 63] ; [64 89],[43.13953488 61.86046512] ; [62.86046512 90.13953488],0
v1,1,0.834978,0.043398,[33 72] ; [ 49 101],[33.76470588 71.23529412] ; [ 48.23529412 101.76470588],0
