Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5e-06,20.790805,[302  34] ; [31 16],[292.13577023  43.86422977] ; [40.86422977  6.13577023],1
p8,1,0.522477,0.409002,[197 142] ; [25 22],[194.96891192 144.03108808] ; [27.03108808 19.96891192],0
a5,1,0.543215,0.369614,[262  81] ; [34 13],[260.32820513  82.67179487] ; [35.67179487 11.32820513],0
r3,1,0.559487,0.340593,[327  13] ; [46  1],[327.7002584  12.2997416] ; [45.2997416  1.7002584],0
d3,1,0.575402,0.313727,[252  91] ; [32 14],[250.41645244  92.58354756] ; [33.58354756 12.41645244],0
d4,1,0.612714,0.256241,[300  42] ; [40  7],[298.92030848  43.07969152] ; [41.07969152  5.92030848],0
v4,1,0.623379,0.241147,[331  10] ; [45  2],[330.45360825  10.54639175] ; [45.54639175  1.45360825],0
a7,1,0.649153,0.20697,[256  86] ; [33 13],[254.7371134  87.2628866] ; [34.2628866 11.7371134],0
a6,1,0.669786,0.181852,[229 113] ; [30 17],[227.70694087 114.29305913] ; [31.29305913 15.70694087],0
a8,1,0.698572,0.149962,[ 54 263] ; [ 6 35],[ 53.12849162 263.87150838] ; [ 6.87150838 34.12849162],0
b3,1,0.762647,0.091208,[ 82 131] ; [10 14],[ 82.6835443 130.3164557] ; [ 9.3164557 14.6835443],0
b2,1,0.762647,0.091208,[ 82 131] ; [10 14],[ 82.6835443 130.3164557] ; [ 9.3164557 14.6835443],0
v3,1,0.765165,0.089225,[141 189] ; [19 28],[140.0530504 189.9469496] ; [19.9469496 27.0530504],0
n6,1,0.767646,0.087294,[297  42] ; [41  5],[297.61558442  41.38441558] ; [40.38441558  5.61558442],0
a4,1,0.768082,0.086957,[160 183] ; [23 24],[160.94615385 182.05384615] ; [22.05384615 24.94615385],0
u1,1,0.775667,0.081208,[ 74 269] ; [11 36],[ 74.75641026 268.24358974] ; [10.24358974 36.75641026],0
b4,1,0.783439,0.075537,[197 146] ; [26 21],[196.12564103 146.87435897] ; [26.87435897 20.12564103],0
v2,1,0.799855,0.06428,[189 139] ; [28 19],[189.80266667 138.19733333] ; [27.19733333 19.80266667],0
p10,1,0.842414,0.039524,[300  40] ; [41  6],[299.58656331  40.41343669] ; [41.41343669  5.58656331],0
b1,1,0.858834,0.031634,[136 207] ; [18 29],[135.44102564 207.55897436] ; [18.55897436 28.44102564],0
s1,1,0.866008,0.02847,[ 13 326] ; [ 2 44],[ 13.20779221 325.79220779] ; [ 1.79220779 44.20779221],0
p7,1,0.935903,0.006467,[235  97] ; [33 14],[234.7651715  97.2348285] ; [33.2348285 13.7651715],0
