Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.004037,8.267294,[17 18] ; [ 3 21],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],0
p3,1,0.808392,0.058807,[ 8 26] ; [ 5 19],[ 7.62068966 26.37931034] ; [ 5.37931034 18.62068966],0
a4,1,0.849263,0.036122,[ 8 27] ; [ 6 18],[ 8.30508475 26.69491525] ; [ 5.69491525 18.30508475],0
s2,1,0.852948,0.034358,[11 24] ; [ 7 17],[10.6779661 24.3220339] ; [ 7.3220339 16.6779661],0
d2,1,0.852948,0.034358,[11 24] ; [ 7 17],[10.6779661 24.3220339] ; [ 7.3220339 16.6779661],0
p9,1,0.874673,0.024877,[19 16] ; [12 11],[18.70689655 16.29310345] ; [12.29310345 10.70689655],0
a5,1,0.898134,0.016389,[14 21] ; [10 14],[14.23728814 20.76271186] ; [ 9.76271186 14.23728814],0
n6,1,0.914137,0.011626,[17 18] ; [12 12],[17.20338983 17.79661017] ; [11.79661017 12.20338983],0
a3,1,0.955686,0.003088,[18 17] ; [12 11],[18.10344828 16.89655172] ; [11.89655172 11.10344828],0
n1,1,0.976835,0.000843,[ 4 13] ; [ 3 10],[ 3.96666667 13.03333333] ; [3.03333333 9.96666667],0
s5,1,0.981894,0.000515,[ 7 27] ; [ 5 19],[ 7.03448276 26.96551724] ; [ 4.96551724 19.03448276],0
