Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.003456,8.549495,[14  8] ; [19 47],[ 8.25 13.75] ; [24.75 41.25],0
s2,1,0.213237,1.549315,[ 9 12] ; [19 48],[ 6.68181818 14.31818182] ; [21.31818182 45.68181818],0
r3,1,0.233141,1.421594,[13  8] ; [31 35],[10.62068966 10.37931034] ; [33.37931034 32.62068966],0
n3,1,0.234929,1.410765,[8 5] ; [13 18],[6.20454545 6.79545455] ; [14.79545455 16.20454545],0
u3,1,0.256144,1.289481,[2 2] ; [ 7 23],[1.05882353 2.94117647] ; [ 7.94117647 22.05882353],0
p9,1,0.263686,1.249303,[16  6] ; [38 26],[13.81395349  8.18604651] ; [40.18604651 23.81395349],0
b1,1,0.272202,1.205618,[10 13] ; [38 29],[12.26666667 10.73333333] ; [35.73333333 31.26666667],0
p11,1,0.337495,0.919923,[15  8] ; [36 31],[13.03333333  9.96666667] ; [37.96666667 29.03333333],0
p7,1,0.357199,0.847716,[10 11] ; [24 42],[ 8.20689655 12.79310345] ; [25.79310345 40.20689655],0
a4,1,0.382605,0.762316,[10 13] ; [22 44],[ 8.26966292 14.73033708] ; [23.73033708 42.26966292],0
p6,1,0.414883,0.664764,[ 7 15] ; [15 50],[ 5.56321839 16.43678161] ; [16.43678161 48.56321839],0
s5,1,0.459319,0.547552,[ 2 20] ; [10 55],[ 3.03448276 18.96551724] ; [ 8.96551724 56.03448276],0
p3,1,0.474802,0.510779,[ 7 14] ; [17 50],[ 5.72727273 15.27272727] ; [18.27272727 48.72727273],0
d3,1,0.578289,0.309009,[12 11] ; [30 36],[10.85393258 12.14606742] ; [31.14606742 34.85393258],0
s7,1,0.603848,0.269231,[ 9 12] ; [23 40],[ 8. 13.] ; [24. 39.],0
s1,1,0.605359,0.266988,[ 1 22] ; [ 5 62],[ 1.53333333 21.46666667] ; [ 4.46666667 62.53333333],0
v1,1,0.627332,0.235697,[ 8 14] ; [20 45],[ 7.08045977 14.91954023] ; [20.91954023 44.08045977],0
a6,1,0.632338,0.228904,[13 10] ; [34 33],[12.01111111 10.98888889] ; [34.98888889 32.01111111],0
b4,1,0.63733,0.222251,[14  9] ; [37 30],[13.03333333  9.96666667] ; [37.96666667 29.03333333],0
p4,1,0.651263,0.204312,[ 7 14] ; [26 41],[ 7.875 13.125] ; [25.125 41.875],0
s6,1,0.668139,0.183786,[ 9 13] ; [24 43],[ 8.15730337 13.84269663] ; [24.84269663 42.15730337],0
a7,1,0.670288,0.181265,[10 12] ; [27 40],[ 9.14606742 12.85393258] ; [27.85393258 39.14606742],0
p5,1,0.698127,0.150427,[ 3 19] ; [ 7 59],[ 2.5 19.5] ; [ 7.5 58.5],0
p10,1,0.725718,0.12308,[13  8] ; [38 28],[12.31034483  8.68965517] ; [38.68965517 27.31034483],0
a5,1,0.727884,0.121063,[14  9] ; [38 29],[13.28888889  9.71111111] ; [38.71111111 28.28888889],0
s3,1,0.740768,0.109453,[ 7 14] ; [25 42],[ 7.63636364 13.36363636] ; [24.36363636 42.63636364],0
p8,1,0.787321,0.072787,[ 7 15] ; [19 47],[ 6.5 15.5] ; [19.5 46.5],0
n1,1,0.830676,0.045725,[5 8] ; [13 18],[5.31818182 7.68181818] ; [12.68181818 18.31818182],0
b5,1,0.905926,0.013966,[12 11] ; [34 33],[11.75555556 11.24444444] ; [34.24444444 32.75555556],0
u2,1,0.908893,0.013095,[1 2] ; [11 19],[1.09090909 1.90909091] ; [10.90909091 19.09090909],0
p2,1,0.930598,0.007585,[12  9] ; [37 29],[11.82758621  9.17241379] ; [37.17241379 28.82758621],0
u1,1,0.969893,0.001424,[ 2 21] ; [ 6 61],[ 2.04444444 20.95555556] ; [ 5.95555556 61.04444444],0
