Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.8e-05,17.525029,[87 14] ; [15 15],[78.64122137 22.35877863] ; [23.35877863  6.64122137],1
a6,1,0.089733,2.879154,[40 62] ; [ 7 24],[36.04511278 65.95488722] ; [10.95488722 20.04511278],0
d3,1,0.093771,2.808409,[45 57] ; [19 12],[49.08270677 52.91729323] ; [14.91729323 16.08270677],0
n2,1,0.104475,2.635862,[20  4] ; [9 6],[17.84615385  6.15384615] ; [11.15384615  3.84615385],0
r1,1,0.122324,2.387314,[77 25] ; [19 12],[73.62406015 28.37593985] ; [22.37593985  8.62406015],0
p1,1,0.124383,2.36125,[ 5 96] ; [ 4 27],[ 6.88636364 94.11363636] ; [ 2.11363636 28.88636364],0
b4,1,0.137948,2.200702,[47 55] ; [19 12],[50.61654135 51.38345865] ; [15.38345865 15.61654135],0
v3,1,0.274157,1.19583,[48 52] ; [11 19],[45.38461538 54.61538462] ; [13.61538462 16.38461538],0
p12,1,0.306983,1.043611,[ 9 91] ; [ 1 29],[ 7.69230769 92.30769231] ; [ 2.30769231 27.69230769],0
b3,1,0.312712,1.019186,[35 44] ; [ 6 13],[33.05102041 45.94897959] ; [ 7.94897959 11.05102041],0
b2,1,0.312712,1.019186,[35 44] ; [ 6 13],[33.05102041 45.94897959] ; [ 7.94897959 11.05102041],0
p8,1,0.351844,0.866797,[51 48] ; [13 18],[48.73846154 50.26153846] ; [15.26153846 15.73846154],0
a2,1,0.476847,0.506065,[11 91] ; [ 2 29],[ 9.96992481 92.03007519] ; [ 3.03007519 27.96992481],0
s5,1,0.491592,0.47304,[49 48] ; [13 17],[47.35433071 49.64566929] ; [14.64566929 15.35433071],0
a1,1,0.502959,0.448688,[ 9 93] ; [ 4 27],[ 9.96992481 92.03007519] ; [ 3.03007519 27.96992481],0
n3,1,0.504985,0.444444,[14 11] ; [10  5],[15. 10.] ; [9. 6.],0
p4,1,0.544464,0.367329,[59 42] ; [20 11],[60.4469697 40.5530303] ; [18.5530303 12.4469697],0
u2,1,0.547403,0.361991,[11  7] ; [6 6],[10.2  7.8] ; [6.8 5.2],0
a8,1,0.572946,0.317778,[13 83] ; [ 3 28],[12.09448819 83.90551181] ; [ 3.90551181 27.09448819],0
s6,1,0.575524,0.313527,[86 13] ; [24  5],[85.078125 13.921875] ; [24.921875  4.078125],0
b5,1,0.606384,0.265474,[44 58] ; [15 16],[45.2481203 56.7518797] ; [13.7518797 17.2481203],0
p5,1,0.609478,0.260936,[13 86] ; [ 3 28],[12.18461538 86.81538462] ; [ 3.81538462 27.18461538],0
d4,1,0.644428,0.212998,[82 19] ; [24  7],[81.10606061 19.89393939] ; [24.89393939  6.10606061],0
d2,1,0.727399,0.121513,[49 53] ; [16 15],[49.84962406 52.15037594] ; [15.15037594 15.84962406],0
a4,1,0.77868,0.078983,[49 53] ; [14 17],[48.31578947 53.68421053] ; [14.68421053 16.31578947],0
v1,1,0.849096,0.036203,[62 37] ; [20 11],[62.44615385 36.55384615] ; [19.55384615 11.44615385],0
u4,1,0.858447,0.031809,[ 4 98] ; [ 1 30],[ 3.83458647 98.16541353] ; [ 1.16541353 29.83458647],0
u3,1,0.879072,0.023148,[11  7] ; [7 5],[10.8  7.2] ; [7.2 4.8],0
s4,1,0.905636,0.014053,[25 76] ; [ 8 23],[25.25 75.75] ; [ 7.75 23.25],0
n1,1,0.94422,0.004895,[12 11] ; [8 7],[12.10526316 10.89473684] ; [7.89473684 7.10526316],0
p3,1,0.970096,0.001405,[55 46] ; [17 14],[55.09090909 45.90909091] ; [16.90909091 14.09090909],0
d1,1,0.972918,0.001153,[53 49] ; [16 15],[52.91729323 49.08270677] ; [16.08270677 14.91729323],0
v2,1,0.9845,0.000377,[53 44] ; [17 14],[53.046875 43.953125] ; [16.953125 14.046875],0
