Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.5e-05,16.268908,[ 3 31] ; [9 5],[ 8.5 25.5] ; [ 3.5 10.5],1
b2,1,0.152419,2.047874,[10 11] ; [ 3 10],[ 8.02941176 12.97058824] ; [4.97058824 8.02941176],0
b3,1,0.152419,2.047874,[10 11] ; [ 3 10],[ 8.02941176 12.97058824] ; [4.97058824 8.02941176],0
s5,1,0.175836,1.83247,[ 6 28] ; [5 9],[ 7.79166667 26.20833333] ; [ 3.20833333 10.79166667],0
r4,1,0.18055,1.793094,[ 8 26] ; [6 8],[ 9.91666667 24.08333333] ; [4.08333333 9.91666667],0
a6,1,0.204008,1.613445,[15 19] ; [9 5],[17. 17.] ; [7. 7.],0
r1,1,0.230046,1.440576,[13 21] ; [8 6],[14.875 19.125] ; [6.125 7.875],0
p7,1,0.254115,1.300535,[ 8 25] ; [5 7],[ 9.53333333 23.46666667] ; [3.46666667 8.53333333],0
v4,1,0.271315,1.210084,[24 10] ; [12  2],[25.5  8.5] ; [10.5  3.5],0
p9,1,0.280759,1.163412,[18 15] ; [10  4],[19.65957447 13.34042553] ; [8.34042553 5.65957447],0
d2,1,0.355061,0.855285,[14 19] ; [8 6],[15.44680851 17.55319149] ; [6.55319149 7.44680851],0
v2,1,0.42608,0.633485,[ 6 27] ; [ 4 10],[ 7.0212766 25.9787234] ; [ 2.9787234 11.0212766],0
n4,1,0.449132,0.572841,[23 11] ; [11  3],[24.08333333  9.91666667] ; [9.91666667 4.08333333],0
u2,1,0.481556,0.495338,[4 9] ; [2 2],[4.58823529 8.41176471] ; [1.41176471 2.58823529],0
d1,1,0.489162,0.47837,[11 23] ; [6 8],[12.04166667 21.95833333] ; [4.95833333 9.04166667],0
p12,1,0.507878,0.438436,[ 1 33] ; [ 1 13],[ 1.41666667 32.58333333] ; [ 0.58333333 13.41666667],0
u1,1,0.507878,0.438436,[ 1 33] ; [ 1 13],[ 1.41666667 32.58333333] ; [ 0.58333333 13.41666667],0
p3,1,0.562775,0.334922,[ 9 24] ; [5 9],[ 9.82978723 23.17021277] ; [4.17021277 9.82978723],0
p1,1,0.569996,0.322689,[ 5 29] ; [ 3 11],[ 5.66666667 28.33333333] ; [ 2.33333333 11.66666667],0
s1,1,0.573379,0.317061,[ 3 31] ; [ 2 12],[ 3.54166667 30.45833333] ; [ 1.45833333 12.54166667],0
a2,1,0.573379,0.317061,[ 3 31] ; [ 2 12],[ 3.54166667 30.45833333] ; [ 1.45833333 12.54166667],0
b1,1,0.575403,0.313725,[20 14] ; [7 7],[19.125 14.875] ; [7.875 6.125],0
a3,1,0.606153,0.265815,[21 12] ; [10  4],[21.76595745 11.23404255] ; [9.23404255 4.76595745],0
v1,1,0.622753,0.242017,[12 22] ; [6 8],[12.75 21.25] ; [5.25 8.75],0
d4,1,0.652524,0.202733,[17 17] ; [8 6],[17.70833333 16.29166667] ; [7.29166667 6.70833333],0
u3,1,0.681777,0.168132,[5 8] ; [2 2],[5.35294118 7.64705882] ; [1.64705882 2.35294118],0
b4,1,0.725038,0.123717,[20 14] ; [9 5],[20.54166667 13.45833333] ; [8.45833333 5.54166667],0
v3,1,0.755598,0.096887,[ 8 25] ; [ 4 10],[ 8.42553191 24.57446809] ; [ 3.57446809 10.42553191],0
a4,1,0.766317,0.088326,[10 22] ; [5 9],[10.43478261 21.56521739] ; [4.56521739 9.43478261],0
d5,1,0.914509,0.011525,[20 14] ; [8 6],[19.83333333 14.16666667] ; [8.16666667 5.83333333],0
