Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,5e-06,20.964412,[13 27] ; [70 24],[24.7761194 15.2238806] ; [58.2238806 35.7761194],1
s2,1,0.650626,0.205111,[26 13] ; [65 27],[27.09160305 11.90839695] ; [63.90839695 28.09160305],0
u2,1,0.663911,0.188808,[5 7] ; [10 19],[4.3902439 7.6097561] ; [10.6097561 18.3902439],0
n3,1,0.727383,0.121528,[12  3] ; [15  5],[11.57142857  3.42857143] ; [15.42857143  4.57142857],0
p5,1,0.78232,0.07634,[ 4 36] ; [ 8 86],[ 3.58208955 36.41791045] ; [ 8.41791045 85.58208955],0
a4,1,0.793636,0.068431,[18 22] ; [40 54],[17.31343284 22.68656716] ; [40.68656716 53.31343284],0
p6,1,0.794718,0.067698,[14 25] ; [36 58],[14.66165414 24.33834586] ; [35.33834586 58.66165414],0
p9,1,0.819198,0.052247,[35  5] ; [80 13],[34.58646617  5.41353383] ; [80.41353383 12.58646617],0
d2,1,0.821582,0.050855,[20 20] ; [45 49],[19.40298507 20.59701493] ; [45.59701493 48.40298507],0
p10,1,0.889045,0.019464,[34  6] ; [79 15],[33.73134328  6.26865672] ; [79.26865672 14.73134328],0
a3,1,0.922067,0.009571,[28 12] ; [65 29],[27.76119403 12.23880597] ; [65.23880597 28.76119403],0
v3,1,0.939837,0.005696,[12 27] ; [28 65],[11.81818182 27.18181818] ; [28.18181818 64.81818182],0
s3,1,0.939837,0.005696,[27 12] ; [65 28],[27.18181818 11.81818182] ; [64.81818182 28.18181818],0
u3,1,0.986442,0.000289,[7 5] ; [17 12],[7.02439024 4.97560976] ; [16.97560976 12.02439024],0
