Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,20.763309,[67 11] ; [14 18],[57.43636364 20.56363636] ; [23.56363636  8.43636364],1
v1,1,0.3798,0.771351,[41 32] ; [15 17],[38.93333333 34.06666667] ; [17.06666667 14.93333333],0
n2,1,0.403755,0.697115,[10  6] ; [10  3],[11.03448276  4.96551724] ; [8.96551724 4.03448276],0
s1,1,0.407258,0.686791,[ 4 74] ; [ 3 29],[ 4.96363636 73.03636364] ; [ 2.03636364 29.96363636],0
p4,1,0.435821,0.60726,[62 16] ; [24  9],[60.43243243 17.56756757] ; [25.56756757  7.43243243],0
s4,1,0.438784,0.599459,[10 67] ; [ 6 26],[11.30275229 65.69724771] ; [ 4.69724771 27.30275229],0
s2,1,0.445066,0.583188,[42 35] ; [20 12],[43.79816514 33.20183486] ; [18.20183486 13.79816514],0
d5,1,0.446462,0.579618,[64 14] ; [29  4],[65.35135135 12.64864865] ; [27.64864865  5.35135135],0
s7,1,0.447119,0.577946,[32 42] ; [13 12],[33.63636364 40.36363636] ; [11.36363636 13.63636364],0
s5,1,0.447852,0.576082,[22 51] ; [11 18],[23.61764706 49.38235294] ; [ 9.38235294 19.61764706],0
s6,1,0.521298,0.411325,[56 22] ; [21 11],[54.6 23.4] ; [22.4  9.6],0
r2,1,0.607144,0.264355,[75  3] ; [31  2],[74.48648649  3.51351351] ; [31.51351351  1.48648649],0
d2,1,0.676053,0.174603,[41 36] ; [19 14],[42. 35.] ; [18. 15.],0
v3,1,0.677114,0.173393,[25 48] ; [ 9 21],[24.09708738 48.90291262] ; [ 9.90291262 20.09708738],0
a2,1,0.688242,0.160995,[14 64] ; [ 7 26],[14.75675676 63.24324324] ; [ 6.24324324 26.75675676],0
u3,1,0.706082,0.142222,[13  7] ; [7 5],[12.5  7.5] ; [7.5 4.5],0
n3,1,0.729571,0.119505,[12  4] ; [9 4],[11.5862069  4.4137931] ; [9.4137931 3.5862069],0
a4,1,0.753051,0.098985,[38 40] ; [15 18],[37.24324324 40.75675676] ; [15.75675676 17.24324324],0
b5,1,0.775776,0.081127,[45 33] ; [20 13],[45.67567568 32.32432432] ; [19.32432432 13.67567568],0
p6,1,0.829284,0.046492,[18 60] ; [ 8 24],[18.43636364 59.56363636] ; [ 7.56363636 24.43636364],0
u4,1,0.833049,0.044433,[ 3 75] ; [ 1 32],[ 2.81081081 75.18918919] ; [ 1.18918919 31.81081081],0
a1,1,0.833049,0.044433,[ 3 75] ; [ 1 32],[ 2.81081081 75.18918919] ; [ 1.18918919 31.81081081],0
a7,1,0.85622,0.032829,[53 25] ; [23 10],[53.40540541 24.59459459] ; [22.59459459 10.40540541],0
p8,1,0.85622,0.032829,[25 53] ; [10 23],[24.59459459 53.40540541] ; [10.40540541 22.59459459],0
p2,1,0.858052,0.031989,[58 20] ; [24  9],[57.62162162 20.37837838] ; [24.37837838  8.62162162],0
v2,1,0.87968,0.022914,[38 38] ; [16 15],[38.35514019 37.64485981] ; [15.64485981 15.35514019],0
r1,1,0.921975,0.009594,[59 18] ; [25  8],[58.8 18.2] ; [25.2  7.8],0
s3,1,0.932768,0.007117,[45 32] ; [19 14],[44.8 32.2] ; [19.2 13.8],0
s8,1,0.957321,0.002864,[37 41] ; [15 17],[36.87272727 41.12727273] ; [15.12727273 16.87272727],0
b4,1,0.962704,0.002187,[50 28] ; [21 12],[49.89189189 28.10810811] ; [21.10810811 11.89189189],0
p5,1,0.96705,0.001706,[ 9 67] ; [ 4 29],[ 9.06422018 66.93577982] ; [ 3.93577982 29.06422018],0
