Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,92.468839,[145   5] ; [14 28],[124.21875  25.78125] ; [34.78125  7.21875],1
p5,1,0.366266,0.816294,[ 18 131] ; [ 3 39],[ 16.38219895 132.61780105] ; [ 4.61780105 37.38219895],0
d3,1,0.37602,0.783673,[60 90] ; [20 22],[62.5 87.5] ; [17.5 24.5],0
n3,1,0.390729,0.736671,[21  8] ; [11  2],[22.0952381  6.9047619] ; [9.9047619 3.0952381],0
a6,1,0.442523,0.589732,[85 65] ; [21 21],[82.8125 67.1875] ; [23.1875 18.8125],0
p1,1,0.4917,0.472804,[ 16 133] ; [ 3 39],[ 14.82198953 134.17801047] ; [ 4.17801047 37.82198953],0
a2,1,0.499054,0.456948,[ 16 134] ; [ 3 39],[ 14.84375 135.15625] ; [ 4.15625 37.84375],0
u3,1,0.509465,0.435165,[33 19] ; [11  9],[31.77777778 20.22222222] ; [12.22222222  7.77777778],0
s5,1,0.640042,0.218687,[ 43 103] ; [10 29],[ 41.82702703 104.17297297] ; [11.17297297 27.82702703],0
u1,1,0.652171,0.203175,[ 10 140] ; [ 2 40],[  9.375 140.625] ; [ 2.625 39.375],0
a1,1,0.655586,0.198929,[  8 142] ; [ 3 39],[  8.59375 141.40625] ; [ 2.40625 39.59375],0
n4,1,0.675067,0.175733,[111  39] ; [29 12],[109.94764398  40.05235602] ; [30.05235602 10.94764398],0
d4,1,0.680449,0.16962,[91 59] ; [24 18],[89.84375 60.15625] ; [25.15625 16.84375],0
b4,1,0.766212,0.088407,[86 64] ; [23 19],[85.15625 64.84375] ; [23.84375 18.15625],0
u2,1,0.778139,0.07938,[28 24] ; [9 9],[27.48571429 24.51428571] ; [9.51428571 8.48571429],0
v3,1,0.834113,0.043861,[61 89] ; [17 23],[61.57894737 88.42105263] ; [16.42105263 23.57894737],0
b5,1,0.847653,0.036908,[94 56] ; [27 15],[94.53125 55.46875] ; [26.46875 15.53125],0
s4,1,0.866911,0.028084,[ 23 127] ; [ 6 36],[ 22.65625 127.34375] ; [ 6.34375 35.65625],0
r2,1,0.868301,0.027495,[136  12] ; [38  3],[136.25396825  11.74603175] ; [37.74603175  3.25396825],0
s1,1,0.900759,0.015551,[  8 141] ; [ 2 39],[  7.84210526 141.15789474] ; [ 2.15789474 38.84210526],0
a7,1,0.906832,0.013697,[93 56] ; [26 15],[93.32105263 55.67894737] ; [25.67894737 15.32105263],0
s3,1,0.93955,0.005751,[75 73] ; [20 20],[74.78723404 73.21276596] ; [20.21276596 19.78723404],0
r1,1,0.958698,0.002682,[114  36] ; [31 10],[113.87434555  36.12565445] ; [31.12565445  9.87434555],0
