Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.9e-05,16.147076,[ 3 13] ; [24  6],[9.39130435 6.60869565] ; [17.60869565 12.39130435],1
p7,1,0.423838,0.639649,[ 5 11] ; [13 17],[6.26086957 9.73913043] ; [11.73913043 18.26086957],0
p11,1,0.48573,0.48597,[9 7] ; [20 10],[10.08695652  5.91304348] ; [18.91304348 11.08695652],0
d4,1,0.497409,0.46046,[12  4] ; [25  5],[12.86956522  3.13043478] ; [24.13043478  5.86956522],0
p6,1,0.510704,0.432624,[ 4 12] ; [10 19],[ 4.97777778 11.02222222] ; [ 9.02222222 19.97777778],0
n1,1,0.515305,0.42328,[2 4] ; [5 5],[2.625 3.375] ; [4.375 5.625],0
b1,1,0.535825,0.383333,[7 9] ; [16 14],[8. 8.] ; [15. 15.],0
d3,1,0.535825,0.383333,[7 9] ; [16 14],[8. 8.] ; [15. 15.],0
p1,1,0.644079,0.213447,[ 1 15] ; [ 1 29],[ 0.69565217 15.30434783] ; [ 1.30434783 28.69565217],0
u1,1,0.667262,0.184821,[ 1 15] ; [ 3 27],[ 1.39130435 14.60869565] ; [ 2.60869565 27.39130435],0
a7,1,0.701943,0.146459,[10  6] ; [17 13],[9.39130435 6.60869565] ; [17.60869565 12.39130435],0
s3,1,0.739193,0.110837,[8 8] ; [13 16],[7.46666667 8.53333333] ; [13.53333333 15.46666667],0
b4,1,0.742295,0.10812,[11  5] ; [22  8],[11.47826087  4.52173913] ; [21.52173913  8.47826087],0
s5,1,0.785671,0.07395,[ 4 12] ; [ 6 22],[ 3.63636364 12.36363636] ; [ 6.36363636 21.63636364],0
b2,1,0.804113,0.061517,[3 6] ; [ 8 13],[3.3 5.7] ; [ 7.7 13.3],0
b3,1,0.804113,0.061517,[3 6] ; [ 8 13],[3.3 5.7] ; [ 7.7 13.3],0
s2,1,0.825709,0.048491,[ 5 11] ; [10 19],[ 5.33333333 10.66666667] ; [ 9.66666667 19.33333333],0
r1,1,0.829333,0.046465,[8 8] ; [16 14],[8.34782609 7.65217391] ; [15.65217391 14.34782609],0
d1,1,0.849975,0.035778,[7 9] ; [14 16],[7.30434783 8.69565217] ; [13.69565217 16.30434783],0
a4,1,0.885848,0.020609,[ 5 11] ; [10 20],[ 5.2173913 10.7826087] ; [ 9.7826087 20.2173913],0
u2,1,0.913906,0.011688,[3 5] ; [4 6],[3.11111111 4.88888889] ; [3.88888889 6.11111111],0
p3,1,0.930072,0.007701,[ 5 11] ; [ 9 21],[ 4.86956522 11.13043478] ; [ 9.13043478 20.86956522],0
s1,1,0.956527,0.002972,[ 1 15] ; [ 2 28],[ 1.04347826 14.95652174] ; [ 1.95652174 28.04347826],0
s6,1,1.0,0.0,[8 8] ; [14 14],[8. 8.] ; [14. 14.],0
s7,1,1.0,0.0,[ 5 10] ; [ 9 18],[ 5. 10.] ; [ 9. 18.],0
