Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,25.022886,[ 12 285] ; [13 45],[ 20.91549296 276.08450704] ; [ 4.08450704 53.91549296],1
n5,1,0.467143,0.528725,[194 101] ; [41 17],[196.38810198  98.61189802] ; [38.61189802 19.38810198],0
n4,1,0.487386,0.482293,[196 101] ; [41 17],[198.27887324  98.72112676] ; [38.72112676 19.27887324],0
s4,1,0.513547,0.426834,[ 29 268] ; [ 4 53],[ 27.68644068 269.31355932] ; [ 5.31355932 51.68644068],0
r3,1,0.534154,0.386482,[251  46] ; [50  7],[252.53389831  44.46610169] ; [48.46610169  8.53389831],0
b1,1,0.573594,0.316706,[112 187] ; [24 34],[113.9047619 185.0952381] ; [22.0952381 35.9047619],0
s1,1,0.580049,0.306155,[  9 287] ; [ 1 57],[  8.36158192 287.63841808] ; [ 1.63841808 56.36158192],0
a1,1,0.591781,0.287572,[ 11 288] ; [ 3 55],[ 11.7254902 287.2745098] ; [ 2.2745098 55.7254902],0
u2,1,0.616318,0.251077,[58 57] ; [7 9],[57.0610687 57.9389313] ; [7.9389313 8.0610687],0
u3,1,0.677863,0.172542,[54 62] ; [ 7 10],[53.20300752 62.79699248] ; [7.79699248 9.20300752],0
a2,1,0.677879,0.172523,[ 50 249] ; [11 47],[ 51.08963585 247.91036415] ; [ 9.91036415 48.08963585],0
v3,1,0.756586,0.09608,[ 85 202] ; [16 42],[ 84.02028986 202.97971014] ; [16.97971014 41.02028986],0
b4,1,0.776397,0.080666,[171 128] ; [32 26],[170.01960784 128.98039216] ; [32.98039216 25.01960784],0
p9,1,0.794028,0.068165,[205  87] ; [41 16],[205.82234957  86.17765043] ; [40.17765043 16.82234957],0
a6,1,0.800351,0.063955,[201  98] ; [38 20],[200.17086835  98.82913165] ; [38.82913165 19.17086835],0
p8,1,0.808819,0.05854,[114 181] ; [23 34],[114.81534091 180.18465909] ; [22.18465909 34.81534091],0
r2,1,0.833231,0.044335,[254  39] ; [50  7],[254.49142857  38.50857143] ; [49.50857143  7.49142857],0
v4,1,0.854175,0.03378,[257  39] ; [50  7],[257.42776204  38.57223796] ; [49.57223796  7.42776204],0
n2,1,0.925978,0.008632,[59 31] ; [9 5],[58.84615385 31.15384615] ; [9.15384615 4.84615385],0
d3,1,0.939393,0.005781,[184 115] ; [36 22],[184.25770308 114.74229692] ; [35.74229692 22.25770308],0
