Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,1e-05,19.537806,[ 7 87] ; [12 17],[14.5203252 79.4796748] ; [ 4.4796748 24.5203252],1
p2,1,0.258635,1.276046,[68 26] ; [24  5],[70.30894309 23.69105691] ; [21.69105691  7.30894309],0
v2,1,0.274927,1.191997,[38 46] ; [16 12],[40.5 43.5] ; [13.5 14.5],0
s7,1,0.284261,1.146603,[27 58] ; [12 16],[29.33628319 55.66371681] ; [ 9.66371681 18.33628319],0
a6,1,0.307638,1.040789,[67 26] ; [18 11],[64.79508197 28.20491803] ; [20.20491803  8.79508197],0
n2,1,0.309823,1.031429,[21  8] ; [8 1],[22.13157895  6.86842105] ; [6.86842105 2.13157895],0
d4,1,0.349419,0.875565,[72 20] ; [25  4],[73.75206612 18.24793388] ; [23.24793388  5.75206612],0
d3,1,0.374571,0.788443,[59 34] ; [21  8],[60.98360656 32.01639344] ; [19.01639344  9.98360656],0
d5,1,0.402352,0.701287,[70 23] ; [24  5],[71.6557377 21.3442623] ; [22.3442623  6.6557377],0
p9,1,0.40622,0.689837,[63 30] ; [22  7],[64.79508197 28.20491803] ; [20.20491803  8.79508197],0
s2,1,0.418288,0.655121,[37 56] ; [14 15],[38.87704918 54.12295082] ; [12.12295082 16.87704918],0
u1,1,0.518292,0.417291,[ 9 85] ; [ 4 25],[ 9.93495935 84.06504065] ; [ 3.06504065 25.93495935],0
a3,1,0.5426,0.370743,[59 35] ; [20  9],[60.37398374 33.62601626] ; [18.62601626 10.37398374],0
u2,1,0.5489,0.359291,[26  8] ; [6 3],[25.30232558  8.69767442] ; [6.69767442 2.30232558],0
v4,1,0.581431,0.303926,[88  4] ; [27  2],[87.43801653  4.56198347] ; [27.56198347  1.43801653],0
p10,1,0.608465,0.262417,[56 37] ; [19 10],[57.17213115 35.82786885] ; [17.82786885 11.17213115],0
a8,1,0.618587,0.247859,[10 77] ; [ 2 23],[ 9.32142857 77.67857143] ; [ 2.67857143 22.32142857],0
a7,1,0.63236,0.228874,[66 28] ; [19 10],[64.95934959 29.04065041] ; [20.04065041  8.95934959],0
a2,1,0.652258,0.203065,[16 78] ; [ 6 23],[16.81300813 77.18699187] ; [ 5.18699187 23.81300813],0
b4,1,0.65872,0.195082,[54 40] ; [18 11],[55.02439024 38.97560976] ; [16.97560976 12.02439024],0
n4,1,0.698637,0.149894,[48 46] ; [16 13],[48.91056911 45.08943089] ; [15.08943089 13.91056911],0
p12,1,0.700358,0.1481,[ 2 90] ; [ 1 28],[ 2.28099174 89.71900826] ; [ 0.71900826 28.28099174],0
b5,1,0.788004,0.072309,[59 35] ; [19 10],[59.6097561 34.3902439] ; [18.3902439 10.6097561],0
n3,1,0.807903,0.059113,[22  5] ; [7 2],[21.75  5.25] ; [7.25 1.75],0
p5,1,0.839721,0.040905,[ 4 89] ; [ 1 28],[ 3.81147541 89.18852459] ; [ 1.18852459 27.81147541],0
v3,1,0.840894,0.040301,[25 58] ; [ 9 19],[25.42342342 57.57657658] ; [ 8.57657658 19.42342342],0
u3,1,0.914672,0.011481,[27  7] ; [7 2],[26.88372093  7.11627907] ; [7.11627907 1.88372093],0
p11,1,0.950906,0.003791,[61 33] ; [19 10],[61.13821138 32.86178862] ; [18.86178862 10.13821138],0
s3,1,0.985747,0.000319,[50 43] ; [15 13],[49.95867769 43.04132231] ; [15.04132231 12.95867769],0
