Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.5e-05,16.628598,[ 6 67] ; [11 14],[12.66326531 60.33673469] ; [ 4.33673469 20.66326531],1
n6,1,0.420471,0.649,[43 30] ; [17  8],[44.69387755 28.30612245] ; [15.30612245  9.69387755],0
d4,1,0.451784,0.566173,[35 39] ; [14 11],[36.62626263 37.37373737] ; [12.37373737 12.62626263],0
p8,1,0.472952,0.515071,[18 55] ; [ 8 17],[19.36734694 53.63265306] ; [ 6.63265306 18.36734694],0
n3,1,0.477748,0.504,[17  8] ; [8 2],[17.85714286  7.14285714] ; [7.14285714 2.85714286],0
p1,1,0.488441,0.47996,[ 6 68] ; [ 1 24],[ 5.23232323 68.76767677] ; [ 1.76767677 23.23232323],0
b4,1,0.514109,0.425694,[44 30] ; [13 12],[42.60606061 31.39393939] ; [14.39393939 10.60606061],0
r3,1,0.545274,0.365852,[54 19] ; [20  5],[55.12244898 17.87755102] ; [18.87755102  6.12244898],0
a1,1,0.617468,0.249442,[ 5 69] ; [ 1 24],[ 4.48484848 69.51515152] ; [ 1.51515152 23.48484848],0
r1,1,0.653378,0.201668,[46 27] ; [17  8],[46.92857143 26.07142857] ; [16.07142857  8.92857143],0
a8,1,0.698924,0.149593,[ 7 62] ; [ 3 20],[ 7.5 61.5] ; [ 2.5 20.5],0
a4,1,0.807026,0.059665,[13 60] ; [ 5 20],[13.40816327 59.59183673] ; [ 4.59183673 20.40816327],0
a7,1,0.816748,0.053699,[36 37] ; [13 12],[36.5 36.5] ; [12.5 12.5],0
n5,1,0.823523,0.049736,[39 34] ; [14 11],[39.47959184 33.52040816] ; [13.52040816 11.47959184],0
a6,1,0.862713,0.029902,[37 37] ; [13 12],[37.37373737 36.62626263] ; [12.62626263 12.37373737],0
b5,1,0.865844,0.028541,[40 34] ; [14 11],[40.36363636 33.63636364] ; [13.63636364 11.36363636],0
b1,1,0.865844,0.028541,[40 34] ; [14 11],[40.36363636 33.63636364] ; [13.63636364 11.36363636],0
b2,1,0.947478,0.004339,[13 27] ; [ 7 14],[13.1147541 26.8852459] ; [ 6.8852459 14.1147541],0
b3,1,0.947478,0.004339,[13 27] ; [ 7 14],[13.1147541 26.8852459] ; [ 6.8852459 14.1147541],0
a2,1,0.990532,0.000141,[ 3 71] ; [ 1 24],[ 2.98989899 71.01010101] ; [ 1.01010101 23.98989899],0
