Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.520992,[22 30] ; [43  5],[33.8 18.2] ; [31.2 16.8],1
n5,1,0.443057,0.588353,[23 28] ; [18 30],[21.12121212 29.87878788] ; [19.87878788 28.12121212],0
b4,1,0.480285,0.498216,[30 22] ; [31 17],[31.72 20.28] ; [29.28 18.72],0
r1,1,0.499446,0.456114,[37 15] ; [37 11],[38.48 13.52] ; [35.52 12.48],0
p12,1,0.548014,0.360888,[ 2 50] ; [ 3 43],[ 2.65306122 49.34693878] ; [ 2.34693878 43.65306122],0
v3,1,0.552746,0.352421,[17 34] ; [18 28],[18.40206186 32.59793814] ; [16.59793814 29.40206186],0
n1,1,0.573373,0.317071,[ 4 16] ; [ 5 13],[ 4.73684211 15.26315789] ; [ 4.26315789 13.73684211],0
s7,1,0.764702,0.089587,[20 31] ; [19 26],[20.71875 30.28125] ; [18.28125 26.71875],0
b1,1,0.767635,0.087302,[21 31] ; [18 30],[20.28 31.72] ; [18.72 29.28],0
p9,1,0.821254,0.051046,[43  8] ; [38  8],[42.58762887  8.41237113] ; [38.41237113  7.58762887],0
p1,1,0.848576,0.036457,[ 5 47] ; [ 4 43],[ 4.72727273 47.27272727] ; [ 4.27272727 42.72727273],0
p2,1,0.875188,0.024672,[38 14] ; [35 12],[38.34343434 13.65656566] ; [34.65656566 12.34343434],0
p5,1,0.876764,0.024048,[ 3 49] ; [ 3 43],[ 3.18367347 48.81632653] ; [ 2.81632653 43.18367347],0
s1,1,0.950645,0.003831,[ 2 49] ; [ 2 46],[ 2.06060606 48.93939394] ; [ 1.93939394 46.06060606],0
p10,1,0.964618,0.001968,[39 12] ; [35 11],[38.90721649 12.09278351] ; [35.09278351 10.90721649],0
s4,1,0.96864,0.001546,[11 41] ; [10 38],[10.92 41.08] ; [10.08 37.92],0
