Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000244,13.460099,[12  7] ; [14 56],[ 5.5505618 13.4494382] ; [20.4494382 49.5505618],1
p12,1,0.317238,1.000298,[ 1 18] ; [ 1 69],[ 0.42696629 18.57303371] ; [ 1.57303371 68.42696629],0
a5,1,0.320232,0.987999,[11  8] ; [32 39],[9.07777778 9.92222222] ; [33.92222222 37.07777778],0
n5,1,0.353815,0.859726,[10  9] ; [45 25],[11.74157303  7.25842697] ; [43.25842697 26.74157303],0
p1,1,0.354708,0.856541,[ 3 16] ; [ 6 64],[ 1.92134831 17.07865169] ; [ 7.07865169 62.92134831],0
a1,1,0.361133,0.833951,[ 1 18] ; [ 9 62],[ 2.11111111 16.88888889] ; [ 7.88888889 63.11111111],0
n3,1,0.43437,0.611111,[5 3] ; [17 19],[4. 4.] ; [18. 18.],0
a4,1,0.453028,0.563065,[ 8 11] ; [23 47],[ 6.61797753 12.38202247] ; [24.38202247 45.61797753],0
a6,1,0.485624,0.486207,[10  9] ; [31 40],[ 8.65555556 10.34444444] ; [32.34444444 38.65555556],0
p6,1,0.488785,0.4792,[ 4 15] ; [10 59],[ 3.02272727 15.97727273] ; [10.97727273 58.02272727],0
r2,1,0.581155,0.304371,[12  7] ; [37 29],[10.95294118  8.04705882] ; [38.04705882 27.95294118],0
u3,1,0.618144,0.248485,[3 6] ; [ 8 24],[2.41463415 6.58536585] ; [ 8.58536585 23.41463415],0
v3,1,0.714067,0.134249,[ 4 15] ; [12 57],[ 3.45454545 15.54545455] ; [12.54545455 56.45454545],0
a2,1,0.722897,0.125734,[ 3 16] ; [ 9 62],[ 2.53333333 16.46666667] ; [ 9.46666667 61.53333333],0
n2,1,0.727282,0.121622,[4 4] ; [21 16],[4.44444444 3.55555556] ; [20.55555556 16.44444444],0
v4,1,0.740558,0.109636,[11  8] ; [37 32],[10.36363636  8.63636364] ; [37.63636364 31.36363636],0
a3,1,0.762454,0.091361,[10  9] ; [39 30],[10.57954545  8.42045455] ; [38.42045455 30.57954545],0
u1,1,0.777658,0.079734,[ 2 17] ; [ 6 65],[ 1.68888889 17.31111111] ; [ 6.31111111 64.68888889],0
s5,1,0.791615,0.069809,[ 2 17] ; [ 6 64],[ 1.70786517 17.29213483] ; [ 6.29213483 63.70786517],0
v2,1,0.80187,0.062965,[ 5 14] ; [16 52],[ 4.5862069 14.4137931] ; [16.4137931 51.5862069],0
d2,1,0.814517,0.055038,[ 8 11] ; [27 42],[ 7.55681818 11.44318182] ; [27.44318182 41.55681818],0
b1,1,0.817295,0.053373,[11  8] ; [39 32],[10.55555556  8.44444444] ; [39.44444444 31.55555556],0
r1,1,0.846166,0.037641,[ 5 14] ; [20 50],[ 5.33707865 13.66292135] ; [19.66292135 50.33707865],0
s7,1,0.859844,0.031178,[ 4 13] ; [14 51],[ 3.73170732 13.26829268] ; [14.26829268 50.73170732],0
r3,1,0.875753,0.024447,[ 8 11] ; [30 38],[ 8.29885057 10.70114943] ; [29.70114943 38.29885057],0
a8,1,0.913379,0.011833,[ 1 17] ; [ 4 60],[ 1.09756098 16.90243902] ; [ 3.90243902 60.09756098],0
b4,1,0.921013,0.009832,[11  8] ; [42 29],[11.18888889  7.81111111] ; [41.81111111 29.18888889],0
s8,1,0.931388,0.007413,[ 2 17] ; [ 7 64],[ 1.9 17.1] ; [ 7.1 63.9],0
b5,1,0.944964,0.004765,[ 9 10] ; [33 38],[ 8.86666667 10.13333333] ; [33.13333333 37.86666667],0
n1,1,0.985741,0.000319,[3 5] ; [14 23],[3.02222222 4.97777778] ; [13.97777778 23.02222222],0
