Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.9e-05,18.296814,[25 20] ; [ 1 24],[16.71428571 28.28571429] ; [ 9.28571429 15.71428571],1
s7,1,0.381011,0.767436,[ 9 32] ; [ 3 20],[ 7.6875 33.3125] ; [ 4.3125 18.6875],0
v3,1,0.455656,0.556543,[11 34] ; [ 4 20],[ 9.7826087 35.2173913] ; [ 5.2173913 18.7826087],0
a1,1,0.462727,0.539291,[ 6 39] ; [ 5 20],[ 7.07142857 37.92857143] ; [ 3.92857143 21.07142857],0
a2,1,0.50157,0.451613,[ 6 39] ; [ 2 23],[ 5.14285714 39.85714286] ; [ 2.85714286 22.14285714],0
a6,1,0.543995,0.368186,[20 25] ; [13 12],[21.21428571 23.78571429] ; [11.78571429 13.21428571],0
b4,1,0.568413,0.325345,[23 22] ; [11 14],[21.85714286 23.14285714] ; [12.14285714 12.85714286],0
n2,1,0.574784,0.314743,[12 13] ; [5 8],[11.18421053 13.81578947] ; [5.81578947 7.18421053],0
u1,1,0.64511,0.212121,[ 3 42] ; [ 1 24],[ 2.57142857 42.42857143] ; [ 1.42857143 23.57142857],0
s2,1,0.671338,0.180041,[11 34] ; [ 5 20],[10.28571429 34.71428571] ; [ 5.71428571 19.28571429],0
s4,1,0.683758,0.165926,[ 7 38] ; [ 3 22],[ 6.42857143 38.57142857] ; [ 3.57142857 21.42857143],0
p8,1,0.707944,0.140339,[ 6 39] ; [ 4 20],[ 6.52173913 38.47826087] ; [ 3.47826087 20.52173913],0
b1,1,0.712316,0.135975,[29 16] ; [15 10],[28.28571429 16.71428571] ; [15.71428571  9.28571429],0
u3,1,0.739332,0.110714,[ 4 12] ; [ 3 12],[ 3.61290323 12.38709677] ; [ 3.38709677 11.61290323],0
p4,1,0.791779,0.069697,[10 34] ; [ 5 20],[ 9.56521739 34.43478261] ; [ 5.43478261 19.56521739],0
p7,1,0.796881,0.066247,[12 31] ; [ 6 18],[11.55223881 31.44776119] ; [ 6.44776119 17.55223881],0
p2,1,0.828035,0.047186,[17 27] ; [ 9 16],[16.57971014 27.42028986] ; [ 9.42028986 15.57971014],0
s1,1,0.863728,0.029457,[ 5 40] ; [ 3 21],[ 5.2173913 39.7826087] ; [ 2.7826087 21.2173913],0
p9,1,0.898028,0.016423,[16 28] ; [ 8 15],[15.76119403 28.23880597] ; [ 8.23880597 14.76119403],0
r2,1,0.924612,0.008954,[25 17] ; [14 10],[24.81818182 17.18181818] ; [14.18181818  9.81818182],0
n3,1,0.926661,0.008473,[10 15] ; [5 8],[ 9.86842105 15.13157895] ; [5.13157895 7.86842105],0
