Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.026087,[21 91] ; [90 94],[42. 70.] ; [ 69. 115.],1
p7,1,0.381994,0.764276,[60 50] ; [107  72],[63.56401384 46.43598616] ; [103.43598616  75.56401384],0
n5,1,0.394798,0.724112,[94 17] ; [147  35],[91.3003413 19.6996587] ; [149.6996587  32.3003413],0
s3,1,0.405346,0.69241,[60 49] ; [90 90],[56.57439446 52.42560554] ; [93.42560554 86.57439446],0
p5,1,0.416552,0.660023,[11 99] ; [ 24 158],[13.18493151 96.81506849] ; [ 21.81506849 160.18493151],0
s6,1,0.432687,0.615601,[64 43] ; [116  64],[67.10801394 39.89198606] ; [112.89198606  67.10801394],0
p11,1,0.441261,0.593001,[82 30] ; [142  42],[84.75675676 27.24324324] ; [139.24324324  44.75675676],0
p6,1,0.481943,0.494463,[32 77] ; [ 60 120],[34.69896194 74.30103806] ; [ 57.30103806 122.69896194],0
n6,1,0.509931,0.434208,[88 22] ; [152  31],[90.10238908 19.89761092] ; [149.89761092  33.10238908],0
v1,1,0.525395,0.403291,[52 58] ; [91 87],[54.61805556 55.38194444] ; [88.38194444 89.61805556],0
u2,1,0.531362,0.391786,[23 26] ; [39 35],[24.69918699 24.30081301] ; [37.30081301 36.69918699],0
v3,1,0.585524,0.297389,[40 68] ; [ 62 121],[37.8556701 70.1443299] ; [ 64.1443299 118.8556701],0
b4,1,0.596726,0.279962,[61 51] ; [106  78],[63.18918919 48.81081081] ; [103.81081081  80.18918919],0
a3,1,0.601881,0.272168,[63 49] ; [108  74],[65.14285714 46.85714286] ; [105.85714286  76.14285714],0
u1,1,0.603122,0.270312,[  3 109] ; [  7 177],[  3.78378378 108.21621622] ; [  6.21621622 177.78378378],0
s5,1,0.709297,0.13898,[32 75] ; [ 49 127],[30.6254417 76.3745583] ; [ 50.3745583 125.6254417],0
a4,1,0.74481,0.105944,[29 82] ; [ 51 132],[30.20408163 80.79591837] ; [ 49.79591837 133.20408163],0
s2,1,0.777384,0.079936,[45 66] ; [ 76 104],[46.15463918 64.84536082] ; [ 74.84536082 105.15463918],0
b1,1,0.864613,0.029072,[48 64] ; [ 77 107],[47.2972973 64.7027027] ; [ 77.7027027 106.2972973],0
a1,1,0.866701,0.028174,[  5 107] ; [  9 175],[  5.2972973 106.7027027] ; [  8.7027027 175.2972973],0
p1,1,0.884057,0.021266,[ 11 100] ; [ 17 164],[ 10.64383562 100.35616438] ; [ 17.35616438 163.64383562],0
p3,1,0.92146,0.009721,[51 60] ; [ 83 100],[50.59183673 60.40816327] ; [83.40816327 99.59183673],0
n1,1,1.0,0.0,[18 18] ; [16 16],[18. 18.] ; [16. 16.],0
