Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.7e-05,17.618134,[ 22 133] ; [18 23],[ 31.63265306 123.36734694] ; [ 8.36734694 32.63265306],1
p4,1,0.500424,0.454038,[69 90] ; [17 28],[67.02941176 91.97058824] ; [18.97058824 26.02941176],0
n6,1,0.503053,0.44849,[119  42] ; [31 14],[117.23300971  43.76699029] ; [32.76699029 12.23300971],0
d4,1,0.506088,0.442148,[106  55] ; [32 13],[107.85436893  53.14563107] ; [30.14563107 14.85436893],0
d3,1,0.560713,0.338471,[83 77] ; [25 19],[84.70588235 75.29411765] ; [23.29411765 20.70588235],0
n2,1,0.618758,0.247617,[34 15] ; [18  6],[34.90410959 14.09589041] ; [17.09589041  6.90410959],0
b4,1,0.623585,0.240861,[90 71] ; [27 18],[91.44174757 69.55825243] ; [25.55825243 19.44174757],0
v1,1,0.636473,0.223385,[58 98] ; [15 30],[56.65671642 99.34328358] ; [16.34328358 28.65671642],0
a4,1,0.645588,0.211508,[ 52 108] ; [13 32],[ 50.73170732 109.26829268] ; [14.26829268 30.73170732],0
a7,1,0.651649,0.203827,[89 72] ; [26 18],[90.31707317 70.68292683] ; [24.68292683 19.31707317],0
u1,1,0.654633,0.200109,[ 10 151] ; [ 2 43],[  9.37864078 151.62135922] ; [ 2.62135922 42.37864078],0
p9,1,0.66674,0.185439,[115  41] ; [31 13],[113.88  42.12] ; [32.12 11.88],0
n1,1,0.681261,0.168709,[18 29] ; [ 8 16],[17.21126761 29.78873239] ; [ 8.78873239 15.21126761],0
n3,1,0.681835,0.168068,[33 16] ; [15  9],[32.21917808 16.78082192] ; [15.78082192  8.21917808],0
p10,1,0.713597,0.134711,[100  57] ; [30 15],[101.03960396  55.96039604] ; [28.96039604 16.03960396],0
r3,1,0.7442,0.106469,[128  32] ; [35 10],[127.2195122  32.7804878] ; [35.7804878  9.2195122],0
p12,1,0.750932,0.10075,[  5 155] ; [ 1 44],[  4.68292683 155.31707317] ; [ 1.31707317 43.68292683],0
p1,1,0.833578,0.044148,[ 16 145] ; [ 4 41],[ 15.63106796 145.36893204] ; [ 4.36893204 40.63106796],0
r2,1,0.838047,0.041776,[122  34] ; [33 10],[121.50753769  34.49246231] ; [33.49246231  9.50753769],0
d1,1,0.869265,0.027091,[63 98] ; [17 28],[62.52427184 98.47572816] ; [17.47572816 27.52427184],0
p3,1,0.873157,0.025488,[ 58 101] ; [17 28],[ 58.45588235 100.54411765] ; [16.54411765 28.45588235],0
p11,1,0.923413,0.009242,[105  56] ; [29 16],[104.72815534  56.27184466] ; [29.27184466 15.72815534],0
n5,1,0.945011,0.004757,[104  56] ; [29 16],[103.80487805  56.19512195] ; [29.19512195 15.80487805],0
d5,1,0.951848,0.003646,[109  52] ; [30 14],[109.16585366  51.83414634] ; [29.83414634 14.16585366],0
d2,1,0.963569,0.002086,[63 96] ; [18 27],[63.13235294 95.86764706] ; [17.86764706 27.13235294],0
b2,1,0.971704,0.001258,[32 63] ; [10 20],[31.92 63.08] ; [10.08 19.92],0
b3,1,0.971704,0.001258,[32 63] ; [10 20],[31.92 63.08] ; [10.08 19.92],0
r4,1,0.992145,9.7e-05,[86 75] ; [24 21],[85.97087379 75.02912621] ; [24.02912621 20.97087379],0
