Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.960957,[ 7 17] ; [86 21],[17.03816794  6.96183206] ; [75.96183206 31.03816794],1
d5,1,0.497668,0.459906,[18  6] ; [86 20],[19.2  4.8] ; [84.8 21.2],0
u1,1,0.530285,0.393846,[ 3 21] ; [ 9 98],[ 2.19847328 21.80152672] ; [ 9.80152672 97.19847328],0
d3,1,0.538777,0.377812,[10 14] ; [52 55],[11.35877863 12.64122137] ; [50.64122137 56.35877863],0
a2,1,0.595677,0.281565,[ 2 22] ; [13 94],[ 2.7480916 21.2519084] ; [12.2519084 94.7480916],0
a4,1,0.621933,0.243159,[13 11] ; [52 55],[11.90839695 12.09160305] ; [53.09160305 53.90839695],0
d4,1,0.65119,0.204403,[20  4] ; [84 22],[19.2  4.8] ; [84.8 21.2],0
p10,1,0.65519,0.199419,[19  5] ; [88 18],[19.75384615  4.24615385] ; [87.24615385 18.75384615],0
a3,1,0.676647,0.173925,[21  3] ; [90 17],[20.33587786  3.66412214] ; [90.66412214 16.33587786],0
p11,1,0.724762,0.123975,[19  5] ; [88 19],[19.60305344  4.39694656] ; [87.39694656 19.60305344],0
a1,1,0.753869,0.098308,[ 2 22] ; [  7 100],[ 1.64885496 22.35114504] ; [ 7.35114504 99.64885496],0
d2,1,0.835975,0.042868,[12 12] ; [56 51],[12.45801527 11.54198473] ; [55.54198473 51.45801527],0
a5,1,0.864715,0.029028,[18  6] ; [82 25],[18.32061069  5.67938931] ; [81.67938931 25.32061069],0
n3,1,0.87425,0.025047,[5 3] ; [19 10],[5.18918919 2.81081081] ; [18.81081081 10.18918919],0
n1,1,0.87425,0.025047,[5 3] ; [19 10],[5.18918919 2.81081081] ; [18.81081081 10.18918919],0
s1,1,0.914619,0.011495,[ 1 23] ; [  5 102],[ 1.09923664 22.90076336] ; [  4.90076336 102.09923664],0
a8,1,0.957505,0.002839,[ 3 20] ; [14 90],[ 3.07874016 19.92125984] ; [13.92125984 90.07874016],0
