Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.00033,12.89099,[ 1 16] ; [6 2],[ 4.76 12.24] ; [2.24 5.76],1
p10,1,0.403405,0.698154,[13 24] ; [11 13],[14.55737705 22.44262295] ; [ 9.44262295 14.55737705],0
s7,1,0.405343,0.69242,[ 4 32] ; [ 4 17],[ 5.05263158 30.94736842] ; [ 2.94736842 18.05263158],0
n2,1,0.408942,0.681875,[ 7 11] ; [7 6],[8.12903226 9.87096774] ; [5.87096774 7.12903226],0
r1,1,0.418733,0.653868,[12 26] ; [10 14],[13.48387097 24.51612903] ; [ 8.51612903 15.48387097],0
p4,1,0.443289,0.587754,[ 9 28] ; [ 8 16],[10.31147541 26.68852459] ; [ 6.68852459 17.31147541],0
n6,1,0.45935,0.547477,[19 18] ; [10 14],[17.59016393 19.40983607] ; [11.40983607 12.59016393],0
a7,1,0.48207,0.494177,[14 24] ; [11 13],[15.32258065 22.67741935] ; [ 9.67741935 14.32258065],0
v1,1,0.482864,0.492387,[11 27] ; [ 9 15],[12.25806452 25.74193548] ; [ 7.74193548 16.25806452],0
r2,1,0.511684,0.430622,[24 12] ; [14 10],[22.8 13.2] ; [15.2  8.8],0
b3,1,0.512734,0.428484,[12 17] ; [4 9],[11.04761905 17.95238095] ; [4.95238095 8.04761905],0
b2,1,0.512734,0.428484,[12 17] ; [4 9],[11.04761905 17.95238095] ; [4.95238095 8.04761905],0
a3,1,0.515428,0.423032,[21 15] ; [16  8],[22.2 13.8] ; [14.8  9.2],0
s3,1,0.525129,0.403808,[ 8 26] ; [ 4 20],[ 7.03448276 26.96551724] ; [ 4.96551724 19.03448276],0
d3,1,0.542901,0.37019,[16 22] ; [12 12],[17.16129032 20.83870968] ; [10.83870968 13.16129032],0
a2,1,0.550229,0.356908,[ 3 35] ; [ 3 21],[ 3.67741935 34.32258065] ; [ 2.32258065 21.67741935],0
r4,1,0.558761,0.341855,[ 5 33] ; [ 2 22],[ 4.29032258 33.70967742] ; [ 2.70967742 21.29032258],0
n3,1,0.60524,0.267165,[ 8 10] ; [7 6],[8.70967742 9.29032258] ; [6.29032258 6.70967742],0
b4,1,0.621096,0.24433,[23 15] ; [13 11],[22.06451613 15.93548387] ; [13.93548387 10.06451613],0
b1,1,0.625892,0.237673,[23 15] ; [16  8],[23.90322581 14.09677419] ; [15.09677419  8.90322581],0
s4,1,0.67027,0.181287,[ 8 30] ; [ 4 20],[ 7.35483871 30.64516129] ; [ 4.64516129 19.35483871],0
b5,1,0.6858,0.163669,[17 21] ; [12 12],[17.77419355 20.22580645] ; [11.22580645 12.77419355],0
u2,1,0.68591,0.163549,[ 5 12] ; [3 5],[ 5.44 11.56] ; [2.56 5.44],0
p9,1,0.726347,0.122493,[14 22] ; [10 13],[14.6440678 21.3559322] ; [ 9.3559322 13.6440678],0
u1,1,0.738965,0.111038,[ 1 37] ; [ 1 23],[ 1.22580645 36.77419355] ; [ 0.77419355 23.22580645],0
p12,1,0.738965,0.111038,[ 1 37] ; [ 1 23],[ 1.22580645 36.77419355] ; [ 0.77419355 23.22580645],0
n1,1,0.739048,0.110965,[ 8 10] ; [5 8],[ 7.5483871 10.4516129] ; [5.4516129 7.5483871],0
s1,1,0.810959,0.057211,[ 4 34] ; [ 3 21],[ 4.29032258 33.70967742] ; [ 2.70967742 21.29032258],0
v2,1,0.854212,0.033763,[ 7 30] ; [ 5 19],[ 7.27868852 29.72131148] ; [ 4.72131148 19.27868852],0
p3,1,0.860436,0.030912,[10 27] ; [ 6 18],[ 9.70491803 27.29508197] ; [ 6.29508197 17.70491803],0
p6,1,0.908797,0.013123,[ 5 32] ; [ 3 21],[ 4.85245902 32.14754098] ; [ 3.14754098 20.85245902],0
d5,1,0.932655,0.007141,[21 17] ; [13 11],[20.83870968 17.16129032] ; [13.16129032 10.83870968],0
p5,1,0.93619,0.00641,[ 3 34] ; [ 2 21],[ 3.08333333 33.91666667] ; [ 1.91666667 21.08333333],0
v3,1,0.983516,0.000427,[ 8 30] ; [ 5 19],[ 7.96774194 30.03225806] ; [ 5.03225806 18.96774194],0
