Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.5e-05,18.682435,[ 9 25] ; [14  1],[15.95918367 18.04081633] ; [7.04081633 7.95918367],1
v3,1,0.644007,0.21354,[ 5 29] ; [ 3 12],[ 5.55102041 28.44897959] ; [ 2.44897959 12.55102041],0
a3,1,0.720405,0.128105,[14 20] ; [7 8],[14.57142857 19.42857143] ; [6.42857143 8.57142857],0
a1,1,0.799389,0.064586,[ 3 31] ; [ 1 14],[ 2.7755102 31.2244898] ; [ 1.2244898 13.7755102],0
p12,1,0.799389,0.064586,[ 3 31] ; [ 1 14],[ 2.7755102 31.2244898] ; [ 1.2244898 13.7755102],0
u2,1,0.810595,0.057436,[11  9] ; [4 4],[10.71428571  9.28571429] ; [4.28571429 3.71428571],0
d1,1,0.813926,0.055397,[ 8 26] ; [ 4 11],[ 8.32653061 25.67346939] ; [ 3.67346939 11.32653061],0
b3,1,0.829856,0.046176,[ 5 16] ; [3 8],[ 5.25 15.75] ; [2.75 8.25],0
b2,1,0.829856,0.046176,[ 5 16] ; [3 8],[ 5.25 15.75] ; [2.75 8.25],0
a7,1,0.868681,0.027335,[15 19] ; [7 8],[15.26530612 18.73469388] ; [6.73469388 8.26530612],0
b5,1,0.868681,0.027335,[19 15] ; [8 7],[18.73469388 15.26530612] ; [8.26530612 6.73469388],0
d3,1,0.868681,0.027335,[15 19] ; [7 8],[15.26530612 18.73469388] ; [6.73469388 8.26530612],0
n5,1,0.894275,0.017661,[22 12] ; [10  5],[22.20408163 11.79591837] ; [9.79591837 5.20408163],0
p1,1,0.915944,0.01114,[ 2 32] ; [ 1 14],[ 2.08163265 31.91836735] ; [ 0.91836735 14.08163265],0
