Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,117.638889,[140  20] ; [28 92],[96. 64.] ; [72. 48.],1
r2,1,0.135017,2.233853,[160   4] ; [111   7],[157.60283688   6.39716312] ; [113.39716312   4.60283688],0
r1,1,0.151966,2.0524,[143  21] ; [98 23],[138.68070175  25.31929825] ; [102.31929825  18.68070175],0
u1,1,0.152369,2.048371,[ 40 124] ; [ 21 100],[ 35.10175439 128.89824561] ; [25.89824561 95.10175439],0
d1,1,0.15455,2.026756,[111  53] ; [72 49],[105.30526316  58.69473684] ; [77.69473684 43.30526316],0
r4,1,0.157137,2.001567,[155   9] ; [109  12],[151.91578947  12.08421053] ; [112.08421053   8.91578947],0
n6,1,0.162965,1.946497,[155   8] ; [110  11],[152.09507042  10.90492958] ; [112.90492958   8.09507042],0
a6,1,0.209453,1.575206,[103  58] ; [86 35],[107.90425532  53.09574468] ; [81.09574468 39.90425532],0
u4,1,0.212047,1.557395,[  7 157] ; [  2 119],[  5.17894737 158.82105263] ; [  3.82105263 117.17894737],0
p4,1,0.216729,1.525902,[113  49] ; [74 44],[108.19285714  53.80714286] ; [78.80714286 39.19285714],0
a4,1,0.234606,1.412715,[85 78] ; [54 66],[80.06007067 82.93992933] ; [58.93992933 61.06007067],0
b3,1,0.251565,1.314592,[46 54] ; [32 53],[42.16216216 57.83783784] ; [35.83783784 49.16216216],0
b2,1,0.251565,1.314592,[46 54] ; [32 53],[42.16216216 57.83783784] ; [35.83783784 49.16216216],0
v4,1,0.253186,1.305639,[160   4] ; [115   6],[158.24561404   5.75438596] ; [116.75438596   4.24561404],0
a5,1,0.28374,1.149091,[130  33] ; [90 31],[126.26760563  36.73239437] ; [93.73239437 27.26760563],0
p8,1,0.32056,0.986661,[99 62] ; [65 52],[94.97841727 66.02158273] ; [69.02158273 47.97841727],0
n2,1,0.334116,0.93288,[26  4] ; [16  5],[24.70588235  5.29411765] ; [17.29411765  3.70588235],0
n3,1,0.338205,0.917225,[21 10] ; [16  4],[22.49019608  8.50980392] ; [14.50980392  5.49019608],0
a2,1,0.343192,0.89847,[ 49 115] ; [30 91],[ 45.45964912 118.54035088] ; [33.54035088 87.45964912],0
p5,1,0.34357,0.897065,[ 33 130] ; [ 19 101],[ 29.95053004 133.04946996] ; [22.04946996 97.95053004],0
v2,1,0.352072,0.865976,[131  31] ; [90 28],[127.86428571  34.13571429] ; [93.13571429 24.86428571],0
d2,1,0.373807,0.790971,[91 71] ; [61 59],[87.31914894 74.68085106] ; [64.68085106 55.31914894],0
p6,1,0.382427,0.762886,[71 89] ; [47 73],[67.42857143 92.57142857] ; [50.57142857 69.42857143],0
d3,1,0.46559,0.532423,[115  47] ; [81 40],[112.19787986  49.80212014] ; [83.80212014 37.19787986],0
p1,1,0.485194,0.487167,[ 22 141] ; [ 13 108],[ 20.08802817 142.91197183] ; [ 14.91197183 106.08802817],0
p7,1,0.493927,0.46796,[115  42] ; [82 36],[112.46909091  44.53090909] ; [84.53090909 33.46909091],0
b5,1,0.590988,0.288804,[91 73] ; [71 50],[93.22105263 70.77894737] ; [68.77894737 52.22105263],0
p3,1,0.597236,0.279184,[99 63] ; [69 50],[96.85409253 65.14590747] ; [71.14590747 47.85409253],0
a7,1,0.59814,0.277811,[110  52] ; [85 35],[112.0212766  49.9787234] ; [82.9787234 37.0212766],0
u2,1,0.598661,0.27702,[19 13] ; [18 16],[17.93939394 14.06060606] ; [19.06060606 14.93939394],0
b1,1,0.628412,0.234221,[67 97] ; [46 75],[65.0245614 98.9754386] ; [47.9754386 73.0245614],0
n1,1,0.762369,0.091429,[13 17] ; [ 7 11],[12.5 17.5] ; [ 7.5 10.5],0
a8,1,0.822565,0.050287,[ 24 127] ; [15 86],[ 23.36904762 127.63095238] ; [15.63095238 85.36904762],0
b4,1,0.84037,0.04057,[97 67] ; [73 48],[97.8245614 66.1754386] ; [72.1754386 48.8245614],0
p11,1,0.903414,0.014726,[136  28] ; [101  20],[136.37894737  27.62105263] ; [100.62105263  20.37894737],0
a1,1,0.934832,0.006686,[ 14 150] ; [ 10 111],[ 13.81052632 150.18947368] ; [ 10.18947368 110.81052632],0
d5,1,0.975426,0.000949,[135  27] ; [101  20],[135.09540636  26.90459364] ; [100.90459364  20.09540636],0
