Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,23.145652,[10 53] ; [36 27],[23. 40.] ; [23. 40.],1
b5,1,0.739864,0.110246,[38 27] ; [35 28],[37.0703125 27.9296875] ; [35.9296875 27.0703125],0
a6,1,0.750439,0.101162,[42 23] ; [39 24],[41.1328125 23.8671875] ; [39.8671875 23.1328125],0
a7,1,0.75435,0.097912,[44 21] ; [41 22],[43.1640625 21.8359375] ; [41.8359375 21.1640625],0
v2,1,0.814712,0.054921,[28 36] ; [25 35],[27.35483871 36.64516129] ; [25.64516129 34.35483871],0
n1,1,0.867686,0.027755,[ 8 12] ; [6 8],[ 8.23529412 11.76470588] ; [5.76470588 8.23529412],0
b1,1,0.879953,0.02281,[38 27] ; [36 27],[37.578125 27.421875] ; [36.421875 26.578125],0
d3,1,0.887434,0.020037,[40 25] ; [38 25],[39.609375 25.390625] ; [38.390625 24.609375],0
b4,1,0.894653,0.017535,[42 23] ; [40 23],[41.640625 23.359375] ; [40.359375 22.640625],0
s1,1,0.926037,0.008618,[ 4 61] ; [ 4 57],[ 4.12698413 60.87301587] ; [ 3.87301587 57.12698413],0
u1,1,0.939354,0.005788,[10 55] ; [10 53],[10.15625 54.84375] ; [ 9.84375 53.15625],0
a5,1,0.961149,0.002373,[41 24] ; [40 23],[41.1328125 23.8671875] ; [39.8671875 23.1328125],0
n2,1,1.0,0.0,[15  5] ; [12  4],[15.  5.] ; [12.  4.],0
