Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,86.826328,[103   5] ; [ 8 31],[81.55102041 26.44897959] ; [29.44897959  9.55102041],1
a8,1,0.035939,4.4,[20 76] ; [ 2 34],[16. 80.] ; [ 6. 30.],0
v3,1,0.043816,4.063631,[41 66] ; [ 8 31],[35.9109589 71.0890411] ; [13.0890411 25.9109589],0
u1,1,0.061683,3.491537,[23 87] ; [ 3 36],[19.19463087 90.80536913] ; [ 6.80536913 32.19463087],0
a2,1,0.067364,3.346104,[30 80] ; [ 5 34],[25.83892617 84.16107383] ; [ 9.16107383 29.83892617],0
a4,1,0.068489,3.318864,[53 56] ; [12 26],[48.19727891 60.80272109] ; [16.80272109 21.19727891],0
p5,1,0.079171,3.08183,[14 95] ; [ 1 36],[11.19863014 97.80136986] ; [ 3.80136986 33.19863014],0
b2,1,0.083874,2.988181,[19 41] ; [12 11],[22.40963855 37.59036145] ; [ 8.59036145 14.40963855],0
b3,1,0.083874,2.988181,[19 41] ; [12 11],[22.40963855 37.59036145] ; [ 8.59036145 14.40963855],0
b1,1,0.089191,2.888908,[56 54] ; [26 13],[60.53691275 49.46308725] ; [21.46308725 17.53691275],0
n4,1,0.130088,2.291455,[95 14] ; [30  9],[92.06081081 16.93918919] ; [32.93918919  6.06081081],0
n1,1,0.130713,2.284021,[21 13] ; [10 14],[18.17241379 15.82758621] ; [12.82758621 11.17241379],0
u2,1,0.209652,1.57383,[13 21] ; [ 3 12],[11.10204082 22.89795918] ; [ 4.89795918 10.10204082],0
d2,1,0.238376,1.390171,[58 51] ; [16 22],[54.8707483 54.1292517] ; [19.1292517 18.8707483],0
b4,1,0.23944,1.38389,[60 50] ; [17 22],[56.84563758 53.15436242] ; [20.15436242 18.84563758],0
a3,1,0.263956,1.247887,[76 32] ; [23 15],[73.23287671 34.76712329] ; [25.76712329 12.23287671],0
a6,1,0.267411,1.229978,[67 42] ; [20 19],[64.07432432 44.92567568] ; [22.92567568 16.07432432],0
s1,1,0.325127,0.968209,[  6 101] ; [ 4 35],[ 7.32876712 99.67123288] ; [ 2.67123288 36.32876712],0
s4,1,0.58483,0.298492,[18 91] ; [ 5 34],[16.93918919 92.06081081] ; [ 6.06081081 32.93918919],0
p12,1,0.742937,0.107562,[  4 105] ; [ 1 38],[  3.68243243 105.31756757] ; [ 1.31756757 37.68243243],0
p1,1,0.963529,0.002091,[11 99] ; [ 4 35],[11.0738255 98.9261745] ; [ 3.9261745 35.0738255],0
