Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.012964,6.174038,[32 11] ; [1 4],[29.5625 13.4375] ; [3.4375 1.5625],0
r4,1,0.466823,0.529485,[144  16] ; [10  2],[143.25581395  16.74418605] ; [10.74418605  1.25581395],0
d2,1,0.468857,0.524669,[84 76] ; [5 7],[82.79069767 77.20930233] ; [6.20930233 5.79069767],0
s2,1,0.474383,0.511749,[108  50] ; [7 5],[106.88235294  51.11764706] ; [8.11764706 3.88235294],0
d5,1,0.514461,0.424983,[132  28] ; [9 3],[131.1627907  28.8372093] ; [9.8372093 2.1627907],0
p9,1,0.51793,0.418013,[134  24] ; [11  1],[134.76470588  23.23529412] ; [10.23529412  1.76470588],0
v4,1,0.538219,0.378852,[151   7] ; [11  1],[150.56470588   7.43529412] ; [11.43529412  0.56470588],0
n5,1,0.56101,0.337958,[120  38] ; [10  2],[120.82352941  37.17647059] ; [9.17647059 2.82352941],0
p6,1,0.620439,0.245251,[ 55 104] ; [5 7],[ 55.78947368 103.21052632] ; [4.21052632 7.78947368],0
b2,1,0.623445,0.241055,[35 66] ; [3 8],[34.26785714 66.73214286] ; [3.73214286 7.26785714],0
b3,1,0.623445,0.241055,[35 66] ; [3 8],[34.26785714 66.73214286] ; [3.73214286 7.26785714],0
n2,1,0.657512,0.19656,[35 10] ; [2 1],[34.6875 10.3125] ; [2.3125 0.6875],0
a5,1,0.663918,0.188799,[116  44] ; [8 4],[115.34883721  44.65116279] ; [8.65116279 3.34883721],0
s4,1,0.699137,0.149371,[ 34 125] ; [ 2 10],[ 33.47368421 125.52631579] ; [2.52631579 9.47368421],0
p12,1,0.703567,0.144788,[  9 150] ; [ 1 11],[  9.29824561 149.70175439] ; [ 0.70175439 11.29824561],0
a4,1,0.76928,0.086035,[73 87] ; [6 6],[73.48837209 86.51162791] ; [5.51162791 6.48837209],0
s3,1,0.847783,0.036844,[113  43] ; [9 3],[113.28571429  42.71428571] ; [8.71428571 3.28571429],0
d4,1,0.858041,0.031994,[130  30] ; [10  2],[130.23255814  29.76744186] ; [9.76744186 2.23255814],0
a8,1,0.8672,0.027961,[ 29 114] ; [2 9],[ 28.78571429 114.21428571] ; [2.21428571 8.78571429],0
a7,1,0.88745,0.020031,[117  43] ; [9 3],[117.20930233  42.79069767] ; [8.79069767 3.20930233],0
n3,1,0.915828,0.011171,[28 16] ; [2 1],[28.08510638 15.91489362] ; [1.91489362 1.08510638],0
r2,1,0.931101,0.007475,[145  12] ; [11  1],[144.92307692  12.07692308] ; [11.07692308  0.92307692],0
n6,1,0.931132,0.007469,[134  25] ; [10  2],[133.89473684  25.10526316] ; [10.10526316  1.89473684],0
s6,1,0.938541,0.005945,[133  25] ; [10  2],[132.90588235  25.09411765] ; [10.09411765  1.90588235],0
p10,1,0.94601,0.004586,[132  25] ; [10  2],[131.91715976  25.08284024] ; [10.08284024  1.91715976],0
p11,1,0.961233,0.002363,[121  39] ; [9 3],[120.93023256  39.06976744] ; [9.06976744 2.93023256],0
b4,1,0.977442,0.0008,[94 66] ; [7 5],[93.95348837 66.04651163] ; [7.04651163 4.95348837],0
d1,1,0.977442,0.0008,[94 66] ; [7 5],[93.95348837 66.04651163] ; [7.04651163 4.95348837],0
