Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,4.1e-05,16.811672,[ 4 21] ; [22  9],[11.60714286 13.39285714] ; [14.39285714 16.60714286],1
n3,1,0.332474,0.939239,[9 5] ; [9 2],[10.08  3.92] ; [7.92 3.08],0
u2,1,0.334746,0.930451,[ 5 10] ; [9 9],[6.36363636 8.63636364] ; [ 7.63636364 10.36363636],0
n2,1,0.446443,0.579667,[11  5] ; [9 2],[11.85185185  4.14814815] ; [8.14814815 2.85185185],0
s7,1,0.449931,0.570825,[ 6 18] ; [ 5 25],[ 4.88888889 19.11111111] ; [ 6.11111111 23.88888889],0
a4,1,0.505758,0.442834,[ 5 20] ; [ 4 26],[ 4.09090909 20.90909091] ; [ 4.90909091 25.09090909],0
n6,1,0.51654,0.420797,[14 11] ; [20 11],[15.17857143  9.82142857] ; [18.82142857 12.17857143],0
u3,1,0.528871,0.396561,[ 4 11] ; [ 7 12],[ 4.85294118 10.14705882] ; [ 6.14705882 12.85294118],0
b4,1,0.530244,0.393923,[15 10] ; [16 15],[13.83928571 11.16071429] ; [17.16071429 13.83928571],0
r2,1,0.641509,0.216774,[18  7] ; [24  7],[18.75  6.25] ; [23.25  7.75],0
d2,1,0.672487,0.178707,[ 6 19] ; [ 9 22],[ 6.69642857 18.30357143] ; [ 8.30357143 22.69642857],0
v3,1,0.739136,0.110887,[ 6 18] ; [ 9 22],[ 6.54545455 17.45454545] ; [ 8.45454545 22.54545455],0
s4,1,0.741988,0.108387,[ 4 21] ; [ 4 27],[ 3.57142857 21.42857143] ; [ 4.42857143 26.57142857],0
s6,1,0.76875,0.086442,[ 9 16] ; [10 21],[ 8.48214286 16.51785714] ; [10.51785714 20.48214286],0
s1,1,0.797252,0.066,[ 2 23] ; [ 3 27],[ 2.27272727 22.72727273] ; [ 2.72727273 27.27272727],0
d4,1,0.802938,0.062274,[10 15] ; [13 17],[10.45454545 14.54545455] ; [12.54545455 17.45454545],0
d1,1,0.82302,0.050025,[ 2 23] ; [ 2 29],[ 1.78571429 23.21428571] ; [ 2.21428571 28.78571429],0
a3,1,0.824315,0.049283,[10 14] ; [12 19],[ 9.6 14.4] ; [12.4 18.6],0
p11,1,0.832304,0.044837,[12 13] ; [14 17],[11.60714286 13.39285714] ; [14.39285714 16.60714286],0
a8,1,0.846974,0.037241,[ 3 22] ; [ 3 26],[ 2.77777778 22.22222222] ; [ 3.22222222 25.77777778],0
u1,1,0.876666,0.024086,[ 1 24] ; [ 1 30],[ 0.89285714 24.10714286] ; [ 1.10714286 29.89285714],0
p5,1,0.89537,0.017296,[ 1 24] ; [ 1 29],[ 0.90909091 24.09090909] ; [ 1.09090909 28.90909091],0
s8,1,0.919074,0.010323,[ 3 22] ; [ 4 27],[ 3.125 21.875] ; [ 3.875 27.125],0
r1,1,0.921705,0.00966,[15 10] ; [19 12],[15.17857143  9.82142857] ; [18.82142857 12.17857143],0
p10,1,0.927818,0.008207,[ 3 21] ; [ 4 26],[ 3.11111111 20.88888889] ; [ 3.88888889 26.11111111],0
a6,1,0.930749,0.007552,[11 14] ; [14 17],[11.16071429 13.83928571] ; [13.83928571 17.16071429],0
n1,1,0.951159,0.003752,[7 8] ; [5 6],[6.92307692 8.07692308] ; [5.07692308 5.92307692],0
