Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,5.1e-05,16.423797,[48  3] ; [7 7],[43.15384615  7.84615385] ; [11.84615385  2.15384615],1
p3,1,0.316423,1.003676,[33 18] ; [7 7],[31.38461538 19.61538462] ; [8.61538462 5.38461538],0
p1,1,0.322706,0.977947,[ 9 41] ; [ 1 13],[ 7.8125 42.1875] ; [ 2.1875 11.8125],0
u3,1,0.362656,0.828676,[12  3] ; [5 3],[11.08695652  3.91304348] ; [5.91304348 2.08695652],0
p2,1,0.365377,0.819328,[42  9] ; [10  4],[40.8 10.2] ; [11.2  2.8],0
s3,1,0.376384,0.78248,[25 26] ; [5 9],[23.53846154 27.46153846] ; [6.46153846 7.53846154],0
r1,1,0.448894,0.573443,[38 13] ; [9 5],[36.87692308 14.12307692] ; [10.12307692  3.87692308],0
s4,1,0.468685,0.525074,[16 35] ; [ 3 11],[14.90769231 36.09230769] ; [4.09230769 9.90769231],0
p11,1,0.554329,0.349619,[36 15] ; [11  3],[36.87692308 14.12307692] ; [10.12307692  3.87692308],0
n1,1,0.571608,0.32,[ 8 12] ; [1 3],[ 7.5 12.5] ; [1.5 2.5],0
n6,1,0.576566,0.31182,[36 14] ; [9 5],[35.15625 14.84375] ; [9.84375 4.15625],0
s2,1,0.590217,0.290006,[26 25] ; [6 8],[25.10769231 25.89230769] ; [6.89230769 7.10769231],0
a6,1,0.60348,0.269779,[33 18] ; [8 6],[32.16923077 18.83076923] ; [8.83076923 5.16923077],0
b5,1,0.637732,0.221721,[33 18] ; [10  4],[33.73846154 17.26153846] ; [9.26153846 4.73846154],0
a7,1,0.649697,0.206282,[37 14] ; [11  3],[37.66153846 13.33846154] ; [10.33846154  3.66153846],0
b1,1,0.682597,0.167217,[25 26] ; [6 8],[24.32307692 26.67692308] ; [6.67692308 7.32307692],0
v3,1,0.726978,0.121905,[13 37] ; [ 3 11],[12.5 37.5] ; [ 3.5 10.5],0
p8,1,0.779983,0.078031,[27 24] ; [8 6],[27.46153846 23.53846154] ; [7.53846154 6.46153846],0
b3,1,0.81866,0.052564,[12 20] ; [3 6],[11.70731707 20.29268293] ; [3.29268293 5.70731707],0
b2,1,0.81866,0.052564,[12 20] ; [3 6],[11.70731707 20.29268293] ; [3.29268293 5.70731707],0
n2,1,0.840825,0.040336,[14  6] ; [3 1],[14.16666667  5.83333333] ; [2.83333333 1.16666667],0
s1,1,0.861989,0.030221,[ 3 48] ; [ 1 13],[ 3.13846154 47.86153846] ; [ 0.86153846 13.13846154],0
u2,1,0.930912,0.007516,[11  4] ; [6 2],[11.08695652  3.91304348] ; [5.91304348 2.08695652],0
p7,1,0.933689,0.006923,[39 11] ; [10  3],[38.88888889 11.11111111] ; [10.11111111  2.88888889],0
n3,1,1.0,0.0,[15  5] ; [3 1],[15.  5.] ; [3. 1.],0
