Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1.4e-05,18.869345,[18 11] ; [ 2 26],[10.1754386 18.8245614] ; [ 9.8245614 18.1754386],1
n6,1,0.290914,1.115385,[15 14] ; [11 18],[13. 16.] ; [13. 16.],0
a1,1,0.302451,1.063356,[ 6 24] ; [ 3 26],[ 4.57627119 25.42372881] ; [ 4.42372881 24.57627119],0
b4,1,0.340879,0.907121,[16 14] ; [19 10],[17.79661017 12.20338983] ; [17.20338983 11.79661017],0
v2,1,0.378315,0.77617,[ 4 26] ; [ 6 21],[ 5.26315789 24.73684211] ; [ 4.73684211 22.26315789],0
p8,1,0.41031,0.677903,[ 6 22] ; [ 9 20],[ 7.36842105 20.63157895] ; [ 7.63157895 21.36842105],0
b3,1,0.411868,0.673401,[ 7 15] ; [ 8 10],[ 8.25 13.75] ; [ 6.75 11.25],0
b2,1,0.411868,0.673401,[ 7 15] ; [ 8 10],[ 8.25 13.75] ; [ 6.75 11.25],0
p11,1,0.435589,0.607875,[10 20] ; [ 7 22],[ 8.6440678 21.3559322] ; [ 8.3559322 20.6440678],0
s5,1,0.478271,0.502803,[ 5 25] ; [ 3 26],[ 4.06779661 25.93220339] ; [ 3.93220339 25.06779661],0
p9,1,0.507628,0.438953,[13 14] ; [11 17],[11.78181818 15.21818182] ; [12.21818182 15.78181818],0
u3,1,0.518416,0.417043,[1 5] ; [ 6 14],[1.61538462 4.38461538] ; [ 5.38461538 14.61538462],0
p12,1,0.533393,0.387924,[ 1 29] ; [ 2 27],[ 1.52542373 28.47457627] ; [ 1.47457627 27.52542373],0
n3,1,0.578709,0.308326,[ 6 10] ; [8 9],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
p2,1,0.588349,0.292929,[10 19] ; [12 17],[11. 18.] ; [11. 18.],0
v3,1,0.606921,0.264683,[ 7 23] ; [ 5 23],[ 6.20689655 23.79310345] ; [ 5.79310345 22.20689655],0
p1,1,0.652399,0.202889,[ 3 27] ; [ 4 25],[ 3.55932203 26.44067797] ; [ 3.44067797 25.55932203],0
r4,1,0.652399,0.202889,[ 3 27] ; [ 4 25],[ 3.55932203 26.44067797] ; [ 3.44067797 25.55932203],0
p6,1,0.698458,0.150081,[ 3 27] ; [ 2 26],[ 2.5862069 27.4137931] ; [ 2.4137931 25.5862069],0
n2,1,0.731601,0.117647,[9 8] ; [8 9],[8.5 8.5] ; [8.5 8.5],0
s6,1,0.752858,0.099145,[ 6 23] ; [ 7 22],[ 6.5 22.5] ; [ 6.5 22.5],0
p10,1,0.754465,0.097817,[13 17] ; [11 17],[12.4137931 17.5862069] ; [11.5862069 16.4137931],0
p7,1,0.771336,0.084465,[ 9 19] ; [ 8 20],[ 8.5 19.5] ; [ 8.5 19.5],0
v1,1,0.823531,0.049732,[ 8 22] ; [ 7 22],[ 7.62711864 22.37288136] ; [ 7.37288136 21.62711864],0
v4,1,0.879308,0.023057,[17 13] ; [17 12],[17.28813559 12.71186441] ; [16.71186441 12.28813559],0
b5,1,0.879308,0.023057,[13 17] ; [12 17],[12.71186441 17.28813559] ; [12.28813559 16.71186441],0
s4,1,0.958871,0.002659,[ 4 26] ; [ 4 25],[ 4.06779661 25.93220339] ; [ 3.93220339 25.06779661],0
s1,1,0.971989,0.001233,[ 2 28] ; [ 2 27],[ 2.03389831 27.96610169] ; [ 1.96610169 27.03389831],0
s8,1,1.0,0.0,[ 3 26] ; [ 3 26],[ 3. 26.] ; [ 3. 26.],0
