Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,8.3e-05,15.490993,[16  8] ; [17 57],[ 8.08163265 15.91836735] ; [24.91836735 49.08163265],1
n4,1,0.300521,1.07188,[16  8] ; [41 34],[13.81818182 10.18181818] ; [43.18181818 31.81818182],0
r1,1,0.300521,1.07188,[16  8] ; [41 34],[13.81818182 10.18181818] ; [43.18181818 31.81818182],0
n6,1,0.300816,1.070573,[18  6] ; [47 27],[15.91836735  8.08163265] ; [49.08163265 24.91836735],0
p11,1,0.306464,1.045855,[17  7] ; [45 31],[14.88  9.12] ; [47.12 28.88],0
p1,1,0.308803,1.035787,[ 4 20] ; [ 7 69],[ 2.64 21.36] ; [ 8.36 67.64],0
s3,1,0.385378,0.753475,[10 14] ; [24 51],[ 8.24242424 15.75757576] ; [25.75757576 49.24242424],0
n1,1,0.393153,0.729167,[4 3] ; [11 17],[3. 4.] ; [12. 16.],0
a5,1,0.426871,0.631321,[12 12] ; [31 45],[10.32 13.68] ; [32.68 43.32],0
a1,1,0.427178,0.630482,[ 1 23] ; [ 7 69],[ 1.92 22.08] ; [ 6.08 69.92],0
n2,1,0.439231,0.598291,[6 1] ; [20  8],[5.2 1.8] ; [20.8  7.2],0
d3,1,0.507065,0.440119,[10 14] ; [26 50],[ 8.64 15.36] ; [27.36 48.64],0
s1,1,0.523697,0.406607,[ 1 23] ; [ 6 69],[ 1.6969697 22.3030303] ; [ 5.3030303 69.6969697],0
d4,1,0.574936,0.314492,[ 9 15] ; [33 42],[10.18181818 13.81818182] ; [31.81818182 43.18181818],0
a2,1,0.580864,0.30484,[ 2 22] ; [ 4 72],[ 1.44 22.56] ; [ 4.56 71.44],0
d2,1,0.676922,0.173611,[ 5 19] ; [19 57],[ 5.76 18.24] ; [18.24 57.76],0
a4,1,0.684967,0.164588,[ 7 17] ; [19 57],[ 6.24 17.76] ; [19.76 56.24],0
v1,1,0.690798,0.158223,[ 8 16] ; [28 46],[ 8.81632653 15.18367347] ; [27.18367347 46.81632653],0
u3,1,0.699258,0.149245,[4 5] ; [15 25],[3.48979592 5.51020408] ; [15.51020408 24.48979592],0
p5,1,0.717518,0.130884,[ 1 23] ; [ 2 72],[ 0.73469388 23.26530612] ; [ 2.26530612 71.73469388],0
b4,1,0.735529,0.114095,[12 12] ; [41 35],[12.72 11.28] ; [40.28 35.72],0
n5,1,0.791441,0.069928,[15  9] ; [44 30],[14.44897959  9.55102041] ; [44.55102041 29.44897959],0
d1,1,0.829871,0.046168,[ 1 23] ; [ 4 72],[ 1.2 22.8] ; [ 3.8 72.2],0
p10,1,0.853221,0.034229,[13 11] ; [39 36],[12.60606061 11.39393939] ; [39.39393939 35.60606061],0
b1,1,0.895492,0.017255,[11 13] ; [36 40],[11.28 12.72] ; [35.72 40.28],0
a8,1,0.915191,0.011341,[ 2 20] ; [ 7 64],[ 2.12903226 19.87096774] ; [ 6.87096774 64.12903226],0
u1,1,0.96188,0.002284,[ 1 23] ; [ 3 73],[ 0.96 23.04] ; [ 3.04 72.96],0
p9,1,0.976332,0.00088,[15  9] ; [46 28],[14.93877551  9.06122449] ; [46.06122449 27.93877551],0
