Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-06,24.240632,[73 31] ; [ 6 24],[61.31343284 42.68656716] ; [17.68656716 12.31343284],1
n1,1,0.450762,0.568736,[16 25] ; [8 8],[17.26315789 23.73684211] ; [6.73684211 9.26315789],0
v1,1,0.451028,0.568066,[35 68] ; [ 8 22],[33.30075188 69.69924812] ; [ 9.69924812 20.30075188],0
a4,1,0.540044,0.375458,[42 61] ; [10 19],[40.57575758 62.42424242] ; [11.42424242 17.57575758],0
n2,1,0.575578,0.313438,[25 18] ; [8 8],[24.05084746 18.94915254] ; [8.94915254 7.05084746],0
p5,1,0.607048,0.264496,[ 6 96] ; [ 1 28],[ 5.45038168 96.54961832] ; [ 1.54961832 27.45038168],0
s5,1,0.646536,0.210295,[17 84] ; [ 4 26],[16.19083969 84.80916031] ; [ 4.80916031 25.19083969],0
s1,1,0.686848,0.162519,[ 5 99] ; [ 2 28],[ 5.43283582 98.56716418] ; [ 1.56716418 28.43283582],0
n5,1,0.713691,0.134619,[62 42] ; [19 11],[62.86567164 41.13432836] ; [18.13432836 11.86567164],0
b4,1,0.714356,0.133965,[55 49] ; [17 13],[55.88059701 48.11940299] ; [16.11940299 13.88059701],0
d2,1,0.954381,0.003273,[46 58] ; [13 16],[46.13533835 57.86466165] ; [12.86466165 16.13533835],0
s3,1,0.967194,0.001692,[25 77] ; [ 7 22],[24.91603053 77.08396947] ; [ 7.08396947 21.91603053],0
s4,1,0.985526,0.000329,[14 90] ; [ 4 26],[13.97014925 90.02985075] ; [ 4.02985075 25.97014925],0
