Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.704602,[77 12] ; [17 20],[66.3968254 22.6031746] ; [27.6031746  9.3968254],1
a4,1,0.257136,1.284113,[36 53] ; [11 26],[33.1984127 55.8015873] ; [13.8015873 23.1984127],0
s5,1,0.262921,1.253311,[17 64] ; [11 25],[19.38461538 61.61538462] ; [ 8.61538462 27.38461538],0
d3,1,0.308227,1.038258,[54 35] ; [26 11],[56.50793651 32.49206349] ; [23.49206349 13.50793651],0
p1,1,0.311205,1.025553,[ 5 83] ; [ 4 33],[ 6.336 81.664] ; [ 2.664 34.336],0
n4,1,0.337788,0.918808,[37 52] ; [12 25],[34.61111111 54.38888889] ; [14.38888889 22.61111111],0
p5,1,0.363652,0.825241,[ 2 86] ; [ 2 35],[ 2.816 85.184] ; [ 1.184 35.816],0
a2,1,0.396156,0.719965,[12 77] ; [ 3 34],[10.5952381 78.4047619] ; [ 4.4047619 32.5952381],0
p2,1,0.396988,0.717431,[53 36] ; [19 18],[50.85714286 38.14285714] ; [21.14285714 15.85714286],0
s7,1,0.400995,0.705341,[25 57] ; [ 8 27],[23.12820513 58.87179487] ; [ 9.87179487 25.12820513],0
n6,1,0.425235,0.635802,[46 43] ; [22 15],[48.03174603 40.96825397] ; [19.96825397 17.03174603],0
v1,1,0.438301,0.600727,[38 49] ; [13 23],[36.07317073 50.92682927] ; [14.92682927 21.07317073],0
p6,1,0.518048,0.417778,[11 78] ; [ 3 33],[ 9.968 79.032] ; [ 4.032 31.968],0
d5,1,0.609514,0.260884,[71 18] ; [28  9],[69.92857143 19.07142857] ; [29.07142857  7.92857143],0
p9,1,0.616579,0.250705,[52 35] ; [22 12],[53.20661157 33.79338843] ; [20.79338843 13.20661157],0
d2,1,0.627865,0.234967,[32 57] ; [15 22],[33.1984127 55.8015873] ; [13.8015873 23.1984127],0
p8,1,0.647421,0.209168,[18 71] ; [ 6 30],[17.088 71.912] ; [ 6.912 29.088],0
u2,1,0.686227,0.1632,[23 14] ; [9 7],[22.33962264 14.66037736] ; [9.66037736 6.33962264],0
p3,1,0.709547,0.13873,[20 69] ; [ 7 29],[19.224 69.776] ; [ 7.776 28.224],0
s2,1,0.712194,0.136095,[34 54] ; [13 24],[33.088 54.912] ; [13.912 23.088],0
b4,1,0.715529,0.132817,[56 33] ; [22 15],[55.0952381 33.9047619] ; [22.9047619 14.0952381],0
d4,1,0.780951,0.077329,[74 15] ; [30  7],[73.46031746 15.53968254] ; [30.53968254  6.46031746],0
p10,1,0.823998,0.049464,[44 43] ; [19 17],[44.56097561 42.43902439] ; [18.43902439 17.56097561],0
s4,1,0.867064,0.028019,[18 71] ; [ 7 30],[17.65873016 71.34126984] ; [ 7.34126984 29.65873016],0
u1,1,0.87328,0.025438,[ 8 81] ; [ 3 34],[ 7.76984127 81.23015873] ; [ 3.23015873 33.76984127],0
a1,1,0.878599,0.023331,[ 2 87] ; [ 1 36],[ 2.11904762 86.88095238] ; [ 0.88095238 36.11904762],0
p12,1,0.893467,0.017934,[ 2 85] ; [ 1 36],[ 2.10483871 84.89516129] ; [ 0.89516129 36.10483871],0
n2,1,0.901116,0.015439,[18 14] ; [7 5],[18.18181818 13.81818182] ; [6.81818182 5.18181818],0
b5,1,0.914619,0.011495,[52 37] ; [22 15],[52.26984127 36.73015873] ; [21.73015873 15.26984127],0
d1,1,0.93565,0.006519,[44 45] ; [18 19],[43.79365079 45.20634921] ; [18.20634921 18.79365079],0
a8,1,0.948116,0.004234,[ 5 78] ; [ 2 33],[ 4.92372881 78.07627119] ; [ 2.07627119 32.92372881],0
a7,1,0.95379,0.003358,[63 26] ; [26 11],[62.86507937 26.13492063] ; [26.13492063 10.86507937],0
a3,1,0.954969,0.003189,[51 38] ; [21 16],[50.85714286 38.14285714] ; [21.14285714 15.85714286],0
v3,1,0.957438,0.002848,[22 58] ; [10 27],[21.88034188 58.11965812] ; [10.11965812 26.88034188],0
p11,1,0.990059,0.000155,[48 41] ; [20 17],[48.03174603 40.96825397] ; [19.96825397 17.03174603],0
