Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000129,14.650661,[ 1 79] ; [ 27 115],[10.09009009 69.90990991] ; [ 17.90990991 124.09009009],1
s1,1,0.447552,0.576844,[ 6 75] ; [  7 135],[ 4.72197309 76.27802691] ; [  8.27802691 133.72197309],0
s8,1,0.467432,0.528041,[31 50] ; [61 80],[33.56756757 47.43243243] ; [58.43243243 82.56756757],0
d5,1,0.479381,0.500271,[66 15] ; [110  32],[63.92825112 17.07174888] ; [112.07174888  29.92825112],0
a5,1,0.488482,0.479869,[57 24] ; [106  36],[59.20627803 21.79372197] ; [103.79372197  38.20627803],0
s2,1,0.534048,0.386682,[39 42] ; [74 67],[41.22972973 39.77027027] ; [71.77027027 69.22972973],0
d4,1,0.55658,0.345661,[66 15] ; [111  31],[64.29147982 16.70852018] ; [112.70852018  29.29147982],0
u3,1,0.566665,0.328294,[14 10] ; [23 22],[12.86956522 11.13043478] ; [24.13043478 20.86956522],0
a6,1,0.578477,0.308704,[56 25] ; [93 49],[54.12107623 26.87892377] ; [94.87892377 47.12107623],0
a4,1,0.582878,0.301604,[34 47] ; [65 77],[35.95964126 45.04035874] ; [63.04035874 78.95964126],0
v2,1,0.593385,0.285089,[31 47] ; [60 78],[32.86111111 45.13888889] ; [58.13888889 79.86111111],0
d2,1,0.603118,0.270319,[37 44] ; [70 72],[38.86547085 42.13452915] ; [68.13452915 73.86547085],0
d1,1,0.65425,0.200584,[47 34] ; [78 64],[45.40358744 35.59641256] ; [79.59641256 62.40358744],0
u2,1,0.700768,0.147674,[14 10] ; [29 17],[14.74285714  9.25714286] ; [28.25714286 17.74285714],0
a8,1,0.703247,0.145116,[ 9 68] ; [ 13 117],[ 8.18357488 68.81642512] ; [ 13.81642512 116.18357488],0
a7,1,0.766598,0.088106,[58 23] ; [99 43],[57.02690583 23.97309417] ; [99.97309417 42.02690583],0
r2,1,0.894224,0.017679,[73  7] ; [127  13],[72.72727273  7.27272727] ; [127.27272727  12.72727273],0
a3,1,0.963786,0.002061,[55 26] ; [96 46],[54.84753363 26.15246637] ; [96.15246637 45.84753363],0
b3,1,0.966352,0.001779,[15 29] ; [29 57],[14.89230769 29.10769231] ; [29.10769231 56.89230769],0
b2,1,0.966352,0.001779,[15 29] ; [29 57],[14.89230769 29.10769231] ; [29.10769231 56.89230769],0
n3,1,0.968671,0.001543,[19  7] ; [25  9],[19.06666667  6.93333333] ; [24.93333333  9.06666667],0
b1,1,0.987836,0.000232,[33 48] ; [58 84],[33.05381166 47.94618834] ; [57.94618834 84.05381166],0
