Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.009955,6.642979,[11  6] ; [12 30],[ 6.62711864 10.37288136] ; [16.37288136 25.62711864],0
s4,1,0.260703,1.26502,[ 4 13] ; [ 5 37],[ 2.59322034 14.40677966] ; [ 6.40677966 35.59322034],0
s2,1,0.26379,1.248759,[ 2 14] ; [11 31],[ 3.5862069 12.4137931] ; [ 9.4137931 32.5862069],0
a4,1,0.267972,1.227101,[ 6 11] ; [ 9 33],[ 4.3220339 12.6779661] ; [10.6779661 31.3220339],0
v3,1,0.270685,1.21327,[ 5 12] ; [ 7 35],[ 3.45762712 13.54237288] ; [ 8.54237288 33.45762712],0
a6,1,0.29596,1.092312,[9 8] ; [16 26],[7.20338983 9.79661017] ; [17.79661017 24.20338983],0
d1,1,0.297814,1.083958,[ 3 14] ; [13 29],[ 4.61016949 12.38983051] ; [11.38983051 30.61016949],0
s1,1,0.332532,0.939012,[ 2 15] ; [ 2 40],[ 1.15254237 15.84745763] ; [ 2.84745763 39.15254237],0
d4,1,0.348012,0.880694,[10  7] ; [30 12],[11.52542373  5.47457627] ; [28.47457627 13.52542373],0
s7,1,0.34925,0.876181,[ 5 10] ; [ 8 30],[ 3.67924528 11.32075472] ; [ 9.32075472 28.67924528],0
p5,1,0.382181,0.763675,[ 3 14] ; [ 4 38],[ 2.01694915 14.98305085] ; [ 4.98305085 37.01694915],0
v2,1,0.428782,0.626121,[ 6 10] ; [11 30],[ 4.77192982 11.22807018] ; [12.22807018 28.77192982],0
r1,1,0.452431,0.564553,[ 7 10] ; [13 29],[ 5.76271186 11.23728814] ; [14.23728814 27.76271186],0
b1,1,0.483899,0.490063,[11  6] ; [23 19],[9.79661017 7.20338983] ; [24.20338983 17.79661017],0
v1,1,0.484387,0.48897,[ 6 11] ; [11 31],[ 4.89830508 12.10169492] ; [12.10169492 29.89830508],0
a8,1,0.519249,0.415385,[ 1 14] ; [ 5 34],[ 1.66666667 13.33333333] ; [ 4.33333333 34.66666667],0
s3,1,0.524293,0.40544,[ 3 13] ; [11 30],[ 3.92982456 12.07017544] ; [10.07017544 30.92982456],0
s6,1,0.525578,0.402935,[8 9] ; [16 26],[ 6.91525424 10.08474576] ; [17.08474576 24.91525424],0
b2,1,0.558045,0.3431,[2 8] ; [ 8 19],[2.7027027 7.2972973] ; [ 7.2972973 19.7027027],0
b3,1,0.558045,0.3431,[2 8] ; [ 8 19],[2.7027027 7.2972973] ; [ 7.2972973 19.7027027],0
n5,1,0.592243,0.286855,[11  6] ; [24 18],[10.08474576  6.91525424] ; [24.91525424 17.08474576],0
u3,1,0.642279,0.215774,[3 6] ; [ 5 15],[2.48275862 6.51724138] ; [ 5.51724138 14.48275862],0
a3,1,0.647066,0.209619,[8 9] ; [22 19],[8.79310345 8.20689655] ; [21.20689655 19.79310345],0
a1,1,0.649217,0.206889,[ 1 16] ; [ 4 38],[ 1.44067797 15.55932203] ; [ 3.55932203 38.44067797],0
p1,1,0.649217,0.206889,[ 1 16] ; [ 4 38],[ 1.44067797 15.55932203] ; [ 3.55932203 38.44067797],0
d3,1,0.711129,0.137152,[9 8] ; [20 22],[8.3559322 8.6440678] ; [20.6440678 21.3559322],0
n1,1,0.738568,0.11139,[2 4] ; [ 5 14],[1.68 4.32] ; [ 5.32 13.68],0
s5,1,0.797824,0.06562,[ 2 15] ; [ 6 36],[ 2.30508475 14.69491525] ; [ 5.69491525 36.30508475],0
b5,1,0.837836,0.041886,[9 8] ; [21 21],[8.6440678 8.3559322] ; [21.3559322 20.6440678],0
a2,1,0.861532,0.030424,[ 1 16] ; [ 3 39],[ 1.15254237 15.84745763] ; [ 2.84745763 39.15254237],0
a7,1,0.898834,0.016163,[8 9] ; [19 23],[7.77966102 9.22033898] ; [19.22033898 22.77966102],0
n4,1,0.905816,0.013999,[10  7] ; [24 18],[9.79661017 7.20338983] ; [24.20338983 17.79661017],0
d2,1,0.948534,0.004166,[ 5 12] ; [12 30],[ 4.89830508 12.10169492] ; [12.10169492 29.89830508],0
d5,1,0.968868,0.001523,[9 8] ; [22 20],[8.93220339 8.06779661] ; [22.06779661 19.93220339],0
