Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,21.665652,[17 16] ; [99 13],[26.4  6.6] ; [89.6 22.4],1
s7,1,0.674166,0.176768,[17 13] ; [67 43],[18. 12.] ; [66. 44.],0
d3,1,0.678237,0.172117,[18 15] ; [57 56],[16.95205479 16.04794521] ; [58.04794521 54.95205479],0
a1,1,0.698794,0.149729,[ 2 31] ; [  5 108],[ 1.58219178 31.41780822] ; [  5.41780822 107.58219178],0
d2,1,0.706242,0.14206,[16 17] ; [59 54],[16.95205479 16.04794521] ; [58.04794521 54.95205479],0
s4,1,0.73585,0.113808,[ 7 26] ; [21 92],[ 6.32876712 26.67123288] ; [21.67123288 91.32876712],0
r4,1,0.73585,0.113808,[26  7] ; [92 21],[26.67123288  6.32876712] ; [91.32876712 21.67123288],0
v2,1,0.8061,0.060251,[16 17] ; [55 53],[16.61702128 16.38297872] ; [54.38297872 53.61702128],0
s3,1,0.863124,0.029721,[20 13] ; [66 46],[19.57241379 13.42758621] ; [66.42758621 45.57241379],0
u4,1,0.887402,0.020048,[ 1 32] ; [  4 109],[ 1.13013699 31.86986301] ; [  3.86986301 109.13013699],0
s5,1,0.896571,0.016899,[14 18] ; [45 61],[13.68115942 18.31884058] ; [45.31884058 60.68115942],0
n2,1,0.964205,0.002014,[8 3] ; [18  7],[7.94444444 3.05555556] ; [18.05555556  6.94444444],0
