Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.6e-05,18.588226,[55 35] ; [ 52 106],[38.83064516 51.16935484] ; [68.16935484 89.83064516],1
s7,1,0.266898,1.232621,[23 66] ; [ 31 126],[19.53658537 69.46341463] ; [ 34.46341463 122.53658537],0
s4,1,0.269472,1.219435,[ 7 84] ; [ 20 145],[ 9.59765625 81.40234375] ; [ 17.40234375 147.59765625],0
n6,1,0.270705,1.213169,[69 23] ; [113  52],[65.15175097 26.84824903] ; [116.84824903  48.15175097],0
n3,1,0.306707,1.044803,[17  6] ; [41 25],[14.98876404  8.01123596] ; [43.01123596 22.98876404],0
p5,1,0.365529,0.818809,[ 7 85] ; [  8 157],[ 5.36964981 86.63035019] ; [  9.63035019 155.36964981],0
n4,1,0.394426,0.725254,[65 27] ; [108  57],[61.92996109 30.07003891] ; [111.07003891  53.92996109],0
b2,1,0.395016,0.723446,[25 29] ; [38 59],[22.52980132 31.47019868] ; [40.47019868 56.52980132],0
b3,1,0.395016,0.723446,[25 29] ; [38 59],[22.52980132 31.47019868] ; [40.47019868 56.52980132],0
a6,1,0.400609,0.706497,[64 29] ; [105  60],[60.91860465 32.08139535] ; [108.08139535  56.91860465],0
a1,1,0.435613,0.607811,[ 4 89] ; [ 11 154],[ 5.40697674 87.59302326] ; [  9.59302326 155.40697674],0
d2,1,0.438039,0.601413,[35 58] ; [69 93],[37.92941176 55.07058824] ; [66.07058824 95.92941176],0
b1,1,0.441195,0.593173,[36 57] ; [72 93],[38.93023256 54.06976744] ; [69.06976744 95.93023256],0
s3,1,0.462603,0.53959,[18 73] ; [ 39 125],[20.34117647 70.65882353] ; [ 36.65882353 127.34117647],0
d5,1,0.505333,0.443718,[69 24] ; [116  49],[66.68604651 26.31395349] ; [118.31395349  46.68604651],0
d1,1,0.522141,0.409663,[39 54] ; [76 89],[41.45348837 51.54651163] ; [73.54651163 91.45348837],0
a3,1,0.53489,0.385093,[62 31] ; [103  61],[59.70817121 33.29182879] ; [105.29182879  58.70817121],0
p1,1,0.54748,0.361851,[ 5 88] ; [ 12 152],[ 6.15175097 86.84824903] ; [ 10.84824903 153.15175097],0
a8,1,0.548357,0.360269,[10 72] ; [ 15 140],[ 8.64978903 73.35021097] ; [ 16.35021097 138.64978903],0
b4,1,0.603126,0.270307,[55 38] ; [103  62],[56.95348837 36.04651163] ; [101.04651163  63.95348837],0
a5,1,0.639258,0.219714,[58 35] ; [98 67],[56.23255814 36.76744186] ; [99.76744186 65.23255814],0
d4,1,0.678847,0.171427,[68 25] ; [123  40],[69.38671875 23.61328125] ; [121.61328125  41.38671875],0
u4,1,0.679903,0.170235,[ 1 92] ; [  1 164],[ 0.72093023 92.27906977] ; [  1.27906977 163.72093023],0
p12,1,0.685957,0.163497,[ 2 90] ; [  5 160],[ 2.50583658 89.49416342] ; [  4.49416342 160.50583658],0
a2,1,0.72224,0.126357,[18 75] ; [ 29 136],[16.94186047 76.05813953] ; [ 30.05813953 134.94186047],0
a4,1,0.737496,0.112339,[39 53] ; [66 98],[37.734375 54.265625] ; [67.265625 96.734375],0
s8,1,0.83242,0.044774,[16 76] ; [ 27 138],[15.39299611 76.60700389] ; [ 27.60700389 137.39299611],0
s1,1,0.9031,0.014822,[ 2 89] ; [  4 160],[ 2.14117647 88.85882353] ; [  3.85882353 160.14117647],0
s5,1,0.988411,0.000211,[14 76] ; [ 25 135],[14.04 75.96] ; [ 24.96 135.04],0
n2,1,1.0,0.0,[14  9] ; [42 27],[14.  9.] ; [42. 27.],0
