Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.7e-05,17.588256,[ 5 45] ; [17 16],[13.25301205 36.74698795] ; [ 8.74698795 24.25301205],1
r4,1,0.532168,0.390249,[23 27] ; [18 16],[24.4047619 25.5952381] ; [16.5952381 17.4047619],0
n6,1,0.536773,0.381554,[29 21] ; [22 12],[30.35714286 19.64285714] ; [20.64285714 13.35714286],0
p2,1,0.538899,0.377585,[30 20] ; [22 11],[31.3253012 18.6746988] ; [20.6746988 12.3253012],0
n1,1,0.598725,0.276923,[ 6 18] ; [4 8],[ 6.66666667 17.33333333] ; [3.33333333 8.66666667],0
p11,1,0.598868,0.276706,[28 22] ; [21 13],[29.16666667 20.83333333] ; [19.83333333 14.16666667],0
p5,1,0.683298,0.166437,[ 2 47] ; [ 2 31],[ 2.3902439 46.6097561] ; [ 1.6097561 31.3902439],0
a4,1,0.713718,0.134592,[12 38] ; [ 7 27],[11.30952381 38.69047619] ; [ 7.69047619 26.30952381],0
p7,1,0.7875,0.072662,[23 26] ; [16 16],[23.59259259 25.40740741] ; [15.40740741 16.59259259],0
a8,1,0.85768,0.032159,[ 2 48] ; [ 1 30],[ 1.85185185 48.14814815] ; [ 1.14814815 29.85185185],0
b5,1,0.914134,0.011626,[30 20] ; [20 14],[29.76190476 20.23809524] ; [20.23809524 13.76190476],0
b1,1,0.932439,0.007187,[24 26] ; [16 18],[23.80952381 26.19047619] ; [16.19047619 17.80952381],0
a7,1,0.969446,0.001467,[29 21] ; [19 14],[28.91566265 21.08433735] ; [19.08433735 13.91566265],0
a3,1,0.991402,0.000116,[23 26] ; [16 18],[23.02409639 25.97590361] ; [15.97590361 18.02409639],0
u2,1,1.0,0.0,[12 15] ; [ 8 10],[12. 15.] ; [ 8. 10.],0
