Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,51.552174,[ 15 106] ; [90 78],[43.96193772 77.03806228] ; [ 61.03806228 106.96193772],1
p2,1,0.470152,0.521618,[78 42] ; [116  52],[80.83333333 39.16666667] ; [113.16666667  54.83333333],0
n2,1,0.487064,0.483005,[27 16] ; [45 20],[28.66666667 14.33333333] ; [43.33333333 21.66666667],0
s1,1,0.521154,0.411608,[  7 112] ; [  7 159],[  5.84561404 113.15438596] ; [  8.15438596 157.84561404],0
a1,1,0.547141,0.362465,[  4 117] ; [  8 161],[  5.00689655 115.99310345] ; [  6.99310345 162.00689655],0
a8,1,0.564578,0.331839,[ 12 102] ; [ 20 136],[ 13.51111111 100.48888889] ; [ 18.48888889 137.51111111],0
s3,1,0.599526,0.275712,[50 68] ; [76 91],[52.16842105 65.83157895] ; [73.83157895 93.16842105],0
b1,1,0.651139,0.204467,[49 72] ; [ 64 105],[47.14827586 73.85172414] ; [ 65.85172414 103.14827586],0
s2,1,0.663873,0.188852,[42 78] ; [ 63 105],[43.75 76.25] ; [ 61.25 106.75],0
u3,1,0.68375,0.165935,[34 37] ; [18 23],[32.96428571 38.03571429] ; [19.03571429 21.96428571],0
p12,1,0.716032,0.132327,[  4 116] ; [  7 161],[  4.58333333 115.41666667] ; [  6.41666667 161.58333333],0
u4,1,0.811747,0.056726,[  1 120] ; [  1 168],[  0.83448276 120.16551724] ; [  1.16551724 167.83448276],0
p1,1,0.853667,0.034019,[  4 115] ; [  5 163],[  3.73170732 115.26829268] ; [  5.26829268 162.73170732],0
u2,1,0.855791,0.033028,[35 36] ; [19 21],[34.54054054 36.45945946] ; [19.45945946 20.54054054],0
p11,1,0.889201,0.019409,[79 42] ; [109  60],[78.44137931 42.55862069] ; [109.55862069  59.44137931],0
