Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.00171,9.837778,[ 7 21] ; [64 46],[14.4057971 13.5942029] ; [56.5942029 53.4057971],0
v2,1,0.688883,0.160297,[ 9 18] ; [39 65],[ 9.89312977 17.10687023] ; [38.10687023 65.89312977],0
a6,1,0.780062,0.077974,[17 11] ; [63 46],[16.35036496 11.64963504] ; [63.64963504 45.35036496],0
d3,1,0.780986,0.077303,[16 12] ; [58 49],[15.34814815 12.65185185] ; [58.65185185 48.34814815],0
s8,1,0.786793,0.073158,[ 6 22] ; [26 83],[ 6.54014599 21.45985401] ; [25.45985401 83.54014599],0
a8,1,0.797926,0.065552,[ 2 21] ; [11 94],[ 2.3359375 20.6640625] ; [10.6640625 94.3359375],0
p3,1,0.814558,0.055014,[ 6 22] ; [21 87],[ 5.55882353 22.44117647] ; [21.44117647 86.55882353],0
s2,1,0.835897,0.042909,[10 18] ; [37 73],[ 9.53623188 18.46376812] ; [37.46376812 72.53623188],0
s1,1,0.846573,0.03744,[ 2 26] ; [  9 100],[ 2.24817518 25.75182482] ; [  8.75182482 100.24817518],0
b4,1,0.858055,0.031987,[15 13] ; [61 49],[15.42028986 12.57971014] ; [60.57971014 49.42028986],0
a2,1,0.866726,0.028163,[ 6 22] ; [22 88],[ 5.68115942 22.31884058] ; [22.31884058 87.68115942],0
p1,1,0.88148,0.022229,[ 2 26] ; [  7 103],[ 1.82608696 26.17391304] ; [  7.17391304 102.82608696],0
s6,1,0.90942,0.012944,[12 16] ; [45 63],[11.73529412 16.26470588] ; [45.26470588 62.73529412],0
s7,1,0.915072,0.011373,[ 8 19] ; [31 70],[ 8.2265625 18.7734375] ; [30.7734375 70.2265625],0
n3,1,0.915825,0.011171,[7 5] ; [30 20],[7.16129032 4.83870968] ; [29.83870968 20.16129032],0
a5,1,0.92079,0.009888,[16 12] ; [64 46],[16.23188406 11.76811594] ; [63.76811594 46.23188406],0
a4,1,0.959017,0.002641,[11 16] ; [45 64],[11.11764706 15.88235294] ; [44.88235294 64.11764706],0
