Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000402,12.523333,[ 4 11] ; [20  4],[9.23076923 5.76923077] ; [14.76923077  9.23076923],1
d3,1,0.571257,0.320584,[8 7] ; [15  9],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
n5,1,0.573683,0.316558,[10  5] ; [18  6],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
n2,1,0.583882,0.3,[3 1] ; [7 1],[3.33333333 0.66666667] ; [6.66666667 1.33333333],0
s4,1,0.615496,0.252249,[ 2 12] ; [ 5 19],[ 2.57894737 11.42105263] ; [ 4.42105263 19.57894737],0
v3,1,0.618228,0.248366,[7 7] ; [10 14],[6.26315789 7.73684211] ; [10.73684211 13.26315789],0
p6,1,0.630202,0.231786,[ 5 10] ; [ 6 17],[ 4.34210526 10.65789474] ; [ 6.65789474 16.34210526],0
d2,1,0.648474,0.207829,[7 8] ; [13 11],[7.69230769 7.30769231] ; [12.30769231 11.69230769],0
b1,1,0.660768,0.192593,[11  4] ; [16  8],[10.38461538  4.61538462] ; [16.61538462  7.38461538],0
p3,1,0.672851,0.178286,[6 9] ; [ 8 16],[5.38461538 9.61538462] ; [ 8.61538462 15.38461538],0
s6,1,0.674012,0.176944,[11  4] ; [19  5],[11.53846154  3.46153846] ; [18.46153846  5.53846154],0
s5,1,0.692108,0.156813,[ 5 10] ; [ 6 16],[ 4.45945946 10.54054054] ; [ 6.54054054 15.45945946],0
a5,1,0.720786,0.127741,[9 6] ; [13 11],[8.46153846 6.53846154] ; [13.53846154 10.46153846],0
p10,1,0.720786,0.127741,[6 9] ; [11 13],[6.53846154 8.46153846] ; [10.46153846 13.53846154],0
r3,1,0.730579,0.118581,[14  1] ; [23  1],[14.23076923  0.76923077] ; [22.76923077  1.23076923],0
r2,1,0.730579,0.118581,[14  1] ; [23  1],[14.23076923  0.76923077] ; [22.76923077  1.23076923],0
a8,1,0.833497,0.044192,[ 1 14] ; [ 1 19],[ 0.85714286 14.14285714] ; [ 1.14285714 18.85714286],0
s7,1,0.835388,0.043179,[9 5] ; [14  9],[8.7027027 5.2972973] ; [14.2972973  8.7027027],0
v2,1,0.846791,0.037332,[8 7] ; [13 10],[8.28947368 6.71052632] ; [12.71052632 10.28947368],0
a1,1,0.849286,0.036111,[ 1 14] ; [ 2 22],[ 1.15384615 13.84615385] ; [ 1.84615385 22.15384615],0
s3,1,0.850962,0.035303,[10  5] ; [16  7],[10.26315789  4.73684211] ; [15.73684211  7.26315789],0
a4,1,0.865961,0.02849,[ 4 11] ; [ 7 17],[ 4.23076923 10.76923077] ; [ 6.76923077 17.23076923],0
v1,1,0.875935,0.024375,[6 9] ; [ 9 15],[5.76923077 9.23076923] ; [ 9.23076923 14.76923077],0
r1,1,0.950004,0.003931,[12  3] ; [19  5],[11.92307692  3.07692308] ; [19.07692308  4.92307692],0
